evidence_id,stage,evidence_type,target,artifact_path,artifact_sha256,commit,metric_name,metric_value,uncertainty,sample_n,task_group_n,benchmark_scope,model_scope,claim_role,scientific_status,notes
E_PROV_A01,A0.1,DATA_CONTRACT,all,artifacts/metadata_audit.json,08643c9eb148d6f0cec9010b532f3a5f1036d5f642704db1964bd385157a8840,49f7d7c7d6c83f23ff8d6a5a68c671a0d3687177,stage_determination,PASS_WITH_DOCUMENTED_LIMITATIONS,,1408 annotation rows; 1302 unique trajectories; 351 tasks,,frozen stage scope,frozen stage scope,provenance,INTEGRITY_ONLY,determination=PASS_WITH_DOCUMENTED_LIMITATIONS; taskbook=docs/tasks/STAGE_A0_1_DATA_CONTRACT.md; report=docs/data_contract.md; preregistration_commit=49f7d7c7d6c83f23ff8d6a5a68c671a0d3687177; result_commit=49f7d7c7d6c83f23ff8d6a5a68c671a0d3687177; fix_commits=none; conclusion=Fixed-source data and label contract established.; warnings=No standard license identifier; duplicate annotations and WorkArena namespaces documented.
E_PROV_A02,A0.2,DATA_CONTRACT,all,artifacts/analysis_index_summary.json,394aaf3f0d47e21286edf9a1133fddb8eefc0213b60fd4557577253750526684,70f11b75a3ec21efd40df632c39e96af80f5f724,stage_determination,PASS_WITH_CONDITIONS,,1302 unique trajectories; 300 sealed test tasks,,frozen stage scope,frozen stage scope,provenance,INTEGRITY_ONLY,"determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A0_2_ANALYSIS_INDEX.md; report=docs/analysis_unit_policy.md; preregistration_commit=70f11b75a3ec21efd40df632c39e96af80f5f724; result_commit=70f11b75a3ec21efd40df632c39e96af80f5f724; fix_commits=60296babe21a7c91c5ca52a3da2780f3ee859b9f; conclusion=Trajectory key, consensus policy, and benchmark group fields frozen.; warnings=Official primary label retained audit-only; WorkArena L1/L2 sensitivity required."
E_PROV_A02_Fix,A0.2-Fix,DATA_CONTRACT,all,artifacts/analysis_index_summary.json,394aaf3f0d47e21286edf9a1133fddb8eefc0213b60fd4557577253750526684,60296babe21a7c91c5ca52a3da2780f3ee859b9f,stage_determination,PASS,,Success 1289; Side Effect 1297; Looping 1291 eligible trajectories,,frozen stage scope,frozen stage scope,provenance,INTEGRITY_ONLY,determination=PASS; taskbook=docs/tasks/STAGE_A0_2_FIX_LABEL_ELIGIBILITY.md; report=docs/analysis_unit_policy.md; preregistration_commit=60296babe21a7c91c5ca52a3da2780f3ee859b9f; result_commit=60296babe21a7c91c5ca52a3da2780f3ee859b9f; fix_commits=none; conclusion=Consensus-only main eligibility enforced.; warnings=Disagreement and Unsure labels remain unavailable for main analysis.
E_PROV_A03,A0.3,DATA_CONTRACT,all,artifacts/trajectory_probe_summary.json,b31dc335a236d8d4d83f2402e13ad12049d713faff85a496eda9950de4f39ef3,c8fa3cde43e92de8069ab8dd6a6f41f975297651,stage_determination,PASS_WITH_CONDITIONS,,16 dev trajectories,,frozen stage scope,frozen stage scope,provenance,INTEGRITY_ONLY,determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A0_3_MINIMAL_TRAJECTORY_PROBE.md; report=docs/trajectory_schema_probe.md; preregistration_commit=c8fa3cde43e92de8069ab8dd6a6f41f975297651; result_commit=c8fa3cde43e92de8069ab8dd6a6f41f975297651; fix_commits=none; conclusion=Shared text/structured adapter feasible after leakage exclusions.; warnings=Probe-only scope; screenshots referenced but not required for minimal text path.
E_PROV_A04,A0.4,DATA_CONTRACT,all,artifacts/input_contract_summary.json,9dc618199c8159f8140b1cbcaf8f93828d617d4a15b0d8945d274ec124ca1761,e302dfc2b159f295e6e3a17243fbb6c490bd5d15,stage_determination,PASS_WITH_CONDITIONS,,16 probe trajectories; 196 projected dev trajectories,,frozen stage scope,frozen stage scope,provenance,INTEGRITY_ONLY,determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A0_4_INPUT_CONTRACT.md; report=docs/input_contract.md; preregistration_commit=e302dfc2b159f295e6e3a17243fbb6c490bd5d15; result_commit=e302dfc2b159f295e6e3a17243fbb6c490bd5d15; fix_commits=none; conclusion=Leak-safe input whitelist and serialization views frozen.; warnings=Reasoning view sensitivity-only; identity and direct leakage fields excluded.
E_PROV_A10,A1.0,INTEGRITY,all,artifacts/dev_corpus_summary.json,7b8a3238edf5b5d2e98f2794321e3b81cb0b26a0a32d79c95a0a3665b78d4027,695750f6011e307324a4b483117bcd5010653260,stage_determination,PASS_WITH_CONDITIONS,,196 dev trajectories; 3812 steps,,frozen stage scope,frozen stage scope,provenance,INTEGRITY_ONLY,determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A1_0_BUILD_DEV_CORPUS.md; report=docs/dev_corpus_build_report.md; preregistration_commit=695750f6011e307324a4b483117bcd5010653260; result_commit=695750f6011e307324a4b483117bcd5010653260; fix_commits=none; conclusion=Full dev corpus built under the frozen leak-safe contract.; warnings=Baseline readiness remained subject to human review.
E_PROV_A11,A1.1,INTEGRITY,all,artifacts/pre_baseline_summary.json,e23ad3b9eb8d5a1fadd25769ff0c6c2935e2c1821211aa0a358a04370496e8d4,1044cb783dc0d7883b9065393b3e7147dafad34b,stage_determination,PASS_WITH_CONDITIONS,,196 dev trajectories; five frozen grouped folds per target,,frozen stage scope,frozen stage scope,provenance,INTEGRITY_ONLY,"determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A1_1_FREEZE_EVALUATION_PROTOCOL.md; report=docs/pre_baseline_audit_report.md; preregistration_commit=1044cb783dc0d7883b9065393b3e7147dafad34b; result_commit=1044cb783dc0d7883b9065393b3e7147dafad34b; fix_commits=49bba3279f356c779a0bfe93e8d31c5319009102; conclusion=Grouped CV, LOBO, inner selection, and NA policies frozen.; warnings=Side Effect single-class holdouts must remain NA where applicable."
E_PROV_A12,A1.2,INTEGRITY,all,artifacts/a1_2_run_summary.json,6e221c40c81f2c6edf9e8e58f819659018430802cdb7543e7ad38a44c4afc446,179ce02640a8e6e15411348b57fd8d7725047364,stage_determination,PASS_WITH_CONDITIONS,,Success 192; Side Effect 195; Looping 196 dev trajectories,,frozen stage scope,frozen stage scope,provenance,INTEGRITY_ONLY,determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A1_2_RUN_MINIMAL_BASELINES.md; report=docs/stage_a1_2_minimal_baseline_report.md; preregistration_commit=b4fef6f63d55ccd4ed2cdf4feb2dcab1cd5b6d20; result_commit=179ce02640a8e6e15411348b57fd8d7725047364; fix_commits=none; conclusion=Minimal grouped baselines established dev signal patterns.; warnings=All findings are development-stage only.
E_PROV_A13,A1.3,INTEGRITY,all,artifacts/a1_3_lobo_run_summary.json,ec4055a20fe7ab1d6df5d3e51b76962ef8ce642073ccc50563cad4c92bcc39e5,346bb4b3d4a90fc51c1e099618c3b7592fa76b99,stage_determination,PASS_WITH_CONDITIONS,,583 selected external predictions across three targets,,frozen stage scope,frozen stage scope,provenance,INTEGRITY_ONLY,determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A1_3_RUN_PRIMARY_LOBO_BASELINES.md; report=docs/stage_a1_3_primary_lobo_report.md; preregistration_commit=6b98e03537360d8e60e5ccf3ca4c5ea7b51a652d; result_commit=346bb4b3d4a90fc51c1e099618c3b7592fa76b99; fix_commits=6027d5e5af29a1b0143bb04024084a6c4209529e; conclusion=Primary four-family LOBO established structural Success/Looping signal.; warnings=Side Effect support sparse; single-class domains retained as NA.
E_PROV_A14,A1.4,INTEGRITY,all,artifacts/a1_4_lomo_run_summary.json,4f553be59ad4b3719e194ac84043286ec99e14ef0d4c5ceff3fdb98d676f1523,91e6b195dc63bae8c82728a126945abd0d5d2b68,stage_determination,PASS_WITH_CONDITIONS,,2332 external predictions; four held-out Agent models,,frozen stage scope,frozen stage scope,provenance,INTEGRITY_ONLY,determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A1_4_RUN_LEAVE_ONE_MODEL_OUT_BASELINES.md; report=docs/stage_a1_4_leave_one_model_out_report.md; preregistration_commit=84bf9da03c12c4bbe28f57e42b31de71e8cb1041; result_commit=91e6b195dc63bae8c82728a126945abd0d5d2b68; fix_commits=21012dd38d86b631408bd64a65af3dde8cb9b86c; conclusion=Exploratory model-only transfer observed when tasks are represented in training.; warnings=Not joint task/model OOD; one Agent model has partial benchmark coverage.
E_PROV_A15,A1.5,INTEGRITY,all,artifacts/a1_5_run_summary.json,00e93994896b0a2f8ff82b418fb36a8fa3cc528a856ebc41c7ef872e487dfdd1,e4fd9aba83cc6ed3b01b1f624c666b6cc7fce3ca,stage_determination,PASS_WITH_CONDITIONS,,4081 external predictions across S0-S6,,frozen stage scope,frozen stage scope,provenance,INTEGRITY_ONLY,"determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A1_5_RUN_STRUCTURAL_MECHANISM_ABLATIONS.md; report=docs/stage_a1_5_structural_mechanism_ablation_report.md; preregistration_commit=fa9ef0771ea44a720ed8b900199a75ef3c863379; result_commit=e4fd9aba83cc6ed3b01b1f624c666b6cc7fce3ca; fix_commits=none; conclusion=Frozen structural dependency patterns recorded descriptively.; warnings=Ablations are predictive dependencies, not causal mechanisms."
