target,baseline_id,config_id,tie_break_rank,selected_count
success,B0,B0_most_frequent,1,5
success,B1,B1_prior,1,5
success,B2,B2_C0p1_cw_none,1,0
success,B2,B2_C1p0_cw_none,2,0
success,B2,B2_C10p0_cw_none,3,0
success,B2,B2_C0p1_cw_balanced,4,1
success,B2,B2_C1p0_cw_balanced,5,1
success,B2,B2_C10p0_cw_balanced,6,3
success,B3,B3_T1_C0p1_cw_none,1,0
success,B3,B3_T1_C1p0_cw_none,2,0
success,B3,B3_T1_C10p0_cw_none,3,0
success,B3,B3_T1_C0p1_cw_balanced,4,0
success,B3,B3_T1_C1p0_cw_balanced,5,1
success,B3,B3_T1_C10p0_cw_balanced,6,0
success,B3,B3_T2_C0p1_cw_none,7,1
success,B3,B3_T2_C1p0_cw_none,8,0
success,B3,B3_T2_C10p0_cw_none,9,1
success,B3,B3_T2_C0p1_cw_balanced,10,2
success,B3,B3_T2_C1p0_cw_balanced,11,0
success,B3,B3_T2_C10p0_cw_balanced,12,0
side_effect,B0,B0_most_frequent,1,5
side_effect,B1,B1_prior,1,5
side_effect,B2,B2_C0p1_cw_none,1,2
side_effect,B2,B2_C1p0_cw_none,2,0
side_effect,B2,B2_C10p0_cw_none,3,1
side_effect,B2,B2_C0p1_cw_balanced,4,1
side_effect,B2,B2_C1p0_cw_balanced,5,1
side_effect,B2,B2_C10p0_cw_balanced,6,0
side_effect,B3,B3_T1_C0p1_cw_none,1,0
side_effect,B3,B3_T1_C1p0_cw_none,2,0
side_effect,B3,B3_T1_C10p0_cw_none,3,2
side_effect,B3,B3_T1_C0p1_cw_balanced,4,0
side_effect,B3,B3_T1_C1p0_cw_balanced,5,0
side_effect,B3,B3_T1_C10p0_cw_balanced,6,2
side_effect,B3,B3_T2_C0p1_cw_none,7,0
side_effect,B3,B3_T2_C1p0_cw_none,8,0
side_effect,B3,B3_T2_C10p0_cw_none,9,0
side_effect,B3,B3_T2_C0p1_cw_balanced,10,0
side_effect,B3,B3_T2_C1p0_cw_balanced,11,1
side_effect,B3,B3_T2_C10p0_cw_balanced,12,0
looping,B0,B0_most_frequent,1,5
looping,B1,B1_prior,1,5
looping,B2,B2_C0p1_cw_none,1,1
looping,B2,B2_C1p0_cw_none,2,0
looping,B2,B2_C10p0_cw_none,3,4
looping,B2,B2_C0p1_cw_balanced,4,0
looping,B2,B2_C1p0_cw_balanced,5,0
looping,B2,B2_C10p0_cw_balanced,6,0
looping,B3,B3_T1_C0p1_cw_none,1,1
looping,B3,B3_T1_C1p0_cw_none,2,0
looping,B3,B3_T1_C10p0_cw_none,3,1
looping,B3,B3_T1_C0p1_cw_balanced,4,1
looping,B3,B3_T1_C1p0_cw_balanced,5,0
looping,B3,B3_T1_C10p0_cw_balanced,6,0
looping,B3,B3_T2_C0p1_cw_none,7,0
looping,B3,B3_T2_C1p0_cw_none,8,0
looping,B3,B3_T2_C10p0_cw_none,9,1
looping,B3,B3_T2_C0p1_cw_balanced,10,1
looping,B3,B3_T2_C1p0_cw_balanced,11,0
looping,B3,B3_T2_C10p0_cw_balanced,12,0
