target,baseline_id,outer_fold,config_id,inner_train_size,inner_validation_size,inner_pr_auc,selected,tie_break_rank
success,B0,1,B0_most_frequent,123,30,0.3333333333333333,True,1
success,B0,2,B0_most_frequent,121,31,0.2903225806451613,True,1
success,B0,3,B0_most_frequent,124,30,0.3333333333333333,True,1
success,B0,4,B0_most_frequent,124,30,0.3,True,1
success,B0,5,B0_most_frequent,125,30,0.3333333333333333,True,1
success,B1,1,B1_prior,123,30,0.3333333333333333,True,1
success,B1,2,B1_prior,121,31,0.2903225806451613,True,1
success,B1,3,B1_prior,124,30,0.3333333333333333,True,1
success,B1,4,B1_prior,124,30,0.3,True,1
success,B1,5,B1_prior,125,30,0.3333333333333333,True,1
success,B2,1,B2_C0p1_cw_none,123,30,0.504137852887853,False,1
success,B2,1,B2_C1p0_cw_none,123,30,0.4962919923214041,False,2
success,B2,1,B2_C10p0_cw_none,123,30,0.5090289601702644,False,3
success,B2,1,B2_C0p1_cw_balanced,123,30,0.5339219576719577,True,4
success,B2,1,B2_C1p0_cw_balanced,123,30,0.48297174531694653,False,5
success,B2,1,B2_C10p0_cw_balanced,123,30,0.4615401213853226,False,6
success,B2,2,B2_C0p1_cw_none,121,31,0.4508750898224582,False,1
success,B2,2,B2_C1p0_cw_none,121,31,0.4929230201056827,False,2
success,B2,2,B2_C10p0_cw_none,121,31,0.49826371484266224,False,3
success,B2,2,B2_C0p1_cw_balanced,121,31,0.4508750898224582,False,4
success,B2,2,B2_C1p0_cw_balanced,121,31,0.5057353539706482,False,5
success,B2,2,B2_C10p0_cw_balanced,121,31,0.5278933444722917,True,6
success,B2,3,B2_C0p1_cw_none,124,30,0.7398778998778998,False,1
success,B2,3,B2_C1p0_cw_none,124,30,0.866798245614035,False,2
success,B2,3,B2_C10p0_cw_none,124,30,0.8645940170940171,False,3
success,B2,3,B2_C0p1_cw_balanced,124,30,0.6436657786657786,False,4
success,B2,3,B2_C1p0_cw_balanced,124,30,0.8882828282828282,True,5
success,B2,3,B2_C10p0_cw_balanced,124,30,0.8854901960784313,False,6
success,B2,4,B2_C0p1_cw_none,124,30,0.4870034935824409,False,1
success,B2,4,B2_C1p0_cw_none,124,30,0.5354463629176273,False,2
success,B2,4,B2_C10p0_cw_none,124,30,0.5227272727272727,False,3
success,B2,4,B2_C0p1_cw_balanced,124,30,0.48978127136021865,False,4
success,B2,4,B2_C1p0_cw_balanced,124,30,0.48750847922953044,False,5
success,B2,4,B2_C10p0_cw_balanced,124,30,0.5446497946497946,True,6
success,B2,5,B2_C0p1_cw_none,125,30,0.5495607088989442,False,1
success,B2,5,B2_C1p0_cw_none,125,30,0.6203940422322776,False,2
success,B2,5,B2_C10p0_cw_none,125,30,0.5537273755656109,False,3
success,B2,5,B2_C0p1_cw_balanced,125,30,0.5495607088989442,False,4
success,B2,5,B2_C1p0_cw_balanced,125,30,0.6507786576168929,False,5
success,B2,5,B2_C10p0_cw_balanced,125,30,0.6636341354723707,True,6
success,B3,1,B3_T1_C0p1_cw_none,123,30,0.37317176924270745,False,1
success,B3,1,B3_T1_C1p0_cw_none,123,30,0.37705231954895435,False,2
success,B3,1,B3_T1_C10p0_cw_none,123,30,0.3981818181818182,False,3
success,B3,1,B3_T1_C0p1_cw_balanced,123,30,0.3392064467682908,False,4
success,B3,1,B3_T1_C1p0_cw_balanced,123,30,0.37083911513323276,False,5
success,B3,1,B3_T1_C10p0_cw_balanced,123,30,0.3926774322169059,False,6
success,B3,1,B3_T2_C0p1_cw_none,123,30,0.38271907143424166,False,7
success,B3,1,B3_T2_C1p0_cw_none,123,30,0.39934790209790205,False,8
success,B3,1,B3_T2_C10p0_cw_none,123,30,0.40407460186871946,False,9
success,B3,1,B3_T2_C0p1_cw_balanced,123,30,0.411170722925838,True,10
success,B3,1,B3_T2_C1p0_cw_balanced,123,30,0.40755042421346765,False,11
success,B3,1,B3_T2_C10p0_cw_balanced,123,30,0.4003018745959922,False,12
success,B3,2,B3_T1_C0p1_cw_none,121,31,0.8398700454840806,False,1
success,B3,2,B3_T1_C1p0_cw_none,121,31,0.8496951920864966,False,2
success,B3,2,B3_T1_C10p0_cw_none,121,31,0.8217849361967009,False,3
success,B3,2,B3_T1_C0p1_cw_balanced,121,31,0.8409977703455966,False,4
success,B3,2,B3_T1_C1p0_cw_balanced,121,31,0.8518115942028988,True,5
success,B3,2,B3_T1_C10p0_cw_balanced,121,31,0.7995627139744788,False,6
success,B3,2,B3_T2_C0p1_cw_none,121,31,0.8406084656084658,False,7
success,B3,2,B3_T2_C1p0_cw_none,121,31,0.8326719576719577,False,8
success,B3,2,B3_T2_C10p0_cw_none,121,31,0.7964587394411957,False,9
success,B3,2,B3_T2_C0p1_cw_balanced,121,31,0.847049689440994,False,10
success,B3,2,B3_T2_C1p0_cw_balanced,121,31,0.8104497354497355,False,11
success,B3,2,B3_T2_C10p0_cw_balanced,121,31,0.7964587394411957,False,12
success,B3,3,B3_T1_C0p1_cw_none,124,30,0.9086435786435786,False,1
success,B3,3,B3_T1_C1p0_cw_none,124,30,0.860103785103785,False,2
success,B3,3,B3_T1_C10p0_cw_none,124,30,0.8792063492063492,False,3
success,B3,3,B3_T1_C0p1_cw_balanced,124,30,0.8090384615384615,False,4
success,B3,3,B3_T1_C1p0_cw_balanced,124,30,0.8161272061272061,False,5
success,B3,3,B3_T1_C10p0_cw_balanced,124,30,0.8686752136752137,False,6
success,B3,3,B3_T2_C0p1_cw_none,124,30,0.9354365079365078,True,7
success,B3,3,B3_T2_C1p0_cw_none,124,30,0.8930555555555555,False,8
success,B3,3,B3_T2_C10p0_cw_none,124,30,0.8809267040149392,False,9
success,B3,3,B3_T2_C0p1_cw_balanced,124,30,0.8980006105006104,False,10
success,B3,3,B3_T2_C1p0_cw_balanced,124,30,0.8930555555555555,False,11
success,B3,3,B3_T2_C10p0_cw_balanced,124,30,0.8809267040149392,False,12
success,B3,4,B3_T1_C0p1_cw_none,124,30,0.9122574955908291,False,1
success,B3,4,B3_T1_C1p0_cw_none,124,30,0.9135802469135803,False,2
success,B3,4,B3_T1_C10p0_cw_none,124,30,0.9126543209876545,False,3
success,B3,4,B3_T1_C0p1_cw_balanced,124,30,0.9122574955908291,False,4
success,B3,4,B3_T1_C1p0_cw_balanced,124,30,0.9135802469135803,False,5
success,B3,4,B3_T1_C10p0_cw_balanced,124,30,0.9126543209876545,False,6
success,B3,4,B3_T2_C0p1_cw_none,124,30,0.8831908831908832,False,7
success,B3,4,B3_T2_C1p0_cw_none,124,30,0.8953301127214173,False,8
success,B3,4,B3_T2_C10p0_cw_none,124,30,0.9214778503994192,True,9
success,B3,4,B3_T2_C0p1_cw_balanced,124,30,0.8875661375661377,False,10
success,B3,4,B3_T2_C1p0_cw_balanced,124,30,0.8918518518518519,False,11
success,B3,4,B3_T2_C10p0_cw_balanced,124,30,0.9214778503994192,False,12
success,B3,5,B3_T1_C0p1_cw_none,125,30,0.29912268926015734,False,1
success,B3,5,B3_T1_C1p0_cw_none,125,30,0.3156096173647324,False,2
success,B3,5,B3_T1_C10p0_cw_none,125,30,0.3142694370771838,False,3
success,B3,5,B3_T1_C0p1_cw_balanced,125,30,0.31178832026321596,False,4
success,B3,5,B3_T1_C1p0_cw_balanced,125,30,0.3109853231563758,False,5
success,B3,5,B3_T1_C10p0_cw_balanced,125,30,0.31511763477320753,False,6
success,B3,5,B3_T2_C0p1_cw_none,125,30,0.3221424227945967,False,7
success,B3,5,B3_T2_C1p0_cw_none,125,30,0.329008392502638,False,8
success,B3,5,B3_T2_C10p0_cw_none,125,30,0.3046038502560242,False,9
success,B3,5,B3_T2_C0p1_cw_balanced,125,30,0.3297073578595318,True,10
success,B3,5,B3_T2_C1p0_cw_balanced,125,30,0.30636346496640615,False,11
success,B3,5,B3_T2_C10p0_cw_balanced,125,30,0.30547575612793004,False,12
side_effect,B0,1,B0_most_frequent,126,30,0.06666666666666667,True,1
side_effect,B0,2,B0_most_frequent,126,31,0.03225806451612903,True,1
side_effect,B0,3,B0_most_frequent,126,30,0.06666666666666667,True,1
side_effect,B0,4,B0_most_frequent,126,31,0.0967741935483871,True,1
side_effect,B0,5,B0_most_frequent,123,31,0.03225806451612903,True,1
side_effect,B1,1,B1_prior,126,30,0.06666666666666667,True,1
side_effect,B1,2,B1_prior,126,31,0.03225806451612903,True,1
side_effect,B1,3,B1_prior,126,30,0.06666666666666667,True,1
side_effect,B1,4,B1_prior,126,31,0.0967741935483871,True,1
side_effect,B1,5,B1_prior,123,31,0.03225806451612903,True,1
side_effect,B2,1,B2_C0p1_cw_none,126,30,0.05531609195402298,False,1
side_effect,B2,1,B2_C1p0_cw_none,126,30,0.060714285714285714,False,2
side_effect,B2,1,B2_C10p0_cw_none,126,30,0.06777777777777777,True,3
side_effect,B2,1,B2_C0p1_cw_balanced,126,30,0.05846153846153847,False,4
side_effect,B2,1,B2_C1p0_cw_balanced,126,30,0.060833333333333336,False,5
side_effect,B2,1,B2_C10p0_cw_balanced,126,30,0.05929487179487179,False,6
side_effect,B2,2,B2_C0p1_cw_none,126,31,0.03333333333333333,True,1
side_effect,B2,2,B2_C1p0_cw_none,126,31,0.03333333333333333,False,2
side_effect,B2,2,B2_C10p0_cw_none,126,31,0.03225806451612903,False,3
side_effect,B2,2,B2_C0p1_cw_balanced,126,31,0.03333333333333333,False,4
side_effect,B2,2,B2_C1p0_cw_balanced,126,31,0.03225806451612903,False,5
side_effect,B2,2,B2_C10p0_cw_balanced,126,31,0.03225806451612903,False,6
side_effect,B2,3,B2_C0p1_cw_none,126,30,0.14583333333333331,False,1
side_effect,B2,3,B2_C1p0_cw_none,126,30,0.12222222222222222,False,2
side_effect,B2,3,B2_C10p0_cw_none,126,30,0.13392857142857142,False,3
side_effect,B2,3,B2_C0p1_cw_balanced,126,30,0.23333333333333334,True,4
side_effect,B2,3,B2_C1p0_cw_balanced,126,30,0.1388888888888889,False,5
side_effect,B2,3,B2_C10p0_cw_balanced,126,30,0.11212121212121212,False,6
side_effect,B2,4,B2_C0p1_cw_none,126,31,0.18514818514818515,True,1
side_effect,B2,4,B2_C1p0_cw_none,126,31,0.14985380116959063,False,2
side_effect,B2,4,B2_C10p0_cw_none,126,31,0.12632275132275134,False,3
side_effect,B2,4,B2_C0p1_cw_balanced,126,31,0.15925925925925927,False,4
side_effect,B2,4,B2_C1p0_cw_balanced,126,31,0.10948275862068965,False,5
side_effect,B2,4,B2_C10p0_cw_balanced,126,31,0.09286412512218964,False,6
side_effect,B2,5,B2_C0p1_cw_none,123,31,0.03225806451612903,False,1
side_effect,B2,5,B2_C1p0_cw_none,123,31,0.03225806451612903,False,2
side_effect,B2,5,B2_C10p0_cw_none,123,31,0.03225806451612903,False,3
side_effect,B2,5,B2_C0p1_cw_balanced,123,31,0.03225806451612903,False,4
side_effect,B2,5,B2_C1p0_cw_balanced,123,31,0.03333333333333333,True,5
side_effect,B2,5,B2_C10p0_cw_balanced,123,31,0.03225806451612903,False,6
side_effect,B3,1,B3_T1_C0p1_cw_none,126,30,0.07333333333333333,False,1
side_effect,B3,1,B3_T1_C1p0_cw_none,126,30,0.20833333333333331,False,2
side_effect,B3,1,B3_T1_C10p0_cw_none,126,30,0.25,False,3
side_effect,B3,1,B3_T1_C0p1_cw_balanced,126,30,0.2159090909090909,False,4
side_effect,B3,1,B3_T1_C1p0_cw_balanced,126,30,0.29166666666666663,False,5
side_effect,B3,1,B3_T1_C10p0_cw_balanced,126,30,0.29166666666666663,False,6
side_effect,B3,1,B3_T2_C0p1_cw_none,126,30,0.10989010989010989,False,7
side_effect,B3,1,B3_T2_C1p0_cw_none,126,30,0.225,False,8
side_effect,B3,1,B3_T2_C10p0_cw_none,126,30,0.325,False,9
side_effect,B3,1,B3_T2_C0p1_cw_balanced,126,30,0.25,False,10
side_effect,B3,1,B3_T2_C1p0_cw_balanced,126,30,0.3666666666666667,True,11
side_effect,B3,1,B3_T2_C10p0_cw_balanced,126,30,0.325,False,12
side_effect,B3,2,B3_T1_C0p1_cw_none,126,31,0.037037037037037035,False,1
side_effect,B3,2,B3_T1_C1p0_cw_none,126,31,0.14285714285714285,False,2
side_effect,B3,2,B3_T1_C10p0_cw_none,126,31,0.14285714285714285,False,3
side_effect,B3,2,B3_T1_C0p1_cw_balanced,126,31,0.14285714285714285,False,4
side_effect,B3,2,B3_T1_C1p0_cw_balanced,126,31,0.14285714285714285,False,5
side_effect,B3,2,B3_T1_C10p0_cw_balanced,126,31,0.25,True,6
side_effect,B3,2,B3_T2_C0p1_cw_none,126,31,0.037037037037037035,False,7
side_effect,B3,2,B3_T2_C1p0_cw_none,126,31,0.14285714285714285,False,8
side_effect,B3,2,B3_T2_C10p0_cw_none,126,31,0.2,False,9
side_effect,B3,2,B3_T2_C0p1_cw_balanced,126,31,0.14285714285714285,False,10
side_effect,B3,2,B3_T2_C1p0_cw_balanced,126,31,0.14285714285714285,False,11
side_effect,B3,2,B3_T2_C10p0_cw_balanced,126,31,0.25,False,12
side_effect,B3,3,B3_T1_C0p1_cw_none,126,30,0.35,False,1
side_effect,B3,3,B3_T1_C1p0_cw_none,126,30,0.45,False,2
side_effect,B3,3,B3_T1_C10p0_cw_none,126,30,0.75,False,3
side_effect,B3,3,B3_T1_C0p1_cw_balanced,126,30,0.45,False,4
side_effect,B3,3,B3_T1_C1p0_cw_balanced,126,30,0.5,False,5
side_effect,B3,3,B3_T1_C10p0_cw_balanced,126,30,0.8333333333333333,True,6
side_effect,B3,3,B3_T2_C0p1_cw_none,126,30,0.5,False,7
side_effect,B3,3,B3_T2_C1p0_cw_none,126,30,0.5,False,8
side_effect,B3,3,B3_T2_C10p0_cw_none,126,30,0.5833333333333333,False,9
side_effect,B3,3,B3_T2_C0p1_cw_balanced,126,30,0.5,False,10
side_effect,B3,3,B3_T2_C1p0_cw_balanced,126,30,0.5833333333333333,False,11
side_effect,B3,3,B3_T2_C10p0_cw_balanced,126,30,0.5833333333333333,False,12
side_effect,B3,4,B3_T1_C0p1_cw_none,126,31,0.5888888888888889,False,1
side_effect,B3,4,B3_T1_C1p0_cw_none,126,31,0.8666666666666667,False,2
side_effect,B3,4,B3_T1_C10p0_cw_none,126,31,1.0,True,3
side_effect,B3,4,B3_T1_C0p1_cw_balanced,126,31,0.7222222222222222,False,4
side_effect,B3,4,B3_T1_C1p0_cw_balanced,126,31,1.0,False,5
side_effect,B3,4,B3_T1_C10p0_cw_balanced,126,31,1.0,False,6
side_effect,B3,4,B3_T2_C0p1_cw_none,126,31,1.0,False,7
side_effect,B3,4,B3_T2_C1p0_cw_none,126,31,1.0,False,8
side_effect,B3,4,B3_T2_C10p0_cw_none,126,31,0.9166666666666665,False,9
side_effect,B3,4,B3_T2_C0p1_cw_balanced,126,31,0.9166666666666665,False,10
side_effect,B3,4,B3_T2_C1p0_cw_balanced,126,31,0.9166666666666665,False,11
side_effect,B3,4,B3_T2_C10p0_cw_balanced,126,31,0.9166666666666665,False,12
side_effect,B3,5,B3_T1_C0p1_cw_none,123,31,0.03571428571428571,False,1
side_effect,B3,5,B3_T1_C1p0_cw_none,123,31,0.2,False,2
side_effect,B3,5,B3_T1_C10p0_cw_none,123,31,0.3333333333333333,True,3
side_effect,B3,5,B3_T1_C0p1_cw_balanced,123,31,0.2,False,4
side_effect,B3,5,B3_T1_C1p0_cw_balanced,123,31,0.3333333333333333,False,5
side_effect,B3,5,B3_T1_C10p0_cw_balanced,123,31,0.3333333333333333,False,6
side_effect,B3,5,B3_T2_C0p1_cw_none,123,31,0.04,False,7
side_effect,B3,5,B3_T2_C1p0_cw_none,123,31,0.25,False,8
side_effect,B3,5,B3_T2_C10p0_cw_none,123,31,0.3333333333333333,False,9
side_effect,B3,5,B3_T2_C0p1_cw_balanced,123,31,0.25,False,10
side_effect,B3,5,B3_T2_C1p0_cw_balanced,123,31,0.3333333333333333,False,11
side_effect,B3,5,B3_T2_C10p0_cw_balanced,123,31,0.3333333333333333,False,12
looping,B0,1,B0_most_frequent,126,31,0.45161290322580644,True,1
looping,B0,2,B0_most_frequent,126,31,0.45161290322580644,True,1
looping,B0,3,B0_most_frequent,127,31,0.45161290322580644,True,1
looping,B0,4,B0_most_frequent,126,31,0.45161290322580644,True,1
looping,B0,5,B0_most_frequent,124,31,0.45161290322580644,True,1
looping,B1,1,B1_prior,126,31,0.45161290322580644,True,1
looping,B1,2,B1_prior,126,31,0.45161290322580644,True,1
looping,B1,3,B1_prior,127,31,0.45161290322580644,True,1
looping,B1,4,B1_prior,126,31,0.45161290322580644,True,1
looping,B1,5,B1_prior,124,31,0.45161290322580644,True,1
looping,B2,1,B2_C0p1_cw_none,126,31,0.9910714285714284,False,1
