target,baseline_id,lobo_pooled_ap,a1_2_pooled_ap,ap_delta_lobo_minus_a1_2,lobo_pooled_f1,a1_2_pooled_f1,f1_delta_lobo_minus_a1_2,best_domain_ap,best_domain_ap_value,worst_domain_ap,worst_domain_ap_value,best_domain_f1,best_domain_f1_value,worst_domain_f1,worst_domain_f1_value,domain_ap_std,domain_f1_std,mixed_domains_beating_both_dummies
success,B0,0.3020833333333333,0.3020833333333333,0.0,0.0,0.0,0.0,visualwebarena,0.5,assistantbench,0.08333333333333333,assistantbench,0.0,assistantbench,0.0,0.17051536971086848,0.0,
success,B1,0.2628284072249589,0.29403475876190066,-0.031206351536941734,0.464,0.464,0.0,visualwebarena,0.5,assistantbench,0.08333333333333333,visualwebarena,0.6666666666666666,assistantbench,0.15384615384615385,0.17051536971086848,0.21236297432935544,
success,B2,0.4613633573666999,0.5460325657667283,-0.0846692084000284,0.5408805031446541,0.6,-0.0591194968553459,workarena,0.7092995442055778,assistantbench,0.10049019607843138,visualwebarena,0.7272727272727273,assistantbench,0.17391304347826086,0.2895629311918839,0.23927443520989905,4
success,B3,0.2979471273821883,0.3542397136544174,-0.056292586272229106,0.41935483870967744,0.4093567251461988,0.009998113563478628,workarena,0.7383617557735944,assistantbench,0.25,visualwebarena,0.6285714285714286,assistantbench,0.15384615384615385,0.21679240122617022,0.20679252070378226,0
side_effect,B0,0.06153846153846154,0.06153846153846154,0.0,0.0,0.0,0.0,webarena,0.09195402298850575,workarena,0.03333333333333333,visualwebarena,0.0,visualwebarena,0.0,0.03165096508738934,0.0,
side_effect,B1,0.05275403608736943,0.05574600520252694,-0.0029919691151575126,0.06666666666666667,0.11594202898550725,-0.04927536231884058,webarena,0.09195402298850575,workarena,0.03333333333333333,visualwebarena,0.15384615384615385,webarena,0.0,0.03165096508738934,0.07725587711388333,
side_effect,B2,0.04168967825924332,0.0713462143994289,-0.029656536140185576,0.061855670103092786,0.10869565217391304,-0.046839982070820255,visualwebarena,0.08095238095238094,workarena,0.030495831505046072,visualwebarena,0.15384615384615385,workarena,0.0,0.026519202192098308,0.07790603369729526,0
side_effect,B3,0.047532054277202536,0.2256074459108069,-0.17807539163360436,0.16071428571428573,0.375,-0.21428571428571427,visualwebarena,0.1534090909090909,workarena,0.051587301587301584,visualwebarena,0.18181818181818182,workarena,0.0,0.0534736600025241,0.1013270162063085,2
looping,B0,0.4497080947003308,0.46938775510204084,-0.019679660401710042,0.4111111111111111,0.0,0.4111111111111111,workarena,0.6166666666666667,visualwebarena,0.2916666666666667,webarena,0.592,assistantbench,0.0,0.1338508308486945,0.296,
looping,B1,0.4361162449169391,0.4557052062159531,-0.019588961299013996,0.6388888888888888,0.6388888888888888,0.0,workarena,0.6166666666666667,visualwebarena,0.2916666666666667,workarena,0.7628865979381443,visualwebarena,0.45161290322580644,0.1338508308486945,0.12796302627376763,
looping,B2,0.83603956358356,0.9045369820471402,-0.06849741846358015,0.8844221105527639,0.8944723618090452,-0.01005025125628134,visualwebarena,0.9240362811791383,workarena,0.7707773288239805,workarena,0.9024390243902439,visualwebarena,0.8,0.08278368845096613,0.045058465657930764,4
looping,B3,0.6669546240001409,0.6323064085195023,0.03464821548063868,0.6394052044609665,0.6606334841628959,-0.02122827970192942,assistantbench,0.8604630437634391,webarena,0.5769620326756502,workarena,0.7628865979381443,webarena,0.5486725663716814,0.1321240031986926,0.09389678423680949,1
