target,baseline_id,config_id,selected_held_out_group_count
success,B0,B0_most_frequent,4
success,B1,B1_prior,4
success,B2,B2_C0p1_cw_none,0
success,B2,B2_C1p0_cw_none,0
success,B2,B2_C10p0_cw_none,0
success,B2,B2_C0p1_cw_balanced,0
success,B2,B2_C1p0_cw_balanced,2
success,B2,B2_C10p0_cw_balanced,2
success,B3,B3_T1_C0p1_cw_none,0
success,B3,B3_T1_C1p0_cw_none,1
success,B3,B3_T1_C10p0_cw_none,0
success,B3,B3_T1_C0p1_cw_balanced,0
success,B3,B3_T1_C1p0_cw_balanced,0
success,B3,B3_T1_C10p0_cw_balanced,1
success,B3,B3_T2_C0p1_cw_none,0
success,B3,B3_T2_C1p0_cw_none,2
success,B3,B3_T2_C10p0_cw_none,0
success,B3,B3_T2_C0p1_cw_balanced,0
success,B3,B3_T2_C1p0_cw_balanced,0
success,B3,B3_T2_C10p0_cw_balanced,0
side_effect,B0,B0_most_frequent,4
side_effect,B1,B1_prior,4
side_effect,B2,B2_C0p1_cw_none,2
side_effect,B2,B2_C1p0_cw_none,0
side_effect,B2,B2_C10p0_cw_none,0
side_effect,B2,B2_C0p1_cw_balanced,1
side_effect,B2,B2_C1p0_cw_balanced,0
side_effect,B2,B2_C10p0_cw_balanced,1
side_effect,B3,B3_T1_C0p1_cw_none,0
side_effect,B3,B3_T1_C1p0_cw_none,2
side_effect,B3,B3_T1_C10p0_cw_none,0
side_effect,B3,B3_T1_C0p1_cw_balanced,0
side_effect,B3,B3_T1_C1p0_cw_balanced,0
side_effect,B3,B3_T1_C10p0_cw_balanced,0
side_effect,B3,B3_T2_C0p1_cw_none,0
side_effect,B3,B3_T2_C1p0_cw_none,0
side_effect,B3,B3_T2_C10p0_cw_none,0
side_effect,B3,B3_T2_C0p1_cw_balanced,0
side_effect,B3,B3_T2_C1p0_cw_balanced,2
side_effect,B3,B3_T2_C10p0_cw_balanced,0
looping,B0,B0_most_frequent,4
looping,B1,B1_prior,4
looping,B2,B2_C0p1_cw_none,0
looping,B2,B2_C1p0_cw_none,0
looping,B2,B2_C10p0_cw_none,0
looping,B2,B2_C0p1_cw_balanced,1
looping,B2,B2_C1p0_cw_balanced,2
looping,B2,B2_C10p0_cw_balanced,1
looping,B3,B3_T1_C0p1_cw_none,0
looping,B3,B3_T1_C1p0_cw_none,0
looping,B3,B3_T1_C10p0_cw_none,0
looping,B3,B3_T1_C0p1_cw_balanced,0
looping,B3,B3_T1_C1p0_cw_balanced,1
looping,B3,B3_T1_C10p0_cw_balanced,2
looping,B3,B3_T2_C0p1_cw_none,0
looping,B3,B3_T2_C1p0_cw_none,0
looping,B3,B3_T2_C10p0_cw_none,0
looping,B3,B3_T2_C0p1_cw_balanced,0
looping,B3,B3_T2_C1p0_cw_balanced,0
looping,B3,B3_T2_C10p0_cw_balanced,1
