target,baseline_id,held_out_group,held_out_size,task_group_count,positive_count,negative_count,prevalence,predicted_positive_count,predicted_positive_rate,selected_config_id,selected_threshold,inner_n_splits,metric_status,pr_auc_average_precision,positive_f1,roc_auc,precision,recall,f2,balanced_accuracy,mcc,ap_lift,ap_vs_best_dummy,f1_vs_best_dummy,false_positive_count,false_positive_rate,specificity,probability_mean,probability_median,probability_max
success,B0,assistantbench,24,6,2,22,0.08333333333333333,0,0.0,B0_most_frequent,0.5,5,ok,0.08333333333333333,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,,,0,0.0,1.0,0.0,0.0,0.0
success,B1,assistantbench,24,6,2,22,0.08333333333333333,24,1.0,B1_prior,0.3,5,ok,0.08333333333333333,0.15384615384615385,0.5,0.08333333333333333,1.0,0.3125,0.5,0.0,0.0,,,22,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
success,B2,assistantbench,24,6,2,22,0.08333333333333333,21,0.875,B2_C10p0_cw_balanced,0.25,5,ok,0.10049019607843138,0.17391304347826086,0.4090909090909091,0.09523809523809523,1.0,0.3448275862068966,0.5681818181818181,0.11396057645963795,0.017156862745098048,0.017156862745098048,0.02006688963210701,19,0.8636363636363636,0.13636363636363635,0.5065647883026866,0.6355238070591771,0.821945241061153
success,B3,assistantbench,24,6,2,22,0.08333333333333333,24,1.0,B3_T1_C10p0_cw_balanced,0.05,5,ok,0.25,0.15384615384615385,0.7272727272727273,0.08333333333333333,1.0,0.3125,0.5,0.0,0.16666666666666669,0.16666666666666669,0.0,22,1.0,0.0,0.4305853304311975,0.43212749698621344,0.5663462505421288
success,B0,visualwebarena,24,8,12,12,0.5,0,0.0,B0_most_frequent,0.5,5,ok,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,,,0,0.0,1.0,0.0,0.0,0.0
success,B1,visualwebarena,24,8,12,12,0.5,24,1.0,B1_prior,0.25,5,ok,0.5,0.6666666666666666,0.5,0.5,1.0,0.8333333333333334,0.5,0.0,0.0,,,12,1.0,0.0,0.27380952380952384,0.27380952380952384,0.27380952380952384
success,B2,visualwebarena,24,8,12,12,0.5,10,0.4166666666666667,B2_C10p0_cw_balanced,0.7,5,ok,0.7026547526547526,0.7272727272727273,0.8125,0.8,0.6666666666666666,0.6896551724137931,0.75,0.50709255283711,0.20265475265475263,0.20265475265475263,0.06060606060606066,2,0.16666666666666666,0.8333333333333334,0.5463363902822679,0.5147912920010941,0.9985613632283088
success,B3,visualwebarena,24,8,12,12,0.5,23,0.9583333333333334,B3_T2_C1p0_cw_none,0.25,5,ok,0.37798833010166977,0.6285714285714286,0.2152777777777778,0.4782608695652174,0.9166666666666666,0.7746478873239436,0.4583333333333333,-0.20851441405707474,-0.12201166989833023,-0.12201166989833023,-0.03809523809523807,12,1.0,0.0,0.3060740757478099,0.3007664450272013,0.41386406840734125
success,B0,webarena,84,22,25,59,0.2976190476190476,0,0.0,B0_most_frequent,0.5,5,ok,0.2976190476190476,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,,,0,0.0,1.0,0.0,0.0,0.0
success,B1,webarena,84,22,25,59,0.2976190476190476,84,1.0,B1_prior,0.25,5,ok,0.2976190476190476,0.45871559633027525,0.5,0.2976190476190476,1.0,0.6793478260869565,0.5,0.0,0.0,,,59,1.0,0.0,0.30555555555555564,0.3055555555555556,0.3055555555555556
success,B2,webarena,84,22,25,59,0.2976190476190476,46,0.5476190476190477,B2_C1p0_cw_balanced,0.35,5,ok,0.40679407687853664,0.5633802816901409,0.6684745762711864,0.43478260869565216,0.8,0.684931506849315,0.6796610169491526,0.3300723500590644,0.10917502925948902,0.10917502925948902,0.10466468535986562,26,0.4406779661016949,0.559322033898305,0.46420183852265384,0.5229027389997334,0.9569495009205973
success,B3,webarena,84,22,25,59,0.2976190476190476,21,0.25,B3_T1_C1p0_cw_none,0.3,5,ok,0.3250774275674888,0.30434782608695654,0.48067796610169494,0.3333333333333333,0.28,0.2892561983471074,0.5213559322033898,0.045098761680169734,0.02745837994844119,0.02745837994844119,-0.1543677702433187,14,0.23728813559322035,0.7627118644067796,0.3063035334598189,0.27531149364053453,0.5919967111825822
success,B0,workarena,60,15,19,41,0.31666666666666665,0,0.0,B0_most_frequent,0.5,5,ok,0.31666666666666665,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,,,0,0.0,1.0,0.0,0.0,0.0
success,B1,workarena,60,15,19,41,0.31666666666666665,60,1.0,B1_prior,0.25,5,ok,0.31666666666666665,0.4810126582278481,0.5,0.31666666666666665,1.0,0.6985294117647058,0.5,0.0,0.0,,,41,1.0,0.0,0.2954545454545456,0.29545454545454547,0.29545454545454547
success,B2,workarena,60,15,19,41,0.31666666666666665,24,0.4,B2_C1p0_cw_balanced,0.3,5,ok,0.7092995442055778,0.6046511627906976,0.7471116816431321,0.5416666666666666,0.6842105263157895,0.65,0.7079589216944802,0.3949293497207571,0.3926328775389112,0.3926328775389112,0.12363850456284953,11,0.2682926829268293,0.7317073170731707,0.25893653859245963,0.16677306446454918,0.7713492942309037
success,B3,workarena,60,15,19,41,0.31666666666666665,60,1.0,B3_T2_C1p0_cw_none,0.2,5,ok,0.7383617557735944,0.4810126582278481,0.8613607188703466,0.31666666666666665,1.0,0.6985294117647058,0.5,0.0,0.42169508910692777,0.42169508910692777,0.0,41,1.0,0.0,0.2993173377229279,0.29636578840190925,0.32642009368975083
side_effect,B0,assistantbench,24,6,0,24,0.0,0,0.0,B0_most_frequent,0.5,5,single_class_negative,,,,,,,,,,,,0,0.0,1.0,0.0,0.0,0.0
side_effect,B1,assistantbench,24,6,0,24,0.0,24,1.0,B1_prior,0.05,5,single_class_negative,,,,,,,,,,,,24,1.0,0.0,0.07017543859649122,0.07017543859649122,0.07017543859649122
side_effect,B2,assistantbench,24,6,0,24,0.0,15,0.625,B2_C0p1_cw_none,0.2,5,single_class_negative,,,,,,,,,,,,15,0.625,0.375,0.22122921615483002,0.2057235936138336,0.36618253510929943
side_effect,B3,assistantbench,24,6,0,24,0.0,4,0.16666666666666666,B3_T2_C1p0_cw_balanced,0.3,5,single_class_negative,,,,,,,,,,,,4,0.16666666666666666,0.8333333333333334,0.2865779617009538,0.2874722733283419,0.3381744836835562
side_effect,B0,visualwebarena,24,8,2,22,0.08333333333333333,0,0.0,B0_most_frequent,0.5,5,ok,0.08333333333333333,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,,,0,0.0,1.0,0.0,0.0,0.0
side_effect,B1,visualwebarena,24,8,2,22,0.08333333333333333,24,1.0,B1_prior,0.05,5,ok,0.08333333333333333,0.15384615384615385,0.5,0.08333333333333333,1.0,0.3125,0.5,0.0,0.0,,,22,1.0,0.0,0.05847953216374269,0.05847953216374269,0.05847953216374269
side_effect,B2,visualwebarena,24,8,2,22,0.08333333333333333,24,1.0,B2_C0p1_cw_none,0.1,5,ok,0.08095238095238094,0.15384615384615385,0.25,0.08333333333333333,1.0,0.3125,0.5,0.0,-0.0023809523809523864,-0.0023809523809523864,0.0,22,1.0,0.0,0.17459758652215984,0.18405875457401466,0.231361622646203
side_effect,B3,visualwebarena,24,8,2,22,0.08333333333333333,9,0.375,B3_T1_C1p0_cw_none,0.1,5,ok,0.1534090909090909,0.18181818181818182,0.6363636363636362,0.1111111111111111,0.5,0.29411764705882354,0.5681818181818181,0.0778498944161523,0.07007575757575758,0.07007575757575758,0.02797202797202797,8,0.36363636363636365,0.6363636363636364,0.10688276670829457,0.07835778763053566,0.20458211481353922
side_effect,B0,webarena,87,22,8,79,0.09195402298850575,0,0.0,B0_most_frequent,0.5,4,ok,0.09195402298850575,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,,,0,0.0,1.0,0.0,0.0,0.0
side_effect,B1,webarena,87,22,8,79,0.09195402298850575,0,0.0,B1_prior,0.5,4,ok,0.09195402298850575,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,,,0,0.0,1.0,0.03703703703703705,0.037037037037037035,0.037037037037037035
side_effect,B2,webarena,87,22,8,79,0.09195402298850575,28,0.3218390804597701,B2_C10p0_cw_balanced,0.45,4,ok,0.0698806142062362,0.05555555555555555,0.29430379746835444,0.03571428571428571,0.125,0.08333333333333333,0.3916139240506329,-0.1340778405198956,-0.022073408782269544,-0.022073408782269544,0.05555555555555555,27,0.34177215189873417,0.6582278481012658,0.31068630342402825,0.060038134338280674,0.987601553183408
side_effect,B3,webarena,87,22,8,79,0.09195402298850575,87,1.0,B3_T1_C1p0_cw_none,0.05,4,ok,0.13082732183792278,0.16842105263157894,0.4588607594936709,0.09195402298850575,1.0,0.33613445378151263,0.5,0.0,0.03887329884941704,0.03887329884941704,0.16842105263157894,79,1.0,0.0,0.07465813544489518,0.07056713362371825,0.10229618632333015
side_effect,B0,workarena,60,15,2,58,0.03333333333333333,0,0.0,B0_most_frequent,0.5,5,ok,0.03333333333333333,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,,,0,0.0,1.0,0.0,0.0,0.0
side_effect,B1,workarena,60,15,2,58,0.03333333333333333,60,1.0,B1_prior,0.05,5,ok,0.03333333333333333,0.06451612903225806,0.5,0.03333333333333333,1.0,0.14705882352941177,0.5,0.0,0.0,,,58,1.0,0.0,0.0740740740740741,0.07407407407407407,0.07407407407407407
side_effect,B2,workarena,60,15,2,58,0.03333333333333333,18,0.3,B2_C0p1_cw_balanced,0.55,5,ok,0.030495831505046072,0.0,0.19827586206896552,0.0,0.0,0.0,0.3448275862068966,-0.12156613477096617,-0.002837501828287261,-0.002837501828287261,-0.06451612903225806,18,0.3103448275862069,0.6896551724137931,0.39408314922661375,0.30043179578735696,0.9234950318401273
side_effect,B3,workarena,60,15,2,58,0.03333333333333333,0,0.0,B3_T2_C1p0_cw_balanced,0.4,5,ok,0.051587301587301584,0.0,0.5344827586206897,0.0,0.0,0.0,0.5,0.0,0.01825396825396825,0.01825396825396825,-0.06451612903225806,0,0.0,1.0,0.24950465132007046,0.24733786434475702,0.2695396996360106
looping,B0,assistantbench,24,6,11,13,0.4583333333333333,0,0.0,B0_most_frequent,0.5,5,ok,0.4583333333333333,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,,,0,0.0,1.0,0.0,0.0,0.0
looping,B1,assistantbench,24,6,11,13,0.4583333333333333,24,1.0,B1_prior,0.45,5,ok,0.4583333333333333,0.6285714285714286,0.5,0.4583333333333333,1.0,0.8088235294117647,0.5,0.0,0.0,,,13,1.0,0.0,0.47093023255813954,0.47093023255813954,0.47093023255813954
looping,B2,assistantbench,24,6,11,13,0.4583333333333333,12,0.5,B2_C1p0_cw_balanced,0.35,5,ok,0.7880637039727949,0.8695652173913043,0.9020979020979021,0.8333333333333334,0.9090909090909091,0.8928571428571429,0.8776223776223776,0.7526178090063816,0.3297303706394616,0.3297303706394616,0.24099378881987576,2,0.15384615384615385,0.8461538461538461,0.501233173198507,0.5435269903759032,0.9904519368064892
looping,B3,assistantbench,24,6,11,13,0.4583333333333333,24,1.0,B3_T1_C1p0_cw_balanced,0.4,5,ok,0.8604630437634391,0.6285714285714286,0.8461538461538461,0.4583333333333333,1.0,0.8088235294117647,0.5,0.0,0.40212971043010576,0.40212971043010576,0.0,13,1.0,0.0,0.49541903469361825,0.49068076747776557,0.5827734474561034
looping,B0,visualwebarena,24,8,7,17,0.2916666666666667,0,0.0,B0_most_frequent,0.5,5,ok,0.2916666666666667,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,,,0,0.0,1.0,0.0,0.0,0.0
