target,held_out_group,baseline_id,config_id,inner_n_splits,inner_oof_size,inner_oof_pr_auc,selected,tie_break_rank
success,assistantbench,B0,B0_most_frequent,5,168,0.3333333333333333,True,1
success,assistantbench,B1,B1_prior,5,168,0.3275272795685438,True,1
success,assistantbench,B2,B2_C0p1_cw_none,5,168,0.5028427489648372,False,1
success,assistantbench,B2,B2_C1p0_cw_none,5,168,0.5210637367039775,False,2
success,assistantbench,B2,B2_C10p0_cw_none,5,168,0.5268328362912259,False,3
success,assistantbench,B2,B2_C0p1_cw_balanced,5,168,0.4985074786075026,False,4
success,assistantbench,B2,B2_C1p0_cw_balanced,5,168,0.5260765964473553,False,5
success,assistantbench,B2,B2_C10p0_cw_balanced,5,168,0.5319019170004805,True,6
success,assistantbench,B3,B3_T1_C0p1_cw_none,5,168,0.3972625207386829,False,1
success,assistantbench,B3,B3_T1_C1p0_cw_none,5,168,0.4346944778328325,False,2
success,assistantbench,B3,B3_T1_C10p0_cw_none,5,168,0.5043970787229696,False,3
success,assistantbench,B3,B3_T1_C0p1_cw_balanced,5,168,0.404573404496923,False,4
success,assistantbench,B3,B3_T1_C1p0_cw_balanced,5,168,0.4360985014066233,False,5
success,assistantbench,B3,B3_T1_C10p0_cw_balanced,5,168,0.504603105254277,True,6
success,assistantbench,B3,B3_T2_C0p1_cw_none,5,168,0.389720570463549,False,7
success,assistantbench,B3,B3_T2_C1p0_cw_none,5,168,0.39796659071297125,False,8
success,assistantbench,B3,B3_T2_C10p0_cw_none,5,168,0.43514451248354324,False,9
success,assistantbench,B3,B3_T2_C0p1_cw_balanced,5,168,0.3874490040966037,False,10
success,assistantbench,B3,B3_T2_C1p0_cw_balanced,5,168,0.39536837551316817,False,11
success,assistantbench,B3,B3_T2_C10p0_cw_balanced,5,168,0.43404362242944844,False,12
success,visualwebarena,B0,B0_most_frequent,5,168,0.27380952380952384,True,1
success,visualwebarena,B1,B1_prior,5,168,0.26045086059254124,True,1
success,visualwebarena,B2,B2_C0p1_cw_none,5,168,0.4378592890640293,False,1
success,visualwebarena,B2,B2_C1p0_cw_none,5,168,0.5167702562331891,False,2
success,visualwebarena,B2,B2_C10p0_cw_none,5,168,0.5731266996798267,False,3
success,visualwebarena,B2,B2_C0p1_cw_balanced,5,168,0.43160546614781825,False,4
success,visualwebarena,B2,B2_C1p0_cw_balanced,5,168,0.5195420379714695,False,5
success,visualwebarena,B2,B2_C10p0_cw_balanced,5,168,0.5745194470316195,True,6
success,visualwebarena,B3,B3_T1_C0p1_cw_none,5,168,0.5199196412941925,False,1
success,visualwebarena,B3,B3_T1_C1p0_cw_none,5,168,0.5637194520821154,False,2
success,visualwebarena,B3,B3_T1_C10p0_cw_none,5,168,0.5657614170873346,False,3
success,visualwebarena,B3,B3_T1_C0p1_cw_balanced,5,168,0.5546878453025096,False,4
success,visualwebarena,B3,B3_T1_C1p0_cw_balanced,5,168,0.565559291075419,False,5
success,visualwebarena,B3,B3_T1_C10p0_cw_balanced,5,168,0.5634376443919233,False,6
success,visualwebarena,B3,B3_T2_C0p1_cw_none,5,168,0.537333722998098,False,7
success,visualwebarena,B3,B3_T2_C1p0_cw_none,5,168,0.5681255525798279,True,8
success,visualwebarena,B3,B3_T2_C10p0_cw_none,5,168,0.5646731697153646,False,9
success,visualwebarena,B3,B3_T2_C0p1_cw_balanced,5,168,0.5529341432398969,False,10
success,visualwebarena,B3,B3_T2_C1p0_cw_balanced,5,168,0.5631988733934308,False,11
success,visualwebarena,B3,B3_T2_C10p0_cw_balanced,5,168,0.5607710313595602,False,12
success,webarena,B0,B0_most_frequent,5,108,0.3055555555555556,True,1
success,webarena,B1,B1_prior,5,108,0.2838911876679594,True,1
success,webarena,B2,B2_C0p1_cw_none,5,108,0.6512253266321784,False,1
success,webarena,B2,B2_C1p0_cw_none,5,108,0.6951643777215838,False,2
success,webarena,B2,B2_C10p0_cw_none,5,108,0.6454753563937116,False,3
success,webarena,B2,B2_C0p1_cw_balanced,5,108,0.6257873487835851,False,4
success,webarena,B2,B2_C1p0_cw_balanced,5,108,0.6976983568269264,True,5
success,webarena,B2,B2_C10p0_cw_balanced,5,108,0.6826393784334865,False,6
success,webarena,B3,B3_T1_C0p1_cw_none,5,108,0.6957934155059037,False,1
success,webarena,B3,B3_T1_C1p0_cw_none,5,108,0.7130401654830327,True,2
success,webarena,B3,B3_T1_C10p0_cw_none,5,108,0.7072372907639696,False,3
success,webarena,B3,B3_T1_C0p1_cw_balanced,5,108,0.6865126604890702,False,4
success,webarena,B3,B3_T1_C1p0_cw_balanced,5,108,0.6951463037528829,False,5
success,webarena,B3,B3_T1_C10p0_cw_balanced,5,108,0.6985536688369328,False,6
success,webarena,B3,B3_T2_C0p1_cw_none,5,108,0.6622929129882856,False,7
success,webarena,B3,B3_T2_C1p0_cw_none,5,108,0.7089208385231135,False,8
success,webarena,B3,B3_T2_C10p0_cw_none,5,108,0.6963625334400116,False,9
success,webarena,B3,B3_T2_C0p1_cw_balanced,5,108,0.7007367921684462,False,10
success,webarena,B3,B3_T2_C1p0_cw_balanced,5,108,0.6981580972559578,False,11
success,webarena,B3,B3_T2_C10p0_cw_balanced,5,108,0.6943929817716475,False,12
success,workarena,B0,B0_most_frequent,5,132,0.29545454545454547,True,1
success,workarena,B1,B1_prior,5,132,0.2811246689046105,True,1
success,workarena,B2,B2_C0p1_cw_none,5,132,0.453500973052882,False,1
success,workarena,B2,B2_C1p0_cw_none,5,132,0.47386555266246516,False,2
success,workarena,B2,B2_C10p0_cw_none,5,132,0.47758233913326614,False,3
success,workarena,B2,B2_C0p1_cw_balanced,5,132,0.4567354422913046,False,4
success,workarena,B2,B2_C1p0_cw_balanced,5,132,0.48892507051047296,True,5
success,workarena,B2,B2_C10p0_cw_balanced,5,132,0.4799736682816691,False,6
success,workarena,B3,B3_T1_C0p1_cw_none,5,132,0.3564545192535501,False,1
success,workarena,B3,B3_T1_C1p0_cw_none,5,132,0.4195610773491536,False,2
success,workarena,B3,B3_T1_C10p0_cw_none,5,132,0.4316693487129123,False,3
success,workarena,B3,B3_T1_C0p1_cw_balanced,5,132,0.42930569637495963,False,4
success,workarena,B3,B3_T1_C1p0_cw_balanced,5,132,0.4207008310645962,False,5
success,workarena,B3,B3_T1_C10p0_cw_balanced,5,132,0.4300505435277912,False,6
success,workarena,B3,B3_T2_C0p1_cw_none,5,132,0.37537328372849516,False,7
success,workarena,B3,B3_T2_C1p0_cw_none,5,132,0.43645727672543194,True,8
success,workarena,B3,B3_T2_C10p0_cw_none,5,132,0.41651911201078334,False,9
success,workarena,B3,B3_T2_C0p1_cw_balanced,5,132,0.41286557714337546,False,10
success,workarena,B3,B3_T2_C1p0_cw_balanced,5,132,0.4284494858327082,False,11
success,workarena,B3,B3_T2_C10p0_cw_balanced,5,132,0.4126099784196561,False,12
side_effect,assistantbench,B0,B0_most_frequent,5,171,0.07017543859649122,True,1
side_effect,assistantbench,B1,B1_prior,5,171,0.06337898201923874,True,1
side_effect,assistantbench,B2,B2_C0p1_cw_none,5,171,0.10177306163158004,True,1
side_effect,assistantbench,B2,B2_C1p0_cw_none,5,171,0.08686781238714031,False,2
side_effect,assistantbench,B2,B2_C10p0_cw_none,5,171,0.08265381523252736,False,3
side_effect,assistantbench,B2,B2_C0p1_cw_balanced,5,171,0.08965327832107997,False,4
side_effect,assistantbench,B2,B2_C1p0_cw_balanced,5,171,0.07351668771973333,False,5
side_effect,assistantbench,B2,B2_C10p0_cw_balanced,5,171,0.07148378309998302,False,6
side_effect,assistantbench,B3,B3_T1_C0p1_cw_none,5,171,0.2165417167520715,False,1
side_effect,assistantbench,B3,B3_T1_C1p0_cw_none,5,171,0.25123024124510357,False,2
side_effect,assistantbench,B3,B3_T1_C10p0_cw_none,5,171,0.23865495126995417,False,3
side_effect,assistantbench,B3,B3_T1_C0p1_cw_balanced,5,171,0.23869784551191175,False,4
side_effect,assistantbench,B3,B3_T1_C1p0_cw_balanced,5,171,0.21091019968079244,False,5
side_effect,assistantbench,B3,B3_T1_C10p0_cw_balanced,5,171,0.21937192356080934,False,6
side_effect,assistantbench,B3,B3_T2_C0p1_cw_none,5,171,0.21958491372685102,False,7
side_effect,assistantbench,B3,B3_T2_C1p0_cw_none,5,171,0.25800184017095784,False,8
side_effect,assistantbench,B3,B3_T2_C10p0_cw_none,5,171,0.26155395859762426,False,9
side_effect,assistantbench,B3,B3_T2_C0p1_cw_balanced,5,171,0.26193979816105584,False,10
side_effect,assistantbench,B3,B3_T2_C1p0_cw_balanced,5,171,0.27257586439134057,True,11
side_effect,assistantbench,B3,B3_T2_C10p0_cw_balanced,5,171,0.22912821618351206,False,12
side_effect,visualwebarena,B0,B0_most_frequent,5,171,0.05847953216374269,True,1
side_effect,visualwebarena,B1,B1_prior,5,171,0.04723503611971104,True,1
side_effect,visualwebarena,B2,B2_C0p1_cw_none,5,171,0.060455279345452514,True,1
side_effect,visualwebarena,B2,B2_C1p0_cw_none,5,171,0.052351529251784754,False,2
side_effect,visualwebarena,B2,B2_C10p0_cw_none,5,171,0.051223445885144284,False,3
side_effect,visualwebarena,B2,B2_C0p1_cw_balanced,5,171,0.05825752884384733,False,4
side_effect,visualwebarena,B2,B2_C1p0_cw_balanced,5,171,0.0504823878089771,False,5
side_effect,visualwebarena,B2,B2_C10p0_cw_balanced,5,171,0.054622085942693674,False,6
side_effect,visualwebarena,B3,B3_T1_C0p1_cw_none,5,171,0.31274908688563496,False,1
side_effect,visualwebarena,B3,B3_T1_C1p0_cw_none,5,171,0.38680948088270745,True,2
side_effect,visualwebarena,B3,B3_T1_C10p0_cw_none,5,171,0.3466898656898657,False,3
side_effect,visualwebarena,B3,B3_T1_C0p1_cw_balanced,5,171,0.38570523684113944,False,4
side_effect,visualwebarena,B3,B3_T1_C1p0_cw_balanced,5,171,0.3797147793726741,False,5
side_effect,visualwebarena,B3,B3_T1_C10p0_cw_balanced,5,171,0.27689489561006586,False,6
side_effect,visualwebarena,B3,B3_T2_C0p1_cw_none,5,171,0.2981042320820304,False,7
side_effect,visualwebarena,B3,B3_T2_C1p0_cw_none,5,171,0.3771953330416242,False,8
side_effect,visualwebarena,B3,B3_T2_C10p0_cw_none,5,171,0.3102827200109672,False,9
side_effect,visualwebarena,B3,B3_T2_C0p1_cw_balanced,5,171,0.3786349465681943,False,10
side_effect,visualwebarena,B3,B3_T2_C1p0_cw_balanced,5,171,0.35146205049430856,False,11
side_effect,visualwebarena,B3,B3_T2_C10p0_cw_balanced,5,171,0.2565257495451557,False,12
side_effect,webarena,B0,B0_most_frequent,4,108,0.037037037037037035,True,1
side_effect,webarena,B1,B1_prior,4,108,0.03606777960226236,True,1
side_effect,webarena,B2,B2_C0p1_cw_none,4,108,0.05321743889959782,False,1
side_effect,webarena,B2,B2_C1p0_cw_none,4,108,0.06289390756302521,False,2
side_effect,webarena,B2,B2_C10p0_cw_none,4,108,0.07148617511520737,False,3
side_effect,webarena,B2,B2_C0p1_cw_balanced,4,108,0.059988398344412386,False,4
side_effect,webarena,B2,B2_C1p0_cw_balanced,4,108,0.07705826506229732,False,5
side_effect,webarena,B2,B2_C10p0_cw_balanced,4,108,0.08034722222222222,True,6
side_effect,webarena,B3,B3_T1_C0p1_cw_none,4,108,0.17628330721003135,False,1
side_effect,webarena,B3,B3_T1_C1p0_cw_none,4,108,0.4630952380952381,True,2
side_effect,webarena,B3,B3_T1_C10p0_cw_none,4,108,0.32380952380952377,False,3
side_effect,webarena,B3,B3_T1_C0p1_cw_balanced,4,108,0.30892857142857144,False,4
side_effect,webarena,B3,B3_T1_C1p0_cw_balanced,4,108,0.3144230769230769,False,5
side_effect,webarena,B3,B3_T1_C10p0_cw_balanced,4,108,0.2733516483516483,False,6
side_effect,webarena,B3,B3_T2_C0p1_cw_none,4,108,0.19975429975429976,False,7
side_effect,webarena,B3,B3_T2_C1p0_cw_none,4,108,0.3630952380952381,False,8
side_effect,webarena,B3,B3_T2_C10p0_cw_none,4,108,0.35763888888888884,False,9
side_effect,webarena,B3,B3_T2_C0p1_cw_balanced,4,108,0.2901315789473684,False,10
side_effect,webarena,B3,B3_T2_C1p0_cw_balanced,4,108,0.2901315789473684,False,11
side_effect,webarena,B3,B3_T2_C10p0_cw_balanced,4,108,0.3588235294117647,False,12
side_effect,workarena,B0,B0_most_frequent,5,135,0.07407407407407407,True,1
side_effect,workarena,B1,B1_prior,5,135,0.058651782236476796,True,1
side_effect,workarena,B2,B2_C0p1_cw_none,5,135,0.10637426299797806,False,1
side_effect,workarena,B2,B2_C1p0_cw_none,5,135,0.10596863437813993,False,2
side_effect,workarena,B2,B2_C10p0_cw_none,5,135,0.09780369799636784,False,3
side_effect,workarena,B2,B2_C0p1_cw_balanced,5,135,0.11380653689481682,True,4
side_effect,workarena,B2,B2_C1p0_cw_balanced,5,135,0.11011567623503302,False,5
