target,baseline_id,sample_count,positive_count,negative_count,prevalence,pr_auc_average_precision,positive_f1,roc_auc,precision,recall,f2,balanced_accuracy,mcc,ap_lift
success,B0,192,58,134,0.3020833333333333,0.3020833333333333,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
success,B1,192,58,134,0.3020833333333333,0.2628284072249589,0.464,0.3857436953165208,0.3020833333333333,1.0,0.6839622641509434,0.5,0.0,-0.03925492610837439
success,B2,192,58,134,0.3020833333333333,0.4613633573666999,0.5408805031446541,0.7044518785383428,0.42574257425742573,0.7413793103448276,0.6456456456456456,0.6542717447246527,0.2837274793288851,0.1592800240333666
success,B3,192,58,134,0.3020833333333333,0.2979471273821883,0.41935483870967744,0.4891919711785898,0.3046875,0.6724137931034483,0.5416666666666666,0.5041173443129182,0.0080208169714404,-0.004136205951145
side_effect,B0,195,12,183,0.06153846153846154,0.06153846153846154,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
side_effect,B1,195,12,183,0.06153846153846154,0.05275403608736943,0.06666666666666667,0.36612021857923494,0.037037037037037035,0.3333333333333333,0.1282051282051282,0.3825136612021858,-0.1135957359873077,-0.008784425451092114
side_effect,B2,195,12,183,0.06153846153846154,0.04168967825924332,0.061855670103092786,0.23724954462659378,0.03529411764705882,0.25,0.11278195488721804,0.40095628415300544,-0.09599912699407268,-0.01984878327921822
side_effect,B3,195,12,183,0.06153846153846154,0.047532054277202536,0.16071428571428573,0.3465391621129326,0.09,0.75,0.30405405405405406,0.6263661202185793,0.12151083704870154,-0.014006407261259006
looping,B0,196,92,104,0.46938775510204084,0.4497080947003308,0.4111111111111111,0.4558946488294314,0.42045454545454547,0.40217391304347827,0.4057017543859649,0.4558946488294314,-0.08850720973975781,-0.019679660401710042
looping,B1,196,92,104,0.46938775510204084,0.4361162449169391,0.6388888888888888,0.4145066889632107,0.46938775510204084,1.0,0.8156028368794326,0.5,0.0,-0.033271510185101716
looping,B2,196,92,104,0.46938775510204084,0.83603956358356,0.8844221105527639,0.9111622073578596,0.822429906542056,0.9565217391304348,0.9263157894736842,0.8869147157190636,0.7756556040705175,0.3666518084815192
looping,B3,196,92,104,0.46938775510204084,0.6669546240001409,0.6394052044609665,0.6991011705685619,0.4858757062146893,0.9347826086956522,0.7889908256880734,0.5298913043478262,0.1008374865012378,0.1975668688981001
