target,baseline_id,a1_2_task_grouped_pooled_ap,a1_2_task_grouped_pooled_f1,a1_3_benchmark_held_out_pooled_ap,a1_3_benchmark_held_out_pooled_f1,a1_4_model_held_out_pooled_ap,a1_4_model_held_out_pooled_f1,ap_delta_a1_4_minus_a1_2,f1_delta_a1_4_minus_a1_2,ap_delta_a1_4_minus_a1_3,f1_delta_a1_4_minus_a1_3,best_model_ap,best_model_ap_value,worst_model_ap,worst_model_ap_value,best_model_f1,best_model_f1_value,worst_model_f1,worst_model_f1_value,model_ap_sample_std,model_f1_sample_std,worst_full_coverage_model_ap,worst_full_coverage_model_ap_value,worst_full_coverage_model_f1,worst_full_coverage_model_f1_value
success,B0,0.3020833333333333,0.0,0.3020833333333333,0.0,0.3020833333333333,0.0,0.0,0.0,0.0,0.0,GenericAgent-anthropic_claude-3.7-sonnet,0.39215686274509803,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.23255813953488372,GenericAgent-anthropic_claude-3.7-sonnet,0.0,GenericAgent-anthropic_claude-3.7-sonnet,0.0,0.06756099043573047,0.0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.27450980392156865,GenericAgent-anthropic_claude-3.7-sonnet,0.0
success,B1,0.29403475876190066,0.464,0.2628284072249589,0.464,0.27094423780193033,0.464,-0.02309052095997033,0.0,0.008115830576971406,0.0,GenericAgent-anthropic_claude-3.7-sonnet,0.39215686274509803,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.23255813953488372,GenericAgent-anthropic_claude-3.7-sonnet,0.5633802816901409,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.37735849056603776,0.06756099043573047,0.07820924990043268,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.27450980392156865,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.4307692307692308
success,B2,0.5460325657667283,0.6,0.4613633573666999,0.5408805031446541,0.5547194363360193,0.6190476190476191,0.008686870569290961,0.01904761904761909,0.09335607896931936,0.07816711590296499,GenericAgent-gpt-4o-2024-11-20,0.829041465417732,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.40688109963909563,GenericAgent-gpt-4o-2024-11-20,0.7368421052631579,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.5,0.19122084779327825,0.11743339481012145,GenericAgent-anthropic_claude-3.7-sonnet,0.5033598693597994,GenericAgent-anthropic_claude-3.7-sonnet,0.5294117647058824
success,B3,0.3542397136544174,0.4093567251461988,0.2979471273821883,0.41935483870967744,0.8221734321757597,0.7412587412587412,0.46793371852134225,0.33190201611254244,0.5242263047935714,0.3219039025490638,GenericAgent-anthropic_claude-3.7-sonnet,0.8877418898715603,GenericAgent-gpt-4o-2024-11-20,0.8058930159327955,GenericAgent-anthropic_claude-3.7-sonnet,0.7804878048780488,GenericAgent-gpt-4o-2024-11-20,0.6666666666666666,0.03749742771216551,0.05303050571205377,GenericAgent-gpt-4o-2024-11-20,0.8058930159327955,GenericAgent-gpt-4o-2024-11-20,0.6666666666666666
side_effect,B0,0.06153846153846154,0.0,0.06153846153846154,0.0,0.06153846153846154,0.0,0.0,0.0,0.0,0.0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.09803921568627451,GenericAgent-anthropic_claude-3.7-sonnet,0.0392156862745098,GenericAgent-anthropic_claude-3.7-sonnet,0.0,GenericAgent-anthropic_claude-3.7-sonnet,0.0,0.028059723325899698,0.0,GenericAgent-anthropic_claude-3.7-sonnet,0.0392156862745098,GenericAgent-anthropic_claude-3.7-sonnet,0.0
side_effect,B1,0.05574600520252694,0.11594202898550725,0.05275403608736943,0.06666666666666667,0.05093041119722832,0.08974358974358974,-0.004815594005298622,-0.026198439241917504,-0.0018236248901411095,0.023076923076923078,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.09803921568627451,GenericAgent-anthropic_claude-3.7-sonnet,0.0392156862745098,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.13043478260869565,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,0.028059723325899698,0.0536290649560126,GenericAgent-anthropic_claude-3.7-sonnet,0.0392156862745098,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0
side_effect,B2,0.0713462143994289,0.10869565217391304,0.04168967825924332,0.061855670103092786,0.08639530632635703,0.07142857142857142,0.015049091926928132,-0.037267080745341616,0.04470562806711371,0.009572901325478639,GenericAgent-anthropic_claude-3.7-sonnet,0.15,GenericAgent-gpt-4o-2024-11-20,0.09581881533101044,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.10526315789473684,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,0.02453270325481555,0.04512838076181916,GenericAgent-gpt-4o-2024-11-20,0.09581881533101044,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0
side_effect,B3,0.2256074459108069,0.375,0.047532054277202536,0.16071428571428573,0.2798338974024166,0.3783783783783784,0.054226451491609706,0.0033783783783783994,0.23230184312521407,0.21766409266409267,GenericAgent-anthropic_claude-3.7-sonnet,1.0,GenericAgent-gpt-4o-2024-11-20,0.18333333333333335,GenericAgent-anthropic_claude-3.7-sonnet,0.5,GenericAgent-gpt-4o-2024-11-20,0.25,0.35030945870906244,0.11197580205970208,GenericAgent-gpt-4o-2024-11-20,0.18333333333333335,GenericAgent-gpt-4o-2024-11-20,0.25
looping,B0,0.46938775510204084,0.0,0.4497080947003308,0.4111111111111111,0.43973241470501245,0.1958041958041958,-0.029655340397028385,0.1958041958041958,-0.009975679995318343,-0.2153069153069153,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.627906976744186,GenericAgent-anthropic_claude-3.7-sonnet,0.27450980392156865,GenericAgent-anthropic_claude-3.7-sonnet,0.4307692307692308,GenericAgent-gpt-4o-2024-11-20,0.0,0.16370332546965732,0.2153846153846154,GenericAgent-anthropic_claude-3.7-sonnet,0.27450980392156865,GenericAgent-gpt-4o-2024-11-20,0.0
looping,B1,0.4557052062159531,0.6388888888888888,0.4361162449169391,0.6388888888888888,0.3963868155958036,0.6388888888888888,-0.05931839062014954,0.0,-0.039729429321135545,0.0,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.627906976744186,GenericAgent-anthropic_claude-3.7-sonnet,0.27450980392156865,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.7714285714285715,GenericAgent-anthropic_claude-3.7-sonnet,0.4307692307692308,0.16370332546965732,0.15719032577759978,GenericAgent-anthropic_claude-3.7-sonnet,0.27450980392156865,GenericAgent-anthropic_claude-3.7-sonnet,0.4307692307692308
looping,B2,0.9045369820471402,0.8944723618090452,0.83603956358356,0.8844221105527639,0.8867169316658906,0.900523560209424,-0.017820050381249564,0.006051198400378821,0.05067736808233059,0.01610144965666016,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.9515558835264266,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.8506128993341902,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.9230769230769231,GenericAgent-anthropic_claude-3.7-sonnet,0.8484848484848485,0.04691175225292841,0.0327334175585037,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.8506128993341902,GenericAgent-anthropic_claude-3.7-sonnet,0.8484848484848485
looping,B3,0.6323064085195023,0.6606334841628959,0.6669546240001409,0.6394052044609665,0.7322545153806884,0.7671232876712328,0.09994810686118616,0.10648980350833692,0.06529989138054748,0.12771808321026634,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.9239372865701769,GenericAgent-anthropic_claude-3.7-sonnet,0.5971220753747722,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.8571428571428571,GenericAgent-anthropic_claude-3.7-sonnet,0.5777777777777777,0.13680829816799492,0.12282101042696418,GenericAgent-anthropic_claude-3.7-sonnet,0.5971220753747722,GenericAgent-anthropic_claude-3.7-sonnet,0.5777777777777777
