target,held_out_model,baseline_id,config_id,inner_n_splits,inner_oof_size,inner_oof_pr_auc,selected,tie_break_rank
success,GenericAgent-anthropic_claude-3.7-sonnet,B0,B0_most_frequent,5,141,0.2695035460992908,True,1
success,GenericAgent-anthropic_claude-3.7-sonnet,B1,B1_prior,5,141,0.2600696045495466,True,1
success,GenericAgent-anthropic_claude-3.7-sonnet,B2,B2_C0p1_cw_none,5,141,0.48521497602727703,False,1
success,GenericAgent-anthropic_claude-3.7-sonnet,B2,B2_C1p0_cw_none,5,141,0.5315110751744049,False,2
success,GenericAgent-anthropic_claude-3.7-sonnet,B2,B2_C10p0_cw_none,5,141,0.5148992538852958,False,3
success,GenericAgent-anthropic_claude-3.7-sonnet,B2,B2_C0p1_cw_balanced,5,141,0.4747635340567084,False,4
success,GenericAgent-anthropic_claude-3.7-sonnet,B2,B2_C1p0_cw_balanced,5,141,0.5510115137786125,True,5
success,GenericAgent-anthropic_claude-3.7-sonnet,B2,B2_C10p0_cw_balanced,5,141,0.5146817495764991,False,6
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T1_C0p1_cw_none,5,141,0.34311987381718106,False,1
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T1_C1p0_cw_none,5,141,0.4353277724632247,False,2
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T1_C10p0_cw_none,5,141,0.49559834916476847,True,3
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T1_C0p1_cw_balanced,5,141,0.3445724798358142,False,4
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T1_C1p0_cw_balanced,5,141,0.4311219266004249,False,5
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T1_C10p0_cw_balanced,5,141,0.4933993081135998,False,6
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T2_C0p1_cw_none,5,141,0.3498497959502817,False,7
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T2_C1p0_cw_none,5,141,0.38361797170327316,False,8
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T2_C10p0_cw_none,5,141,0.39937785010142585,False,9
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T2_C0p1_cw_balanced,5,141,0.35498323727251846,False,10
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T2_C1p0_cw_balanced,5,141,0.3759910426589382,False,11
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T2_C10p0_cw_balanced,5,141,0.39581408716052946,False,12
success,GenericAgent-gpt-4o-2024-11-20,B0,B0_most_frequent,5,145,0.30344827586206896,True,1
success,GenericAgent-gpt-4o-2024-11-20,B1,B1_prior,5,145,0.2935401535927544,True,1
success,GenericAgent-gpt-4o-2024-11-20,B2,B2_C0p1_cw_none,5,145,0.38074251300752443,False,1
success,GenericAgent-gpt-4o-2024-11-20,B2,B2_C1p0_cw_none,5,145,0.38189619355590837,False,2
success,GenericAgent-gpt-4o-2024-11-20,B2,B2_C10p0_cw_none,5,145,0.3852907066589084,False,3
success,GenericAgent-gpt-4o-2024-11-20,B2,B2_C0p1_cw_balanced,5,145,0.37851076100384473,False,4
success,GenericAgent-gpt-4o-2024-11-20,B2,B2_C1p0_cw_balanced,5,145,0.3920993778497578,False,5
success,GenericAgent-gpt-4o-2024-11-20,B2,B2_C10p0_cw_balanced,5,145,0.4135457547259337,True,6
success,GenericAgent-gpt-4o-2024-11-20,B3,B3_T1_C0p1_cw_none,5,145,0.42417296101184543,False,1
success,GenericAgent-gpt-4o-2024-11-20,B3,B3_T1_C1p0_cw_none,5,145,0.45899163515794694,False,2
success,GenericAgent-gpt-4o-2024-11-20,B3,B3_T1_C10p0_cw_none,5,145,0.500548630605087,False,3
success,GenericAgent-gpt-4o-2024-11-20,B3,B3_T1_C0p1_cw_balanced,5,145,0.420100649325082,False,4
success,GenericAgent-gpt-4o-2024-11-20,B3,B3_T1_C1p0_cw_balanced,5,145,0.4615808255611772,False,5
success,GenericAgent-gpt-4o-2024-11-20,B3,B3_T1_C10p0_cw_balanced,5,145,0.5025967024604265,True,6
success,GenericAgent-gpt-4o-2024-11-20,B3,B3_T2_C0p1_cw_none,5,145,0.43979940589508737,False,7
success,GenericAgent-gpt-4o-2024-11-20,B3,B3_T2_C1p0_cw_none,5,145,0.46237940918172515,False,8
success,GenericAgent-gpt-4o-2024-11-20,B3,B3_T2_C10p0_cw_none,5,145,0.4909231463393148,False,9
success,GenericAgent-gpt-4o-2024-11-20,B3,B3_T2_C0p1_cw_balanced,5,145,0.4307319594587038,False,10
