target,baseline_id,all_model_count,full_coverage_model_count,partial_coverage_model_count,pr_auc_average_precision_all_model_macro_mean,pr_auc_average_precision_all_model_macro_std,pr_auc_average_precision_full_coverage_macro_mean,pr_auc_average_precision_full_coverage_macro_std,positive_f1_all_model_macro_mean,positive_f1_all_model_macro_std,positive_f1_full_coverage_macro_mean,positive_f1_full_coverage_macro_std,roc_auc_all_model_macro_mean,roc_auc_all_model_macro_std,roc_auc_full_coverage_macro_mean,roc_auc_full_coverage_macro_std,precision_all_model_macro_mean,precision_all_model_macro_std,precision_full_coverage_macro_mean,precision_full_coverage_macro_std,recall_all_model_macro_mean,recall_all_model_macro_std,recall_full_coverage_macro_mean,recall_full_coverage_macro_std,f2_all_model_macro_mean,f2_all_model_macro_std,f2_full_coverage_macro_mean,f2_full_coverage_macro_std,balanced_accuracy_all_model_macro_mean,balanced_accuracy_all_model_macro_std,balanced_accuracy_full_coverage_macro_mean,balanced_accuracy_full_coverage_macro_std,mcc_all_model_macro_mean,mcc_all_model_macro_std,mcc_full_coverage_macro_mean,mcc_full_coverage_macro_std,ap_lift_all_model_macro_mean,ap_lift_all_model_macro_std,ap_lift_full_coverage_macro_mean,ap_lift_full_coverage_macro_std
success,B0,4,3,1,0.2992742866567706,0.06756099043573047,0.3215130023640662,0.06228457501762209,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
success,B1,4,3,1,0.2992742866567706,0.06756099043573047,0.3215130023640662,0.06228457501762209,0.4576310991170081,0.07820924990043268,0.4843886353006649,0.06985152610547805,0.5,0.0,0.5,0.0,0.2992742866567706,0.06756099043573047,0.3215130023640662,0.06228457501762209,1.0,0.0,1.0,0.0,0.6748964187855608,0.06715719246524895,0.6990586788626756,0.057116056214666665,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
success,B2,4,3,1,0.6111599817660089,0.19122084779327825,0.67925294247498,0.16440258865811463,0.6146403905691831,0.11743339481012145,0.6528538540922442,0.10919839998083712,0.773536036036036,0.14408662710930917,0.8152197652197652,0.14393135341415642,0.5912698412698413,0.15152288168283162,0.6587301587301587,0.08445951053092364,0.6982142857142857,0.22785415731735667,0.6976190476190476,0.27905940166900656,0.6547340964999353,0.16550578730658366,0.6718293700458907,0.1983299225590831,0.7392652628539725,0.09273212685894251,0.7579092393608523,0.10398694085191663,0.46462549634341954,0.17390302623292914,0.5148358037428435,0.17388773385316272,0.31188569510923836,0.20119163838649848,0.3577399401109138,0.21932041019231033
success,B3,4,3,1,0.8604552991594263,0.03749742771216551,0.8585402434790798,0.045684581622147426,0.7414182475158084,0.05303050571205377,0.7416440831074977,0.06494648407594833,0.9059111478466317,0.04777392591075082,0.8917199143005594,0.047065649236294006,0.6266259230965113,0.10204266290553399,0.6394227994227994,0.12098139244122126,0.9321428571428572,0.09431096343018264,0.9095238095238095,0.10135141263710837,0.8422943059038248,0.05280818427996608,0.8306614137197196,0.05806127286770582,0.846913414252124,0.0552185143505959,0.8312380876897006,0.05567163832328596,0.634601739746423,0.08349482716081254,0.6192097937085627,0.0950558111160307,0.5611810125026557,0.06957663535554544,0.5370272411150135,0.061326456343236586
side_effect,B0,4,3,1,0.06175558595531236,0.028059723325899698,0.05908496732026144,0.033737647907430834,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
side_effect,B1,4,3,1,0.06175558595531236,0.028059723325899698,0.05908496732026144,0.033737647907430834,0.07070738941124503,0.0536290649560126,0.05079825834542816,0.04399856717336464,0.5,0.0,0.5,0.0,0.03724578203374373,0.028614523564753896,0.026405228758169936,0.02287096120265743,0.75,0.5,0.6666666666666666,0.5773502691896257,0.15365814781361245,0.11312346201385086,0.11396843950905904,0.0987103784573614,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
side_effect,B2,4,3,1,0.11373698194707406,0.02453270325481555,0.11705550493211898,0.028925848728596153,0.06417293233082706,0.04512838076181916,0.05047619047619047,0.043923247838476974,0.525865590801538,0.04443213729613849,0.5289318988464952,0.05389720555738433,0.03610994983277592,0.026205503247524135,0.027313266443701228,0.023786609022688816,0.3333333333333333,0.23570226039551584,0.3333333333333333,0.28867513459481287,0.12173014367037138,0.0821699647600976,0.10278304870335231,0.08929669768181847,0.47954331188997334,0.042065923792408554,0.4796688602977423,0.05151910657558927,-0.03543247171216616,0.06637217711292466,-0.03992320843990585,0.08054128471732333,0.05198139599176171,0.04393558300837579,0.057970537611857546,0.05177146199746955
side_effect,B3,4,3,1,0.6226307189542484,0.35030945870906244,0.5709150326797385,0.4099121882190055,0.3819444444444444,0.11197580205970208,0.3611111111111111,0.1272937693043289,0.8992980072463768,0.09580029129906506,0.882397342995169,0.10978501266878953,0.27976190476190477,0.07866756984761511,0.26190476190476186,0.08584645893961879,0.6416666666666666,0.26299556396765833,0.6333333333333333,0.32145502536643183,0.49933862433862436,0.1695238838356653,0.48059964726631393,0.2024861111676373,0.7715214618456078,0.13737705958123134,0.7675841713496993,0.1679752101057854,0.36508293866133124,0.1493295883087105,0.347903378486278,0.17798360932912835,0.560875132998936,0.3524619102316962,0.5118300653594772,0.4146222199638001
looping,B0,4,3,1,0.4756041951664387,0.16370332546965732,0.42483660130718953,0.1572707113139342,0.1076923076923077,0.2153846153846154,0.1435897435897436,0.2487047313432234,0.5,0.0,0.5,0.0,0.06862745098039216,0.13725490196078433,0.09150326797385622,0.15848830918930903,0.25,0.5,0.3333333333333333,0.5773502691896257,0.16355140186915887,0.32710280373831774,0.21806853582554517,0.37770578358199813,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
looping,B1,4,3,1,0.4756041951664387,0.16370332546965732,0.42483660130718953,0.1572707113139342,0.6315679690679691,0.15719032577759978,0.5849477682811016,0.15499206124397114,0.5,0.0,0.5,0.0,0.4756041951664387,0.16370332546965732,0.42483660130718953,0.1572707113139342,1.0,0.0,1.0,0.0,0.8008040257024729,0.1103773445058018,0.7697254559035178,0.11171155833546316,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
looping,B2,4,3,1,0.9145954551921753,0.04691175225292841,0.9022753124140915,0.048891238895388836,0.8959696217760734,0.0327334175585037,0.8869338546757901,0.033426702126379014,0.9405615436865437,0.047610047805884154,0.9384956384956384,0.05809016433589259,0.8603518306636155,0.09216627235688507,0.8271357742181541,0.07824381257017567,0.9436507936507936,0.04603174603174605,0.9619047619047619,0.03433858357584752,0.9228052608155903,0.014998113779037876,0.929655134721539,0.007475994263579172,0.9108114811239811,0.02745099339429675,0.91001716001716,0.033564115977873406,0.8018065618625845,0.03586461407486891,0.7991779348990032,0.04345052054724925,0.43899126002573663,0.17502443436173168,0.477438711106902,0.1925645085877316
looping,B3,4,3,1,0.7864623750974564,0.13680829816799492,0.7406374046065495,0.12439934946968008,0.7568433662773285,0.12282101042696418,0.7234102026554857,0.12617782025721147,0.8333793615043615,0.04027949580102269,0.8202774202774203,0.03746587099603555,0.661512047115843,0.17594076074155005,0.6061539938556068,0.16746833303909764,0.9210317460317461,0.05854217017749215,0.9317460317460318,0.06672333192693237,0.841730234188298,0.06868365515986817,0.8303361759980225,0.0793550209937546,0.7612378003003003,0.04897174620279849,0.7522522522522522,0.05579343551784817,0.5270013050803743,0.11166567227218556,0.5044823018984824,0.12514471830709595,0.3108581799310177,0.06863231312030706,0.31580080329935994,0.08318061343725537
