target,baseline_id,sample_count,positive_count,negative_count,prevalence,pr_auc_average_precision,positive_f1,roc_auc,precision,recall,f2,balanced_accuracy,mcc,ap_lift
success,B0,192,58,134,0.3020833333333333,0.3020833333333333,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
success,B1,192,58,134,0.3020833333333333,0.27094423780193033,0.464,0.4252444673185795,0.3020833333333333,1.0,0.6839622641509434,0.5,0.0,-0.031139095531402983
success,B2,192,58,134,0.3020833333333333,0.5547194363360193,0.6190476190476191,0.7645393721049922,0.5735294117647058,0.6724137931034483,0.65,0.7279979413278436,0.4377861504069211,0.25263610300268596
success,B3,192,58,134,0.3020833333333333,0.8221734321757597,0.7412587412587412,0.8827843540916109,0.6235294117647059,0.9137931034482759,0.8359621451104101,0.8374935666495111,0.6239654440332633,0.5200900988424264
side_effect,B0,195,12,183,0.06153846153846154,0.06153846153846154,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
side_effect,B1,195,12,183,0.06153846153846154,0.05093041119722832,0.08974358974358974,0.3870673952641166,0.04861111111111111,0.5833333333333334,0.18229166666666666,0.4173497267759563,-0.09039077771635622,-0.010608050341233223
side_effect,B2,195,12,183,0.06153846153846154,0.08639530632635703,0.07142857142857142,0.5997267759562842,0.041666666666666664,0.25,0.125,0.4364754098360656,-0.06326583312033836,0.024856844787895488
side_effect,B3,195,12,183,0.06153846153846154,0.2798338974024166,0.3783783783783784,0.8091985428051002,0.28,0.5833333333333334,0.4794520547945205,0.7424863387978142,0.3486093048737391,0.21829543586395506
looping,B0,196,92,104,0.46938775510204084,0.43973241470501245,0.1958041958041958,0.3982023411371237,0.27450980392156865,0.15217391304347827,0.16706443914081145,0.39820234113712377,-0.23158438879124427,-0.029655340397028385
looping,B1,196,92,104,0.46938775510204084,0.3963868155958036,0.6388888888888888,0.3448996655518395,0.46938775510204084,1.0,0.8156028368794326,0.5,0.0,-0.07300093950623726
looping,B2,196,92,104,0.46938775510204084,0.8867169316658906,0.900523560209424,0.9443979933110368,0.8686868686868687,0.9347826086956522,0.9207708779443254,0.9048913043478262,0.8083055565602713,0.41732917656384977
looping,B3,196,92,104,0.46938775510204084,0.7322545153806884,0.7671232876712328,0.8027801003344481,0.6614173228346457,0.9130434782608695,0.8484848484848485,0.7497909698996655,0.5220245256822353,0.2628667602786476
