target,held_out_model,baseline_id,selected_config_id,threshold,inner_f1,inner_precision,inner_recall,selected
success,GenericAgent-anthropic_claude-3.7-sonnet,B0,B0_most_frequent,0.05,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B0,B0_most_frequent,0.1,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B0,B0_most_frequent,0.15,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B0,B0_most_frequent,0.2,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B0,B0_most_frequent,0.25,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B0,B0_most_frequent,0.3,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B0,B0_most_frequent,0.35,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B0,B0_most_frequent,0.4,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B0,B0_most_frequent,0.45,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B0,B0_most_frequent,0.5,0.0,0.0,0.0,True
success,GenericAgent-anthropic_claude-3.7-sonnet,B0,B0_most_frequent,0.55,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B0,B0_most_frequent,0.6,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B0,B0_most_frequent,0.65,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B0,B0_most_frequent,0.7,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B0,B0_most_frequent,0.75,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B0,B0_most_frequent,0.8,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B0,B0_most_frequent,0.85,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B0,B0_most_frequent,0.9,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B0,B0_most_frequent,0.95,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B1,B1_prior,0.05,0.4245810055865922,0.2695035460992908,1.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B1,B1_prior,0.1,0.4245810055865922,0.2695035460992908,1.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B1,B1_prior,0.15,0.4245810055865922,0.2695035460992908,1.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B1,B1_prior,0.2,0.4245810055865922,0.2695035460992908,1.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B1,B1_prior,0.25,0.4245810055865922,0.2695035460992908,1.0,True
success,GenericAgent-anthropic_claude-3.7-sonnet,B1,B1_prior,0.3,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B1,B1_prior,0.35,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B1,B1_prior,0.4,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B1,B1_prior,0.45,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B1,B1_prior,0.5,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B1,B1_prior,0.55,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B1,B1_prior,0.6,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B1,B1_prior,0.65,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B1,B1_prior,0.7,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B1,B1_prior,0.75,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B1,B1_prior,0.8,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B1,B1_prior,0.85,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B1,B1_prior,0.9,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B1,B1_prior,0.95,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B2,B2_C1p0_cw_balanced,0.05,0.4311377245508982,0.27906976744186046,0.9473684210526315,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B2,B2_C1p0_cw_balanced,0.1,0.46153846153846156,0.3050847457627119,0.9473684210526315,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B2,B2_C1p0_cw_balanced,0.15,0.5109489051094891,0.35353535353535354,0.9210526315789473,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B2,B2_C1p0_cw_balanced,0.2,0.5238095238095238,0.375,0.868421052631579,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B2,B2_C1p0_cw_balanced,0.25,0.5470085470085471,0.4050632911392405,0.8421052631578947,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B2,B2_C1p0_cw_balanced,0.3,0.5636363636363636,0.4305555555555556,0.8157894736842105,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B2,B2_C1p0_cw_balanced,0.35,0.5849056603773585,0.45588235294117646,0.8157894736842105,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B2,B2_C1p0_cw_balanced,0.4,0.5454545454545454,0.4426229508196721,0.7105263157894737,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B2,B2_C1p0_cw_balanced,0.45,0.5684210526315789,0.47368421052631576,0.7105263157894737,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B2,B2_C1p0_cw_balanced,0.5,0.6,0.5192307692307693,0.7105263157894737,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B2,B2_C1p0_cw_balanced,0.55,0.6067415730337079,0.5294117647058824,0.7105263157894737,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B2,B2_C1p0_cw_balanced,0.6,0.611764705882353,0.5531914893617021,0.6842105263157895,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B2,B2_C1p0_cw_balanced,0.65,0.6052631578947368,0.6052631578947368,0.6052631578947368,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B2,B2_C1p0_cw_balanced,0.7,0.6216216216216216,0.6388888888888888,0.6052631578947368,True
success,GenericAgent-anthropic_claude-3.7-sonnet,B2,B2_C1p0_cw_balanced,0.75,0.5671641791044776,0.6551724137931034,0.5,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B2,B2_C1p0_cw_balanced,0.8,0.45614035087719296,0.6842105263157895,0.34210526315789475,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B2,B2_C1p0_cw_balanced,0.85,0.37037037037037035,0.625,0.2631578947368421,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B2,B2_C1p0_cw_balanced,0.9,0.2127659574468085,0.5555555555555556,0.13157894736842105,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B2,B2_C1p0_cw_balanced,0.95,0.09523809523809523,0.5,0.05263157894736842,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T1_C10p0_cw_none,0.05,0.38323353293413176,0.24806201550387597,0.8421052631578947,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T1_C10p0_cw_none,0.1,0.45112781954887216,0.3157894736842105,0.7894736842105263,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T1_C10p0_cw_none,0.15,0.5045045045045045,0.3835616438356164,0.7368421052631579,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T1_C10p0_cw_none,0.2,0.5294117647058824,0.421875,0.7105263157894737,True
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T1_C10p0_cw_none,0.25,0.4631578947368421,0.38596491228070173,0.5789473684210527,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T1_C10p0_cw_none,0.3,0.35443037974683544,0.34146341463414637,0.3684210526315789,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T1_C10p0_cw_none,0.35,0.3561643835616438,0.37142857142857144,0.34210526315789475,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T1_C10p0_cw_none,0.4,0.34375,0.4230769230769231,0.2894736842105263,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T1_C10p0_cw_none,0.45,0.32786885245901637,0.43478260869565216,0.2631578947368421,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T1_C10p0_cw_none,0.5,0.3050847457627119,0.42857142857142855,0.23684210526315788,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T1_C10p0_cw_none,0.55,0.32727272727272727,0.5294117647058824,0.23684210526315788,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T1_C10p0_cw_none,0.6,0.32,0.6666666666666666,0.21052631578947367,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T1_C10p0_cw_none,0.65,0.3111111111111111,1.0,0.18421052631578946,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T1_C10p0_cw_none,0.7,0.14634146341463414,1.0,0.07894736842105263,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T1_C10p0_cw_none,0.75,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T1_C10p0_cw_none,0.8,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T1_C10p0_cw_none,0.85,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T1_C10p0_cw_none,0.9,0.0,0.0,0.0,False
success,GenericAgent-anthropic_claude-3.7-sonnet,B3,B3_T1_C10p0_cw_none,0.95,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B0,B0_most_frequent,0.05,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B0,B0_most_frequent,0.1,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B0,B0_most_frequent,0.15,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B0,B0_most_frequent,0.2,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B0,B0_most_frequent,0.25,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B0,B0_most_frequent,0.3,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B0,B0_most_frequent,0.35,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B0,B0_most_frequent,0.4,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B0,B0_most_frequent,0.45,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B0,B0_most_frequent,0.5,0.0,0.0,0.0,True
success,GenericAgent-gpt-4o-2024-11-20,B0,B0_most_frequent,0.55,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B0,B0_most_frequent,0.6,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B0,B0_most_frequent,0.65,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B0,B0_most_frequent,0.7,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B0,B0_most_frequent,0.75,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B0,B0_most_frequent,0.8,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B0,B0_most_frequent,0.85,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B0,B0_most_frequent,0.9,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B0,B0_most_frequent,0.95,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B1,B1_prior,0.05,0.4656084656084656,0.30344827586206896,1.0,False
success,GenericAgent-gpt-4o-2024-11-20,B1,B1_prior,0.1,0.4656084656084656,0.30344827586206896,1.0,False
success,GenericAgent-gpt-4o-2024-11-20,B1,B1_prior,0.15,0.4656084656084656,0.30344827586206896,1.0,False
success,GenericAgent-gpt-4o-2024-11-20,B1,B1_prior,0.2,0.4656084656084656,0.30344827586206896,1.0,False
success,GenericAgent-gpt-4o-2024-11-20,B1,B1_prior,0.25,0.4656084656084656,0.30344827586206896,1.0,True
success,GenericAgent-gpt-4o-2024-11-20,B1,B1_prior,0.3,0.43478260869565216,0.29914529914529914,0.7954545454545454,False
success,GenericAgent-gpt-4o-2024-11-20,B1,B1_prior,0.35,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B1,B1_prior,0.4,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B1,B1_prior,0.45,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B1,B1_prior,0.5,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B1,B1_prior,0.55,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B1,B1_prior,0.6,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B1,B1_prior,0.65,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B1,B1_prior,0.7,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B1,B1_prior,0.75,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B1,B1_prior,0.8,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B1,B1_prior,0.85,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B1,B1_prior,0.9,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B1,B1_prior,0.95,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B2,B2_C10p0_cw_balanced,0.05,0.44919786096256686,0.2937062937062937,0.9545454545454546,False
success,GenericAgent-gpt-4o-2024-11-20,B2,B2_C10p0_cw_balanced,0.1,0.45555555555555555,0.3014705882352941,0.9318181818181818,False
success,GenericAgent-gpt-4o-2024-11-20,B2,B2_C10p0_cw_balanced,0.15,0.49101796407185627,0.3333333333333333,0.9318181818181818,False
success,GenericAgent-gpt-4o-2024-11-20,B2,B2_C10p0_cw_balanced,0.2,0.52,0.36792452830188677,0.8863636363636364,False
success,GenericAgent-gpt-4o-2024-11-20,B2,B2_C10p0_cw_balanced,0.25,0.5428571428571428,0.3958333333333333,0.8636363636363636,False
success,GenericAgent-gpt-4o-2024-11-20,B2,B2_C10p0_cw_balanced,0.3,0.5606060606060606,0.42045454545454547,0.8409090909090909,False
success,GenericAgent-gpt-4o-2024-11-20,B2,B2_C10p0_cw_balanced,0.35,0.5691056910569106,0.4430379746835443,0.7954545454545454,True
success,GenericAgent-gpt-4o-2024-11-20,B2,B2_C10p0_cw_balanced,0.4,0.5689655172413793,0.4583333333333333,0.75,False
success,GenericAgent-gpt-4o-2024-11-20,B2,B2_C10p0_cw_balanced,0.45,0.5321100917431193,0.4461538461538462,0.6590909090909091,False
success,GenericAgent-gpt-4o-2024-11-20,B2,B2_C10p0_cw_balanced,0.5,0.5370370370370371,0.453125,0.6590909090909091,False
success,GenericAgent-gpt-4o-2024-11-20,B2,B2_C10p0_cw_balanced,0.55,0.5471698113207547,0.46774193548387094,0.6590909090909091,False
success,GenericAgent-gpt-4o-2024-11-20,B2,B2_C10p0_cw_balanced,0.6,0.5346534653465347,0.47368421052631576,0.6136363636363636,False
success,GenericAgent-gpt-4o-2024-11-20,B2,B2_C10p0_cw_balanced,0.65,0.5052631578947369,0.47058823529411764,0.5454545454545454,False
success,GenericAgent-gpt-4o-2024-11-20,B2,B2_C10p0_cw_balanced,0.7,0.43373493975903615,0.46153846153846156,0.4090909090909091,False
success,GenericAgent-gpt-4o-2024-11-20,B2,B2_C10p0_cw_balanced,0.75,0.34210526315789475,0.40625,0.29545454545454547,False
success,GenericAgent-gpt-4o-2024-11-20,B2,B2_C10p0_cw_balanced,0.8,0.29850746268656714,0.43478260869565216,0.22727272727272727,False
success,GenericAgent-gpt-4o-2024-11-20,B2,B2_C10p0_cw_balanced,0.85,0.19672131147540983,0.35294117647058826,0.13636363636363635,False
success,GenericAgent-gpt-4o-2024-11-20,B2,B2_C10p0_cw_balanced,0.9,0.10526315789473684,0.23076923076923078,0.06818181818181818,False
success,GenericAgent-gpt-4o-2024-11-20,B2,B2_C10p0_cw_balanced,0.95,0.11320754716981132,0.3333333333333333,0.06818181818181818,False
success,GenericAgent-gpt-4o-2024-11-20,B3,B3_T1_C10p0_cw_balanced,0.05,0.45054945054945056,0.2971014492753623,0.9318181818181818,False
success,GenericAgent-gpt-4o-2024-11-20,B3,B3_T1_C10p0_cw_balanced,0.1,0.45348837209302323,0.3046875,0.8863636363636364,False
success,GenericAgent-gpt-4o-2024-11-20,B3,B3_T1_C10p0_cw_balanced,0.15,0.5165562913907285,0.3644859813084112,0.8863636363636364,False
success,GenericAgent-gpt-4o-2024-11-20,B3,B3_T1_C10p0_cw_balanced,0.2,0.5588235294117647,0.41304347826086957,0.8636363636363636,False
success,GenericAgent-gpt-4o-2024-11-20,B3,B3_T1_C10p0_cw_balanced,0.25,0.6086956521739131,0.49295774647887325,0.7954545454545454,True
success,GenericAgent-gpt-4o-2024-11-20,B3,B3_T1_C10p0_cw_balanced,0.3,0.5714285714285714,0.4918032786885246,0.6818181818181818,False
success,GenericAgent-gpt-4o-2024-11-20,B3,B3_T1_C10p0_cw_balanced,0.35,0.5858585858585859,0.5272727272727272,0.6590909090909091,False
success,GenericAgent-gpt-4o-2024-11-20,B3,B3_T1_C10p0_cw_balanced,0.4,0.5434782608695652,0.5208333333333334,0.5681818181818182,False
success,GenericAgent-gpt-4o-2024-11-20,B3,B3_T1_C10p0_cw_balanced,0.45,0.4827586206896552,0.4883720930232558,0.4772727272727273,False
success,GenericAgent-gpt-4o-2024-11-20,B3,B3_T1_C10p0_cw_balanced,0.5,0.375,0.4166666666666667,0.3409090909090909,False
success,GenericAgent-gpt-4o-2024-11-20,B3,B3_T1_C10p0_cw_balanced,0.55,0.38961038961038963,0.45454545454545453,0.3409090909090909,False
success,GenericAgent-gpt-4o-2024-11-20,B3,B3_T1_C10p0_cw_balanced,0.6,0.37142857142857144,0.5,0.29545454545454547,False
success,GenericAgent-gpt-4o-2024-11-20,B3,B3_T1_C10p0_cw_balanced,0.65,0.3384615384615385,0.5238095238095238,0.25,False
success,GenericAgent-gpt-4o-2024-11-20,B3,B3_T1_C10p0_cw_balanced,0.7,0.34375,0.55,0.25,False
success,GenericAgent-gpt-4o-2024-11-20,B3,B3_T1_C10p0_cw_balanced,0.75,0.32786885245901637,0.5882352941176471,0.22727272727272727,False
success,GenericAgent-gpt-4o-2024-11-20,B3,B3_T1_C10p0_cw_balanced,0.8,0.3157894736842105,0.6923076923076923,0.20454545454545456,False
success,GenericAgent-gpt-4o-2024-11-20,B3,B3_T1_C10p0_cw_balanced,0.85,0.19607843137254902,0.7142857142857143,0.11363636363636363,False
success,GenericAgent-gpt-4o-2024-11-20,B3,B3_T1_C10p0_cw_balanced,0.9,0.0,0.0,0.0,False
success,GenericAgent-gpt-4o-2024-11-20,B3,B3_T1_C10p0_cw_balanced,0.95,0.0,0.0,0.0,False
