target,variant_id,config_id,selected_held_out_group_count
success,S0_full13,B2_C0p1_cw_none,0
success,S0_full13,B2_C1p0_cw_none,0
success,S0_full13,B2_C10p0_cw_none,0
success,S0_full13,B2_C0p1_cw_balanced,0
success,S0_full13,B2_C1p0_cw_balanced,2
success,S0_full13,B2_C10p0_cw_balanced,2
success,S1_no_termination,B2_C0p1_cw_none,0
success,S1_no_termination,B2_C1p0_cw_none,1
success,S1_no_termination,B2_C10p0_cw_none,0
success,S1_no_termination,B2_C0p1_cw_balanced,0
success,S1_no_termination,B2_C1p0_cw_balanced,1
success,S1_no_termination,B2_C10p0_cw_balanced,2
success,S2_no_repetition,B2_C0p1_cw_none,0
success,S2_no_repetition,B2_C1p0_cw_none,1
success,S2_no_repetition,B2_C10p0_cw_none,1
success,S2_no_repetition,B2_C0p1_cw_balanced,0
success,S2_no_repetition,B2_C1p0_cw_balanced,1
success,S2_no_repetition,B2_C10p0_cw_balanced,1
success,S3_no_activity_volume,B2_C0p1_cw_none,0
success,S3_no_activity_volume,B2_C1p0_cw_none,0
success,S3_no_activity_volume,B2_C10p0_cw_none,2
success,S3_no_activity_volume,B2_C0p1_cw_balanced,1
success,S3_no_activity_volume,B2_C1p0_cw_balanced,1
success,S3_no_activity_volume,B2_C10p0_cw_balanced,0
success,S4_no_error,B2_C0p1_cw_none,0
success,S4_no_error,B2_C1p0_cw_none,1
success,S4_no_error,B2_C10p0_cw_none,0
success,S4_no_error,B2_C0p1_cw_balanced,0
success,S4_no_error,B2_C1p0_cw_balanced,0
success,S4_no_error,B2_C10p0_cw_balanced,3
success,S5_no_termination_or_repetition,B2_C0p1_cw_none,0
success,S5_no_termination_or_repetition,B2_C1p0_cw_none,0
success,S5_no_termination_or_repetition,B2_C10p0_cw_none,2
success,S5_no_termination_or_repetition,B2_C0p1_cw_balanced,1
success,S5_no_termination_or_repetition,B2_C1p0_cw_balanced,0
success,S5_no_termination_or_repetition,B2_C10p0_cw_balanced,1
success,S6_termination_repetition_only,B2_C0p1_cw_none,0
success,S6_termination_repetition_only,B2_C1p0_cw_none,1
success,S6_termination_repetition_only,B2_C10p0_cw_none,1
success,S6_termination_repetition_only,B2_C0p1_cw_balanced,0
success,S6_termination_repetition_only,B2_C1p0_cw_balanced,1
success,S6_termination_repetition_only,B2_C10p0_cw_balanced,1
side_effect,S0_full13,B2_C0p1_cw_none,2
side_effect,S0_full13,B2_C1p0_cw_none,0
side_effect,S0_full13,B2_C10p0_cw_none,0
side_effect,S0_full13,B2_C0p1_cw_balanced,1
side_effect,S0_full13,B2_C1p0_cw_balanced,0
side_effect,S0_full13,B2_C10p0_cw_balanced,1
side_effect,S1_no_termination,B2_C0p1_cw_none,2
side_effect,S1_no_termination,B2_C1p0_cw_none,0
side_effect,S1_no_termination,B2_C10p0_cw_none,0
side_effect,S1_no_termination,B2_C0p1_cw_balanced,1
side_effect,S1_no_termination,B2_C1p0_cw_balanced,0
side_effect,S1_no_termination,B2_C10p0_cw_balanced,1
side_effect,S2_no_repetition,B2_C0p1_cw_none,1
side_effect,S2_no_repetition,B2_C1p0_cw_none,0
side_effect,S2_no_repetition,B2_C10p0_cw_none,0
side_effect,S2_no_repetition,B2_C0p1_cw_balanced,0
side_effect,S2_no_repetition,B2_C1p0_cw_balanced,1
side_effect,S2_no_repetition,B2_C10p0_cw_balanced,2
side_effect,S3_no_activity_volume,B2_C0p1_cw_none,0
side_effect,S3_no_activity_volume,B2_C1p0_cw_none,0
side_effect,S3_no_activity_volume,B2_C10p0_cw_none,0
side_effect,S3_no_activity_volume,B2_C0p1_cw_balanced,2
side_effect,S3_no_activity_volume,B2_C1p0_cw_balanced,1
side_effect,S3_no_activity_volume,B2_C10p0_cw_balanced,1
side_effect,S4_no_error,B2_C0p1_cw_none,1
side_effect,S4_no_error,B2_C1p0_cw_none,1
side_effect,S4_no_error,B2_C10p0_cw_none,1
side_effect,S4_no_error,B2_C0p1_cw_balanced,0
side_effect,S4_no_error,B2_C1p0_cw_balanced,0
side_effect,S4_no_error,B2_C10p0_cw_balanced,1
side_effect,S5_no_termination_or_repetition,B2_C0p1_cw_none,0
side_effect,S5_no_termination_or_repetition,B2_C1p0_cw_none,0
side_effect,S5_no_termination_or_repetition,B2_C10p0_cw_none,0
side_effect,S5_no_termination_or_repetition,B2_C0p1_cw_balanced,2
side_effect,S5_no_termination_or_repetition,B2_C1p0_cw_balanced,0
side_effect,S5_no_termination_or_repetition,B2_C10p0_cw_balanced,2
side_effect,S6_termination_repetition_only,B2_C0p1_cw_none,0
side_effect,S6_termination_repetition_only,B2_C1p0_cw_none,0
side_effect,S6_termination_repetition_only,B2_C10p0_cw_none,0
side_effect,S6_termination_repetition_only,B2_C0p1_cw_balanced,2
side_effect,S6_termination_repetition_only,B2_C1p0_cw_balanced,0
side_effect,S6_termination_repetition_only,B2_C10p0_cw_balanced,2
looping,S0_full13,B2_C0p1_cw_none,0
looping,S0_full13,B2_C1p0_cw_none,0
looping,S0_full13,B2_C10p0_cw_none,0
looping,S0_full13,B2_C0p1_cw_balanced,1
looping,S0_full13,B2_C1p0_cw_balanced,2
looping,S0_full13,B2_C10p0_cw_balanced,1
looping,S1_no_termination,B2_C0p1_cw_none,1
looping,S1_no_termination,B2_C1p0_cw_none,0
looping,S1_no_termination,B2_C10p0_cw_none,0
looping,S1_no_termination,B2_C0p1_cw_balanced,1
looping,S1_no_termination,B2_C1p0_cw_balanced,1
looping,S1_no_termination,B2_C10p0_cw_balanced,1
looping,S2_no_repetition,B2_C0p1_cw_none,0
looping,S2_no_repetition,B2_C1p0_cw_none,0
looping,S2_no_repetition,B2_C10p0_cw_none,2
looping,S2_no_repetition,B2_C0p1_cw_balanced,1
looping,S2_no_repetition,B2_C1p0_cw_balanced,1
looping,S2_no_repetition,B2_C10p0_cw_balanced,0
looping,S3_no_activity_volume,B2_C0p1_cw_none,3
looping,S3_no_activity_volume,B2_C1p0_cw_none,0
looping,S3_no_activity_volume,B2_C10p0_cw_none,0
looping,S3_no_activity_volume,B2_C0p1_cw_balanced,1
looping,S3_no_activity_volume,B2_C1p0_cw_balanced,0
looping,S3_no_activity_volume,B2_C10p0_cw_balanced,0
looping,S4_no_error,B2_C0p1_cw_none,1
looping,S4_no_error,B2_C1p0_cw_none,1
looping,S4_no_error,B2_C10p0_cw_none,0
looping,S4_no_error,B2_C0p1_cw_balanced,0
looping,S4_no_error,B2_C1p0_cw_balanced,2
looping,S4_no_error,B2_C10p0_cw_balanced,0
looping,S5_no_termination_or_repetition,B2_C0p1_cw_none,0
looping,S5_no_termination_or_repetition,B2_C1p0_cw_none,1
looping,S5_no_termination_or_repetition,B2_C10p0_cw_none,1
looping,S5_no_termination_or_repetition,B2_C0p1_cw_balanced,0
looping,S5_no_termination_or_repetition,B2_C1p0_cw_balanced,2
looping,S5_no_termination_or_repetition,B2_C10p0_cw_balanced,0
looping,S6_termination_repetition_only,B2_C0p1_cw_none,3
looping,S6_termination_repetition_only,B2_C1p0_cw_none,0
looping,S6_termination_repetition_only,B2_C10p0_cw_none,0
