target,variant_id,held_out_group,held_out_size,task_group_count,positive_count,negative_count,prevalence,predicted_positive_count,predicted_positive_rate,selected_config_id,selected_threshold,inner_n_splits,metric_status,pr_auc_average_precision,positive_f1,roc_auc,precision,recall,f2,balanced_accuracy,mcc,ap_lift,false_positive_count,false_positive_rate,specificity,probability_mean,probability_median,probability_max
success,S0_full13,assistantbench,24,6,2,22,0.08333333333333333,21,0.875,B2_C10p0_cw_balanced,0.25,5,ok,0.10049019607843138,0.17391304347826086,0.4090909090909091,0.09523809523809523,1.0,0.3448275862068966,0.5681818181818181,0.11396057645963795,0.017156862745098048,19,0.8636363636363636,0.13636363636363635,0.5065647883026866,0.6355238070591771,0.821945241061153
success,S0_full13,visualwebarena,24,8,12,12,0.5,10,0.4166666666666667,B2_C10p0_cw_balanced,0.7,5,ok,0.7026547526547526,0.7272727272727273,0.8125,0.8,0.6666666666666666,0.6896551724137931,0.75,0.50709255283711,0.20265475265475263,2,0.16666666666666666,0.8333333333333334,0.5463363902822679,0.5147912920010941,0.9985613632283088
success,S0_full13,webarena,84,22,25,59,0.2976190476190476,46,0.5476190476190477,B2_C1p0_cw_balanced,0.35,5,ok,0.40679407687853664,0.5633802816901409,0.6684745762711864,0.43478260869565216,0.8,0.684931506849315,0.6796610169491526,0.3300723500590644,0.10917502925948902,26,0.4406779661016949,0.5593220338983051,0.46420183852265384,0.5229027389997334,0.9569495009205973
success,S0_full13,workarena,60,15,19,41,0.31666666666666665,24,0.4,B2_C1p0_cw_balanced,0.3,5,ok,0.7092995442055778,0.6046511627906976,0.7471116816431321,0.5416666666666666,0.6842105263157895,0.65,0.7079589216944802,0.3949293497207571,0.3926328775389112,11,0.2682926829268293,0.7317073170731707,0.25893653859245963,0.16677306446454918,0.7713492942309037
side_effect,S0_full13,assistantbench,24,6,0,24,0.0,15,0.625,B2_C0p1_cw_none,0.2,5,single_class_negative,,,,,,,,,,15,0.625,0.375,0.22122921615483002,0.2057235936138336,0.36618253510929943
side_effect,S0_full13,visualwebarena,24,8,2,22,0.08333333333333333,24,1.0,B2_C0p1_cw_none,0.1,5,ok,0.08095238095238094,0.15384615384615385,0.25,0.08333333333333333,1.0,0.3125,0.5,0.0,-0.0023809523809523864,22,1.0,0.0,0.17459758652215984,0.18405875457401466,0.231361622646203
side_effect,S0_full13,webarena,87,22,8,79,0.09195402298850575,28,0.3218390804597701,B2_C10p0_cw_balanced,0.45,4,ok,0.0698806142062362,0.05555555555555555,0.29430379746835444,0.03571428571428571,0.125,0.08333333333333333,0.3916139240506329,-0.1340778405198956,-0.022073408782269544,27,0.34177215189873417,0.6582278481012658,0.31068630342402825,0.060038134338280674,0.987601553183408
side_effect,S0_full13,workarena,60,15,2,58,0.03333333333333333,18,0.3,B2_C0p1_cw_balanced,0.55,5,ok,0.030495831505046072,0.0,0.19827586206896552,0.0,0.0,0.0,0.3448275862068966,-0.12156613477096617,-0.002837501828287261,18,0.3103448275862069,0.6896551724137931,0.39408314922661375,0.30043179578735696,0.9234950318401273
looping,S0_full13,assistantbench,24,6,11,13,0.4583333333333333,12,0.5,B2_C1p0_cw_balanced,0.35,5,ok,0.7880637039727949,0.8695652173913043,0.9020979020979021,0.8333333333333334,0.9090909090909091,0.8928571428571429,0.8776223776223776,0.7526178090063816,0.3297303706394616,2,0.15384615384615385,0.8461538461538461,0.501233173198507,0.5435269903759032,0.9904519368064892
looping,S0_full13,visualwebarena,24,8,7,17,0.2916666666666667,8,0.3333333333333333,B2_C1p0_cw_balanced,0.6,5,ok,0.9240362811791383,0.8,0.9663865546218487,0.75,0.8571428571428571,0.8333333333333334,0.8697478991596639,0.7130240959073808,0.6323696145124715,2,0.11764705882352941,0.8823529411764706,0.3130523692753175,0.02394434855033574,0.9857517925076072
