variant_id,feature_name,feature_group,included,feature_order
S0_full13,step_count,G1_activity_volume,True,1
S0_full13,nonempty_action_count,G1_activity_volume,True,2
S0_full13,nonempty_observation_count,G1_activity_volume,True,3
S0_full13,nonempty_focused_element_count,G1_activity_volume,True,4
S0_full13,natural_error_step_count,G2_error,True,5
S0_full13,natural_error_step_ratio,G2_error,True,6
S0_full13,has_explicit_termination_signal,G3_termination,True,7
S0_full13,action_char_count_total,G1_activity_volume,True,8
S0_full13,observation_char_count_total,G1_activity_volume,True,9
S0_full13,action_char_count_mean_nonempty,G1_activity_volume,True,10
S0_full13,observation_char_count_mean_nonempty,G1_activity_volume,True,11
S0_full13,unique_action_ratio,G4_repetition,True,12
S0_full13,consecutive_duplicate_action_count,G4_repetition,True,13
S1_no_termination,step_count,G1_activity_volume,True,1
S1_no_termination,nonempty_action_count,G1_activity_volume,True,2
S1_no_termination,nonempty_observation_count,G1_activity_volume,True,3
S1_no_termination,nonempty_focused_element_count,G1_activity_volume,True,4
S1_no_termination,natural_error_step_count,G2_error,True,5
S1_no_termination,natural_error_step_ratio,G2_error,True,6
S1_no_termination,has_explicit_termination_signal,G3_termination,False,7
S1_no_termination,action_char_count_total,G1_activity_volume,True,8
S1_no_termination,observation_char_count_total,G1_activity_volume,True,9
S1_no_termination,action_char_count_mean_nonempty,G1_activity_volume,True,10
S1_no_termination,observation_char_count_mean_nonempty,G1_activity_volume,True,11
S1_no_termination,unique_action_ratio,G4_repetition,True,12
S1_no_termination,consecutive_duplicate_action_count,G4_repetition,True,13
S2_no_repetition,step_count,G1_activity_volume,True,1
S2_no_repetition,nonempty_action_count,G1_activity_volume,True,2
S2_no_repetition,nonempty_observation_count,G1_activity_volume,True,3
S2_no_repetition,nonempty_focused_element_count,G1_activity_volume,True,4
S2_no_repetition,natural_error_step_count,G2_error,True,5
S2_no_repetition,natural_error_step_ratio,G2_error,True,6
S2_no_repetition,has_explicit_termination_signal,G3_termination,True,7
S2_no_repetition,action_char_count_total,G1_activity_volume,True,8
S2_no_repetition,observation_char_count_total,G1_activity_volume,True,9
S2_no_repetition,action_char_count_mean_nonempty,G1_activity_volume,True,10
S2_no_repetition,observation_char_count_mean_nonempty,G1_activity_volume,True,11
S2_no_repetition,unique_action_ratio,G4_repetition,False,12
S2_no_repetition,consecutive_duplicate_action_count,G4_repetition,False,13
S3_no_activity_volume,step_count,G1_activity_volume,False,1
S3_no_activity_volume,nonempty_action_count,G1_activity_volume,False,2
S3_no_activity_volume,nonempty_observation_count,G1_activity_volume,False,3
S3_no_activity_volume,nonempty_focused_element_count,G1_activity_volume,False,4
S3_no_activity_volume,natural_error_step_count,G2_error,True,5
S3_no_activity_volume,natural_error_step_ratio,G2_error,True,6
S3_no_activity_volume,has_explicit_termination_signal,G3_termination,True,7
S3_no_activity_volume,action_char_count_total,G1_activity_volume,False,8
S3_no_activity_volume,observation_char_count_total,G1_activity_volume,False,9
S3_no_activity_volume,action_char_count_mean_nonempty,G1_activity_volume,False,10
S3_no_activity_volume,observation_char_count_mean_nonempty,G1_activity_volume,False,11
S3_no_activity_volume,unique_action_ratio,G4_repetition,True,12
S3_no_activity_volume,consecutive_duplicate_action_count,G4_repetition,True,13
S4_no_error,step_count,G1_activity_volume,True,1
S4_no_error,nonempty_action_count,G1_activity_volume,True,2
S4_no_error,nonempty_observation_count,G1_activity_volume,True,3
S4_no_error,nonempty_focused_element_count,G1_activity_volume,True,4
S4_no_error,natural_error_step_count,G2_error,False,5
S4_no_error,natural_error_step_ratio,G2_error,False,6
S4_no_error,has_explicit_termination_signal,G3_termination,True,7
S4_no_error,action_char_count_total,G1_activity_volume,True,8
S4_no_error,observation_char_count_total,G1_activity_volume,True,9
S4_no_error,action_char_count_mean_nonempty,G1_activity_volume,True,10
S4_no_error,observation_char_count_mean_nonempty,G1_activity_volume,True,11
S4_no_error,unique_action_ratio,G4_repetition,True,12
S4_no_error,consecutive_duplicate_action_count,G4_repetition,True,13
S5_no_termination_or_repetition,step_count,G1_activity_volume,True,1
S5_no_termination_or_repetition,nonempty_action_count,G1_activity_volume,True,2
S5_no_termination_or_repetition,nonempty_observation_count,G1_activity_volume,True,3
S5_no_termination_or_repetition,nonempty_focused_element_count,G1_activity_volume,True,4
S5_no_termination_or_repetition,natural_error_step_count,G2_error,True,5
S5_no_termination_or_repetition,natural_error_step_ratio,G2_error,True,6
S5_no_termination_or_repetition,has_explicit_termination_signal,G3_termination,False,7
S5_no_termination_or_repetition,action_char_count_total,G1_activity_volume,True,8
S5_no_termination_or_repetition,observation_char_count_total,G1_activity_volume,True,9
S5_no_termination_or_repetition,action_char_count_mean_nonempty,G1_activity_volume,True,10
S5_no_termination_or_repetition,observation_char_count_mean_nonempty,G1_activity_volume,True,11
S5_no_termination_or_repetition,unique_action_ratio,G4_repetition,False,12
S5_no_termination_or_repetition,consecutive_duplicate_action_count,G4_repetition,False,13
S6_termination_repetition_only,step_count,G1_activity_volume,False,1
S6_termination_repetition_only,nonempty_action_count,G1_activity_volume,False,2
S6_termination_repetition_only,nonempty_observation_count,G1_activity_volume,False,3
S6_termination_repetition_only,nonempty_focused_element_count,G1_activity_volume,False,4
S6_termination_repetition_only,natural_error_step_count,G2_error,False,5
S6_termination_repetition_only,natural_error_step_ratio,G2_error,False,6
