target,held_out_group,variant_id,config_id,inner_n_splits,inner_oof_size,inner_oof_pr_auc,selected,tie_break_rank
success,assistantbench,S0_full13,B2_C0p1_cw_none,5,168,0.5028427489648372,False,1
success,assistantbench,S0_full13,B2_C1p0_cw_none,5,168,0.5210637367039775,False,2
success,assistantbench,S0_full13,B2_C10p0_cw_none,5,168,0.5268328362912259,False,3
success,assistantbench,S0_full13,B2_C0p1_cw_balanced,5,168,0.4985074786075026,False,4
success,assistantbench,S0_full13,B2_C1p0_cw_balanced,5,168,0.5260765964473553,False,5
success,assistantbench,S0_full13,B2_C10p0_cw_balanced,5,168,0.5319019170004805,True,6
success,visualwebarena,S0_full13,B2_C0p1_cw_none,5,168,0.4378592890640293,False,1
success,visualwebarena,S0_full13,B2_C1p0_cw_none,5,168,0.5167702562331891,False,2
success,visualwebarena,S0_full13,B2_C10p0_cw_none,5,168,0.5731266996798267,False,3
success,visualwebarena,S0_full13,B2_C0p1_cw_balanced,5,168,0.43160546614781825,False,4
success,visualwebarena,S0_full13,B2_C1p0_cw_balanced,5,168,0.5195420379714695,False,5
success,visualwebarena,S0_full13,B2_C10p0_cw_balanced,5,168,0.5745194470316195,True,6
success,webarena,S0_full13,B2_C0p1_cw_none,5,108,0.6512253266321784,False,1
success,webarena,S0_full13,B2_C1p0_cw_none,5,108,0.6951643777215838,False,2
success,webarena,S0_full13,B2_C10p0_cw_none,5,108,0.6454753563937116,False,3
success,webarena,S0_full13,B2_C0p1_cw_balanced,5,108,0.6257873487835851,False,4
success,webarena,S0_full13,B2_C1p0_cw_balanced,5,108,0.6976983568269264,True,5
success,webarena,S0_full13,B2_C10p0_cw_balanced,5,108,0.6826393784334865,False,6
success,workarena,S0_full13,B2_C0p1_cw_none,5,132,0.453500973052882,False,1
success,workarena,S0_full13,B2_C1p0_cw_none,5,132,0.47386555266246516,False,2
success,workarena,S0_full13,B2_C10p0_cw_none,5,132,0.47758233913326614,False,3
success,workarena,S0_full13,B2_C0p1_cw_balanced,5,132,0.4567354422913046,False,4
success,workarena,S0_full13,B2_C1p0_cw_balanced,5,132,0.48892507051047296,True,5
success,workarena,S0_full13,B2_C10p0_cw_balanced,5,132,0.4799736682816691,False,6
side_effect,assistantbench,S0_full13,B2_C0p1_cw_none,5,171,0.10177306163158004,True,1
side_effect,assistantbench,S0_full13,B2_C1p0_cw_none,5,171,0.08686781238714031,False,2
side_effect,assistantbench,S0_full13,B2_C10p0_cw_none,5,171,0.08265381523252736,False,3
side_effect,assistantbench,S0_full13,B2_C0p1_cw_balanced,5,171,0.08965327832107997,False,4
side_effect,assistantbench,S0_full13,B2_C1p0_cw_balanced,5,171,0.07351668771973333,False,5
side_effect,assistantbench,S0_full13,B2_C10p0_cw_balanced,5,171,0.07148378309998302,False,6
side_effect,visualwebarena,S0_full13,B2_C0p1_cw_none,5,171,0.060455279345452514,True,1
side_effect,visualwebarena,S0_full13,B2_C1p0_cw_none,5,171,0.052351529251784754,False,2
side_effect,visualwebarena,S0_full13,B2_C10p0_cw_none,5,171,0.051223445885144284,False,3
side_effect,visualwebarena,S0_full13,B2_C0p1_cw_balanced,5,171,0.05825752884384733,False,4
side_effect,visualwebarena,S0_full13,B2_C1p0_cw_balanced,5,171,0.0504823878089771,False,5
side_effect,visualwebarena,S0_full13,B2_C10p0_cw_balanced,5,171,0.054622085942693674,False,6
side_effect,webarena,S0_full13,B2_C0p1_cw_none,4,108,0.05321743889959782,False,1
side_effect,webarena,S0_full13,B2_C1p0_cw_none,4,108,0.06289390756302521,False,2
side_effect,webarena,S0_full13,B2_C10p0_cw_none,4,108,0.07148617511520737,False,3
side_effect,webarena,S0_full13,B2_C0p1_cw_balanced,4,108,0.059988398344412386,False,4
side_effect,webarena,S0_full13,B2_C1p0_cw_balanced,4,108,0.07705826506229732,False,5
side_effect,webarena,S0_full13,B2_C10p0_cw_balanced,4,108,0.08034722222222222,True,6
side_effect,workarena,S0_full13,B2_C0p1_cw_none,5,135,0.10637426299797806,False,1
side_effect,workarena,S0_full13,B2_C1p0_cw_none,5,135,0.10596863437813993,False,2
side_effect,workarena,S0_full13,B2_C10p0_cw_none,5,135,0.09780369799636784,False,3
side_effect,workarena,S0_full13,B2_C0p1_cw_balanced,5,135,0.11380653689481682,True,4
