target,variant_id,valid_domain_count,excluded_single_class_domain_count,pr_auc_average_precision_macro_mean,pr_auc_average_precision_macro_std,positive_f1_macro_mean,positive_f1_macro_std,roc_auc_macro_mean,roc_auc_macro_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f2_macro_mean,f2_macro_std,balanced_accuracy_macro_mean,balanced_accuracy_macro_std,mcc_macro_mean,mcc_macro_std,ap_lift_macro_mean,ap_lift_macro_std
success,S0_full13,4,0,0.4798096424543246,0.2895629311918839,0.5173043038079567,0.23927443520989905,0.6592942917513069,0.17688969569194612,0.4679218426501035,0.29195067281436543,0.787719298245614,0.1533859157501361,0.5923535663675012,0.1659623448939108,0.6764504392063627,0.0777490074312633,0.33651370726914237,0.1654095089509222,0.18040488054956272,0.16047781419529725
success,S1_no_termination,4,0,0.5181580179647153,0.18724748495097954,0.5263047138047138,0.2324912929681221,0.7203990332767856,0.06154632938217557,0.46828774062816614,0.25074577549813265,0.7844298245614035,0.25576193207199377,0.6130694702123274,0.20465628895611812,0.7068703546748791,0.06760748573870579,0.36868477621967083,0.15800228115723047,0.21875325605995338,0.11341670169664944
success,S2_no_repetition,4,0,0.5048512990752385,0.31729783792868055,0.5511589105339105,0.28925974004400845,0.6838295596574082,0.18003160621992456,0.5626068376068376,0.35918212343301426,0.7852631578947369,0.276364740860274,0.6068985148016041,0.25946323820948075,0.7115685457631075,0.11876597038729299,0.43998857273625125,0.27218542724837,0.20544653717047656,0.20362043270706628
success,S3_no_activity_volume,4,0,0.645246128262102,0.19016907881132153,0.5891682330827067,0.2432517648900398,0.7790592718019164,0.08860705026102757,0.5387443438914027,0.3157315536110227,0.8447368421052632,0.20071432913619033,0.6794322959297567,0.18517266860788956,0.7521080454904784,0.082410906431298,0.46607520678030456,0.22093798159768105,0.3458413663573402,0.16787035340689016
success,S4_no_error,4,0,0.4959408654453192,0.2665234654140523,0.5189213564213564,0.21304341858892673,0.7034988198986888,0.10623116884276516,0.4574952107279694,0.276733939270396,0.7908771929824561,0.14495263020937843,0.6070402298850575,0.12772280061722485,0.6942433555326551,0.03888304600428414,0.3395945103375679,0.12417607577216812,0.19653610354055728,0.13984017754974845
success,S5_no_termination_or_repetition,4,0,0.49768833376611404,0.28449443209130704,0.5440826330532212,0.20170840194133283,0.7047100996529996,0.08917177862180645,0.5644628304512025,0.32565426505992084,0.7427631578947369,0.24013668583850997,0.5990198526963233,0.1465525948330405,0.7258539849002414,0.028017407758922756,0.41731949640233346,0.1126807037766224,0.19828357186135215,0.18015593691928572
success,S6_termination_repetition_only,4,0,0.5115987974378046,0.2998788771730345,0.5830471611721612,0.2404676999709806,0.7427960151327245,0.10228511352913675,0.5439733222752091,0.32653360058244096,0.8239035087719299,0.18274742689720697,0.6646672683813165,0.1621652720461682,0.7478707573548852,0.09033701375204817,0.45107729103720795,0.21949447925644974,0.21219403553304267,0.1695449756441359
side_effect,S0_full13,3,1,0.06044294222122107,0.026519202192098308,0.0698005698005698,0.07790603369729526,0.24752655317910666,0.04806172644266062,0.03968253968253968,0.04180814981290769,0.375,0.5448623679425842,0.13194444444444445,0.16182194719070894,0.4121471700858432,0.07959792802046663,-0.08521465843028726,0.07406273829483923,-0.009097287663836396,0.011239968808215192
side_effect,S1_no_termination,3,1,0.06062596950756938,0.0224135567397043,0.058956916099773236,0.05150937275102289,0.268248283798262,0.07548161267249065,0.03380402225074882,0.02933839917230971,0.25,0.25,0.1073904955183494,0.09607456477142219,0.34888661825588935,0.026215893667069334,-0.16296774598351393,0.04665108325305278,-0.008914260377488091,0.01060173232949659
side_effect,S2_no_repetition,3,1,0.055210878677612325,0.022960850142727206,0.013071895424836602,0.02264118702704415,0.1761553774321125,0.08808788625053358,0.006802721088435374,0.01178265855489032,0.16666666666666666,0.28867513459481287,0.029239766081871343,0.05064476045523033,0.33464280517968864,0.08387169826121545,-0.18756662109453226,0.07830848672624152,-0.014329351207445142,0.009946166518011352
side_effect,S3_no_activity_volume,3,1,0.06642728799115236,0.037480187844258564,0.031746031746031744,0.0549857399228215,0.26707438858246363,0.14893637041801389,0.0196078431372549,0.03396178054056622,0.08333333333333333,0.14433756729740643,0.050505050505050504,0.08747731351357967,0.4083253971403251,0.032927065207087984,-0.10433433512099177,0.01134174113828134,-0.003112941893905113,0.020968437940127996
side_effect,S4_no_error,3,1,0.06353303647331138,0.024798846878555016,0.052525252525252523,0.04707547554638806,0.26647421398621746,0.09480758396801088,0.03181818181818182,0.027648920592264637,0.20833333333333334,0.2602082499332666,0.09038800705467372,0.08930612478187432,0.36994646376466545,0.05611959921287181,-0.15842577627063892,0.09678525951315986,-0.006007193411746087,0.006865398783391875
side_effect,S5_no_termination_or_repetition,3,1,0.05726445798152822,0.025804614517728527,0.02150537634408602,0.03724840446384682,0.19371751120987266,0.09676916996434709,0.011111111111111112,0.019245008972987525,0.3333333333333333,0.5773502691896257,0.049019607843137254,0.08490445135141556,0.3829113924050633,0.12574883852092106,-0.14280484832565934,0.13885940715984876,-0.012275771903529254,0.009229462530787207
side_effect,S6_termination_repetition_only,3,1,0.06116341563959496,0.027805174322451366,0.018018018018018018,0.03120812265889869,0.23586778963797736,0.08531823115713297,0.011494252873563218,0.01990862997205606,0.041666666666666664,0.07216878364870322,0.0273224043715847,0.047323792556526696,0.31886714151554835,0.0583476332985077,-0.17885717780565058,0.04859749868719803,-0.00837681424546251,0.008489164914474719
looping,S0_full13,4,0,0.8508412981380737,0.08278368845096613,0.8645200477871592,0.045058465657930764,0.9050200105187317,0.07427274828721275,0.8097222222222222,0.04015786748555823,0.928044928044928,0.060233814740735546,0.9014480826418377,0.05278352604710922,0.8694506888240904,0.03248039148392145,0.749284507646399,0.03700649216984018,0.4040609951077707,0.20763407398133504
looping,S1_no_termination,4,0,0.8497950981293435,0.08122856960509707,0.8946277727741542,0.028486623087060365,0.9053137825516342,0.07372665167063966,0.8444444444444444,0.07085602396188513,0.957002457002457,0.0498111423408189,0.9303163387698192,0.028784103888777446,0.8961843552636392,0.05534531733903145,0.7991334718892589,0.069669357146278,0.4030147950990405,0.20662811638072617
looping,S2_no_repetition,4,0,0.8191435228896013,0.06614971917630866,0.8705061119146884,0.05416706133198376,0.8963829481732295,0.07919813600193276,0.8287529550827424,0.08432348152116001,0.9212881712881713,0.05906087217963987,0.8997053670966715,0.049800902917165005,0.867457647189105,0.06467559648643997,0.7539786396091772,0.0929854199387639,0.3723632198592984,0.196319523494018
