target,variant_id,sample_count,positive_count,negative_count,prevalence,pr_auc_average_precision,positive_f1,roc_auc,precision,recall,f2,balanced_accuracy,mcc,ap_lift
success,S0_full13,192,58,134,0.3020833333333333,0.4613633573666999,0.5408805031446541,0.7044518785383428,0.42574257425742573,0.7413793103448276,0.6456456456456456,0.6542717447246527,0.2837274793288851,0.1592800240333666
success,S1_no_termination,192,58,134,0.3020833333333333,0.4264247397347594,0.5540540540540541,0.6757591353576943,0.45555555555555555,0.7068965517241379,0.6366459627329193,0.6706124549665466,0.31396828676123084,0.1243414064014261
success,S2_no_repetition,192,58,134,0.3020833333333333,0.44784765352962375,0.5673758865248227,0.7125579001544003,0.4819277108433735,0.6896551724137931,0.6349206349206349,0.6843798250128668,0.3417885384170014,0.14576432019629043
success,S3_no_activity_volume,192,58,134,0.3020833333333333,0.4332504878169549,0.6,0.6963458569222852,0.4891304347826087,0.7758620689655172,0.6944444444444444,0.7125579001544005,0.3907326735734501,0.1311671544836216
success,S4_no_error,192,58,134,0.3020833333333333,0.5228211715780953,0.5443037974683544,0.7254246011322697,0.43,0.7413793103448276,0.6475903614457831,0.6580030880082347,0.2904477743027825,0.22073783824476195
success,S5_no_termination_or_repetition,192,58,134,0.3020833333333333,0.41466274047828955,0.5777777777777777,0.6752444673185796,0.5064935064935064,0.6724137931034483,0.6310679611650486,0.6944158517756047,0.36427870271310037,0.11257940714495623
success,S6_termination_repetition_only,192,58,134,0.3020833333333333,0.44611135717959927,0.5866666666666667,0.7038085434894493,0.4782608695652174,0.7586206896551724,0.6790123456790124,0.7002058672156459,0.36802665864424233,0.14402802384626595
side_effect,S0_full13,195,12,183,0.06153846153846154,0.04168967825924332,0.061855670103092786,0.23724954462659378,0.03529411764705882,0.25,0.11278195488721804,0.40095628415300544,-0.09599912699407268,-0.01984878327921822
side_effect,S1_no_termination,195,12,183,0.06153846153846154,0.04641998642563922,0.05172413793103448,0.31876138433515483,0.028846153846153848,0.25,0.09868421052631579,0.34904371584699456,-0.1454320060511954,-0.01511847511282232
side_effect,S2_no_repetition,195,12,183,0.06153846153846154,0.04146484992868371,0.01904761904761905,0.24408014571948997,0.010752688172043012,0.08333333333333333,0.03546099290780142,0.29030054644808745,-0.2017910509303389,-0.02007361160977783
side_effect,S3_no_activity_volume,195,12,183,0.06153846153846154,0.04279736120090173,0.058823529411764705,0.27094717668488155,0.03571428571428571,0.16666666666666666,0.09615384615384616,0.43579234972677594,-0.06820740500032237,-0.01874110033755981
side_effect,S4_no_error,195,12,183,0.06153846153846154,0.05298555461582112,0.044444444444444446,0.31693989071038253,0.02564102564102564,0.16666666666666666,0.07936507936507936,0.3756830601092896,-0.12196528714750723,-0.008552906922640421
side_effect,S5_no_termination_or_repetition,195,12,183,0.06153846153846154,0.040135698541423695,0.03278688524590164,0.22085610200364297,0.01818181818181818,0.16666666666666666,0.06329113924050633,0.28825136612021857,-0.2052395128838795,-0.021402762997037847
side_effect,S6_termination_repetition_only,195,12,183,0.06153846153846154,0.044297995581763394,0.02247191011235955,0.28529143897996356,0.012987012987012988,0.08333333333333333,0.04,0.33401639344262296,-0.1632018187087149,-0.017240465956698148
looping,S0_full13,196,92,104,0.46938775510204084,0.83603956358356,0.8844221105527639,0.9111622073578596,0.822429906542056,0.9565217391304348,0.9263157894736842,0.8869147157190636,0.7756556040705175,0.3666518084815192
looping,S1_no_termination,196,92,104,0.46938775510204084,0.8281000897840451,0.9072164948453608,0.908653846153846,0.8627450980392157,0.9565217391304348,0.9361702127659575,0.9109531772575251,0.8210486830359934,0.3587123346820043
looping,S2_no_repetition,196,92,104,0.46938775510204084,0.7937072426213205,0.8923076923076924,0.9054138795986623,0.8446601941747572,0.9456521739130435,0.9235668789808917,0.8959030100334449,0.7913512560966921,0.3243194875192797
looping,S3_no_activity_volume,196,92,104,0.46938775510204084,0.8866361964390743,0.8342245989304813,0.9208821070234112,0.8210526315789474,0.8478260869565217,0.8423326133909287,0.8421822742474916,0.6834009810049099,0.4172484413370335
looping,S4_no_error,196,92,104,0.46938775510204084,0.8216385966726767,0.9025641025641026,0.9153428093645485,0.8543689320388349,0.9565217391304348,0.9341825902335457,0.9061454849498327,0.8118244406525199,0.35225084157063585
looping,S5_no_termination_or_repetition,196,92,104,0.46938775510204084,0.8016681832890684,0.8900523560209425,0.9092809364548495,0.8585858585858586,0.9239130434782609,0.9100642398286938,0.8946488294314381,0.7878579714949882,0.3322804281870276
looping,S6_termination_repetition_only,196,92,104,0.46938775510204084,0.9135312459988841,0.8404255319148937,0.9227633779264214,0.8229166666666666,0.8586956521739131,0.8512931034482759,0.8476170568561874,0.6940744229738861,0.4441434908968433
