target,held_out_group,variant_id,selected_config_id,threshold,inner_f1,inner_precision,inner_recall,selected
success,assistantbench,S0_full13,B2_C10p0_cw_balanced,0.05,0.5045871559633027,0.3395061728395062,0.9821428571428571,False
success,assistantbench,S0_full13,B2_C10p0_cw_balanced,0.1,0.5538461538461539,0.38848920863309355,0.9642857142857143,False
success,assistantbench,S0_full13,B2_C10p0_cw_balanced,0.15,0.5909090909090909,0.43333333333333335,0.9285714285714286,False
success,assistantbench,S0_full13,B2_C10p0_cw_balanced,0.2,0.6496815286624203,0.504950495049505,0.9107142857142857,False
success,assistantbench,S0_full13,B2_C10p0_cw_balanced,0.25,0.6666666666666666,0.5319148936170213,0.8928571428571429,True
success,assistantbench,S0_full13,B2_C10p0_cw_balanced,0.3,0.6527777777777778,0.5340909090909091,0.8392857142857143,False
success,assistantbench,S0_full13,B2_C10p0_cw_balanced,0.35,0.6423357664233577,0.5432098765432098,0.7857142857142857,False
success,assistantbench,S0_full13,B2_C10p0_cw_balanced,0.4,0.6412213740458015,0.56,0.75,False
success,assistantbench,S0_full13,B2_C10p0_cw_balanced,0.45,0.6190476190476191,0.5571428571428572,0.6964285714285714,False
success,assistantbench,S0_full13,B2_C10p0_cw_balanced,0.5,0.6178861788617886,0.5671641791044776,0.6785714285714286,False
success,assistantbench,S0_full13,B2_C10p0_cw_balanced,0.55,0.6,0.5625,0.6428571428571429,False
success,assistantbench,S0_full13,B2_C10p0_cw_balanced,0.6,0.603448275862069,0.5833333333333334,0.625,False
success,assistantbench,S0_full13,B2_C10p0_cw_balanced,0.65,0.5636363636363636,0.5740740740740741,0.5535714285714286,False
success,assistantbench,S0_full13,B2_C10p0_cw_balanced,0.7,0.5576923076923077,0.6041666666666666,0.5178571428571429,False
success,assistantbench,S0_full13,B2_C10p0_cw_balanced,0.75,0.4731182795698925,0.5945945945945946,0.39285714285714285,False
success,assistantbench,S0_full13,B2_C10p0_cw_balanced,0.8,0.37209302325581395,0.5333333333333333,0.2857142857142857,False
success,assistantbench,S0_full13,B2_C10p0_cw_balanced,0.85,0.275,0.4583333333333333,0.19642857142857142,False
success,assistantbench,S0_full13,B2_C10p0_cw_balanced,0.9,0.21621621621621623,0.4444444444444444,0.14285714285714285,False
success,assistantbench,S0_full13,B2_C10p0_cw_balanced,0.95,0.06451612903225806,0.3333333333333333,0.03571428571428571,False
success,visualwebarena,S0_full13,B2_C10p0_cw_balanced,0.05,0.41148325358851673,0.26380368098159507,0.9347826086956522,False
