source,target,method_id,scope,held_out_group,metric,point_estimate,bootstrap_median,ci_lower_95,ci_upper_95,ci_width,fixed_draw_count,valid_draw_count,invalid_draw_count,valid_draw_fraction,original_metric_status
a1_3,success,B0,domain,assistantbench,ap,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,0.16666666666666669,10000,6694,3306,0.6694,ok
a1_3,success,B0,domain,assistantbench,f1,0.0,0.0,0.0,0.0,0.0,10000,6694,3306,0.6694,ok
a1_3,success,B0,domain,assistantbench,ap_lift,0.0,0.0,0.0,0.0,0.0,10000,6694,3306,0.6694,ok
a1_3,success,B0,domain,visualwebarena,ap,0.5,0.5,0.25,0.75,0.5,10000,9999,1,0.9999,ok
a1_3,success,B0,domain,visualwebarena,f1,0.0,0.0,0.0,0.0,0.0,10000,9999,1,0.9999,ok
a1_3,success,B0,domain,visualwebarena,ap_lift,0.0,0.0,0.0,0.0,0.0,10000,9999,1,0.9999,ok
a1_3,success,B0,domain,webarena,ap,0.2976190476190476,0.29411764705882354,0.13095238095238096,0.47560975609756095,0.34465737514518,10000,10000,0,1.0,ok
a1_3,success,B0,domain,webarena,f1,0.0,0.0,0.0,0.0,0.0,10000,10000,0,1.0,ok
a1_3,success,B0,domain,webarena,ap_lift,0.0,0.0,0.0,0.0,0.0,10000,10000,0,1.0,ok
a1_3,success,B0,domain,workarena,ap,0.31666666666666665,0.31666666666666665,0.13333333333333333,0.5166666666666667,0.3833333333333334,10000,10000,0,1.0,ok
a1_3,success,B0,domain,workarena,f1,0.0,0.0,0.0,0.0,0.0,10000,10000,0,1.0,ok
a1_3,success,B0,domain,workarena,ap_lift,0.0,0.0,0.0,0.0,0.0,10000,10000,0,1.0,ok
a1_3,success,B1,domain,assistantbench,ap,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,0.16666666666666669,10000,6694,3306,0.6694,ok
a1_3,success,B1,domain,assistantbench,f1,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.4,0.24615384615384617,10000,6694,3306,0.6694,ok
a1_3,success,B1,domain,assistantbench,ap_lift,0.0,0.0,0.0,0.0,0.0,10000,6694,3306,0.6694,ok
a1_3,success,B1,domain,visualwebarena,ap,0.5,0.5,0.25,0.75,0.5,10000,9999,1,0.9999,ok
a1_3,success,B1,domain,visualwebarena,f1,0.6666666666666666,0.6666666666666666,0.4,0.8571428571428571,0.4571428571428571,10000,9999,1,0.9999,ok
a1_3,success,B1,domain,visualwebarena,ap_lift,0.0,0.0,0.0,0.0,0.0,10000,9999,1,0.9999,ok
a1_3,success,B1,domain,webarena,ap,0.2976190476190476,0.29411764705882354,0.13095238095238096,0.47560975609756095,0.34465737514518,10000,10000,0,1.0,ok
a1_3,success,B1,domain,webarena,f1,0.45871559633027525,0.45454545454545453,0.23157894736842105,0.6446280991735537,0.41304915180513263,10000,10000,0,1.0,ok
a1_3,success,B1,domain,webarena,ap_lift,0.0,0.0,0.0,0.0,0.0,10000,10000,0,1.0,ok
a1_3,success,B1,domain,workarena,ap,0.31666666666666665,0.31666666666666665,0.13333333333333333,0.5166666666666667,0.3833333333333334,10000,10000,0,1.0,ok
a1_3,success,B1,domain,workarena,f1,0.4810126582278481,0.4810126582278481,0.23529411764705882,0.6813186813186813,0.4460245636716225,10000,10000,0,1.0,ok
a1_3,success,B1,domain,workarena,ap_lift,0.0,0.0,0.0,0.0,0.0,10000,10000,0,1.0,ok
a1_3,success,B2,domain,assistantbench,ap,0.10049019607843138,0.11666666666666667,0.08095238095238094,0.33636363636363636,0.2554112554112554,10000,6694,3306,0.6694,ok
a1_3,success,B2,domain,assistantbench,f1,0.17391304347826086,0.19047619047619047,0.15384615384615385,0.4444444444444444,0.29059829059829057,10000,6694,3306,0.6694,ok
