comparison_id,target,kind,source,method_a,method_b,scope,metric,estimand,role,point_estimate,bootstrap_median,ci_lower_95,ci_upper_95,ci_width,fixed_draw_count,valid_draw_count,invalid_draw_count,valid_draw_fraction,bootstrap_grade,interpretation
P1,success,positive_signal,a1_3,B2,,macro,ap_lift,macro_ap_lift,primary,0.18040488054956272,0.2094505748821141,0.10839777834625249,0.34357566863044275,0.23517789028419028,10000,10000,0,1.0,stable_positive_under_bootstrap,Bootstrap stability label under the frozen non-causal protocol.
P2,success,paired_delta,a1_3,B2,B3,macro,ap,macro_ap_delta_A_minus_B,primary,0.056952764093636365,0.05247314826054672,-0.12028102081779071,0.2557532531304567,0.3760342739482474,10000,10000,0,1.0,difference_uncertain,Bootstrap stability label under the frozen non-causal protocol.
P2,success,paired_delta,a1_3,B2,B3,macro,f1,macro_f1_delta_A_minus_B,primary,0.12535978712485996,0.12753298224059412,-0.004539187690300432,0.27211976443940006,0.2766589521297005,10000,10000,0,1.0,difference_uncertain,Bootstrap stability label under the frozen non-causal protocol.
P3,success,paired_delta,a1_5,S1_no_termination,S0_full13,macro,ap,macro_ap_delta_A_minus_B,primary,0.038348375510390664,0.03150265996876506,-0.052110277933661076,0.1164378081266103,0.16854808606027138,10000,10000,0,1.0,difference_uncertain,Bootstrap stability label under the frozen non-causal protocol.
P3,success,paired_delta,a1_5,S1_no_termination,S0_full13,pooled,ap,pooled_ap_delta_A_minus_B,auxiliary,-0.034938617631940505,-0.032916379143265256,-0.11230306683472821,0.02712767756398399,0.1394307443987122,10000,10000,0,1.0,difference_uncertain,Bootstrap stability label under the frozen non-causal protocol.
P3,success,paired_delta,a1_5,S1_no_termination,S0_full13,macro,f1,macro_f1_delta_A_minus_B,auxiliary,0.00900040999675722,0.010117590666420873,-0.10898222737417243,0.0964926171485457,0.20547484452271814,10000,10000,0,1.0,difference_uncertain,Bootstrap stability label under the frozen non-causal protocol.
P4,success,paired_delta,a1_5,S6_termination_repetition_only,S0_full13,macro,ap,macro_ap_delta_A_minus_B,primary,0.03178915498347995,0.01844356709333722,-0.06536795880376504,0.09781017414591521,0.16317813294968025,10000,10000,0,1.0,difference_uncertain,Bootstrap stability label under the frozen non-causal protocol.
P4,success,paired_delta,a1_5,S6_termination_repetition_only,S0_full13,pooled,ap,pooled_ap_delta_A_minus_B,auxiliary,-0.015252000187100656,-0.022559807275554622,-0.1436185253788621,0.08769599440557069,0.2313145197844328,10000,10000,0,1.0,difference_uncertain,Bootstrap stability label under the frozen non-causal protocol.
P4,success,paired_delta,a1_5,S6_termination_repetition_only,S0_full13,macro,f1,macro_f1_delta_A_minus_B,auxiliary,0.06574285736420449,0.06519233593789395,-0.005231603187414294,0.14388565162907266,0.14911725481648697,10000,10000,0,1.0,difference_uncertain,Bootstrap stability label under the frozen non-causal protocol.
P5,looping,positive_signal,a1_3,B2,,macro,ap_lift,macro_ap_lift,primary,0.4040609951077707,0.41651388997396915,0.33362868486338715,0.5056523707256393,0.17202368586225214,10000,10000,0,1.0,stable_positive_under_bootstrap,Bootstrap stability label under the frozen non-causal protocol.
P6,looping,paired_delta,a1_5,S2_no_repetition,S0_full13,macro,ap,macro_ap_delta_A_minus_B,primary,-0.03169777524847239,-0.029715519563541293,-0.08042580420530693,-0.004079121511197382,0.07634668269410955,10000,10000,0,1.0,stable_drop_for_A_vs_B,Bootstrap stability label under the frozen non-causal protocol.
P6,looping,paired_delta,a1_5,S2_no_repetition,S0_full13,pooled,ap,pooled_ap_delta_A_minus_B,auxiliary,-0.04233232096223949,-0.03634791437779933,-0.07873115541626254,0.014405863700615145,0.09313701911687768,10000,10000,0,1.0,difference_uncertain,Bootstrap stability label under the frozen non-causal protocol.
P6,looping,paired_delta,a1_5,S2_no_repetition,S0_full13,macro,f1,macro_f1_delta_A_minus_B,auxiliary,0.005986064127529334,0.005755298183958146,-0.007480870414202819,0.01954377092197409,0.027024641336176908,10000,10000,0,1.0,difference_uncertain,Bootstrap stability label under the frozen non-causal protocol.
P7,looping,paired_delta,a1_5,S6_termination_repetition_only,S0_full13,macro,ap,macro_ap_delta_A_minus_B,primary,0.05051480630204919,0.0450555460836361,-0.01889872787403564,0.11532393892603467,0.1342226668000703,10000,10000,0,1.0,difference_uncertain,Bootstrap stability label under the frozen non-causal protocol.
P7,looping,paired_delta,a1_5,S6_termination_repetition_only,S0_full13,pooled,ap,pooled_ap_delta_A_minus_B,auxiliary,0.07749168241532411,0.07238025434839335,-0.002521604305317877,0.16605246217295888,0.16857406647827675,10000,10000,0,1.0,difference_uncertain,Bootstrap stability label under the frozen non-causal protocol.
P7,looping,paired_delta,a1_5,S6_termination_repetition_only,S0_full13,macro,f1,macro_f1_delta_A_minus_B,auxiliary,-0.017446147509394883,-0.017228522470422503,-0.12807672245968374,0.04279380157742778,0.1708705240371115,10000,10000,0,1.0,difference_uncertain,Bootstrap stability label under the frozen non-causal protocol.
P8,side_effect,support_diagnostic,a1_3,B3,,macro,ap,macro_ap,primary,0.11194123811143843,0.1537878787878788,0.07216270090783845,0.349988337767026,0.27782563685918754,10000,9855,145,0.9855,support_diagnostic_only,Side Effect support/width diagnostic only; never upgrades the target conclusion.
