source,method_id,held_out_group,original_positive_count,original_negative_count,task_group_count,metric,fixed_draw_count,valid_draw_count,invalid_single_class_draw_count,valid_draw_fraction,point_estimate,bootstrap_median,ci_lower_95,ci_upper_95,ci_width,support_note
a1_3,B0,assistantbench,0,24,6,ap,10000,0,10000,0.0,,,,,,original_single_class_negative_no_ap_f1_ci
a1_3,B0,assistantbench,0,24,6,f1,10000,0,10000,0.0,,,,,,original_single_class_negative_no_ap_f1_ci
a1_3,B0,visualwebarena,2,22,8,ap,10000,9056,944,0.9056,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.20833333333333334,0.16666666666666669,invalid_single_class_resamples_retained_no_redraw
a1_3,B0,visualwebarena,2,22,8,f1,10000,9056,944,0.9056,0.0,0.0,0.0,0.0,0.0,invalid_single_class_resamples_retained_no_redraw
a1_3,B0,webarena,8,79,22,ap,10000,9869,131,0.9869,0.09195402298850575,0.09090909090909091,0.011363636363636364,0.2,0.18863636363636366,invalid_single_class_resamples_retained_no_redraw
a1_3,B0,webarena,8,79,22,f1,10000,9869,131,0.9869,0.0,0.0,0.0,0.0,0.0,invalid_single_class_resamples_retained_no_redraw
a1_3,B0,workarena,2,58,15,ap,10000,8814,1186,0.8814,0.03333333333333333,0.03333333333333333,0.016666666666666666,0.08333333333333333,0.06666666666666667,invalid_single_class_resamples_retained_no_redraw
a1_3,B0,workarena,2,58,15,f1,10000,8814,1186,0.8814,0.0,0.0,0.0,0.0,0.0,invalid_single_class_resamples_retained_no_redraw
a1_3,B1,assistantbench,0,24,6,ap,10000,0,10000,0.0,,,,,,original_single_class_negative_no_ap_f1_ci
a1_3,B1,assistantbench,0,24,6,f1,10000,0,10000,0.0,,,,,,original_single_class_negative_no_ap_f1_ci
a1_3,B1,visualwebarena,2,22,8,ap,10000,9056,944,0.9056,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.20833333333333334,0.16666666666666669,invalid_single_class_resamples_retained_no_redraw
a1_3,B1,visualwebarena,2,22,8,f1,10000,9056,944,0.9056,0.15384615384615385,0.15384615384615385,0.08,0.3448275862068966,0.26482758620689656,invalid_single_class_resamples_retained_no_redraw
a1_3,B1,webarena,8,79,22,ap,10000,9869,131,0.9869,0.09195402298850575,0.09090909090909091,0.011363636363636364,0.2,0.18863636363636366,invalid_single_class_resamples_retained_no_redraw
a1_3,B1,webarena,8,79,22,f1,10000,9869,131,0.9869,0.0,0.0,0.0,0.0,0.0,invalid_single_class_resamples_retained_no_redraw
a1_3,B1,workarena,2,58,15,ap,10000,8814,1186,0.8814,0.03333333333333333,0.03333333333333333,0.016666666666666666,0.08333333333333333,0.06666666666666667,invalid_single_class_resamples_retained_no_redraw
a1_3,B1,workarena,2,58,15,f1,10000,8814,1186,0.8814,0.06451612903225806,0.06451612903225806,0.03278688524590164,0.15384615384615385,0.1210592686002522,invalid_single_class_resamples_retained_no_redraw
a1_3,B2,assistantbench,0,24,6,ap,10000,0,10000,0.0,,,,,,original_single_class_negative_no_ap_f1_ci
a1_3,B2,assistantbench,0,24,6,f1,10000,0,10000,0.0,,,,,,original_single_class_negative_no_ap_f1_ci
a1_3,B2,visualwebarena,2,22,8,ap,10000,9056,944,0.9056,0.08095238095238094,0.09109311740890688,0.041666666666666664,0.28095238095238095,0.2392857142857143,invalid_single_class_resamples_retained_no_redraw
a1_3,B2,visualwebarena,2,22,8,f1,10000,9056,944,0.9056,0.15384615384615385,0.15384615384615385,0.08,0.3448275862068966,0.26482758620689656,invalid_single_class_resamples_retained_no_redraw
a1_3,B2,webarena,8,79,22,ap,10000,9869,131,0.9869,0.0698806142062362,0.0732612677888808,0.017543859649122806,0.17586434699359146,0.15832048734446866,invalid_single_class_resamples_retained_no_redraw
a1_3,B2,webarena,8,79,22,f1,10000,9869,131,0.9869,0.05555555555555555,0.05263157894736842,0.0,0.16666666666666666,0.16666666666666666,invalid_single_class_resamples_retained_no_redraw
a1_3,B2,workarena,2,58,15,ap,10000,8814,1186,0.8814,0.030495831505046072,0.037037037037037035,0.01818181818181818,0.0911978221415608,0.07301600395974261,invalid_single_class_resamples_retained_no_redraw
a1_3,B2,workarena,2,58,15,f1,10000,8814,1186,0.8814,0.0,0.0,0.0,0.0,0.0,invalid_single_class_resamples_retained_no_redraw
a1_3,B3,assistantbench,0,24,6,ap,10000,0,10000,0.0,,,,,,original_single_class_negative_no_ap_f1_ci
a1_3,B3,assistantbench,0,24,6,f1,10000,0,10000,0.0,,,,,,original_single_class_negative_no_ap_f1_ci
a1_3,B3,visualwebarena,2,22,8,ap,10000,9056,944,0.9056,0.1534090909090909,0.2,0.07142857142857142,0.5,0.4285714285714286,invalid_single_class_resamples_retained_no_redraw
a1_3,B3,visualwebarena,2,22,8,f1,10000,9056,944,0.9056,0.18181818181818182,0.18181818181818182,0.0,0.47058823529411764,0.47058823529411764,invalid_single_class_resamples_retained_no_redraw
a1_3,B3,webarena,8,79,22,ap,10000,9869,131,0.9869,0.13082732183792278,0.16666666666666666,0.039380301028628,0.55,0.510619698971372,invalid_single_class_resamples_retained_no_redraw
a1_3,B3,webarena,8,79,22,f1,10000,9869,131,0.9869,0.16842105263157894,0.16666666666666666,0.02247191011235955,0.3333333333333333,0.31086142322097376,invalid_single_class_resamples_retained_no_redraw
a1_3,B3,workarena,2,58,15,ap,10000,8814,1186,0.8814,0.051587301587301584,0.060807072829131656,0.02564102564102564,0.14609800362976383,0.1204569779887382,invalid_single_class_resamples_retained_no_redraw
a1_3,B3,workarena,2,58,15,f1,10000,8814,1186,0.8814,0.0,0.0,0.0,0.0,0.0,invalid_single_class_resamples_retained_no_redraw
a1_5,S0_full13,assistantbench,0,24,6,ap,10000,0,10000,0.0,,,,,,original_single_class_negative_no_ap_f1_ci
a1_5,S0_full13,assistantbench,0,24,6,f1,10000,0,10000,0.0,,,,,,original_single_class_negative_no_ap_f1_ci
a1_5,S0_full13,visualwebarena,2,22,8,ap,10000,9056,944,0.9056,0.08095238095238094,0.09109311740890688,0.041666666666666664,0.28095238095238095,0.2392857142857143,invalid_single_class_resamples_retained_no_redraw
a1_5,S0_full13,visualwebarena,2,22,8,f1,10000,9056,944,0.9056,0.15384615384615385,0.15384615384615385,0.08,0.3448275862068966,0.26482758620689656,invalid_single_class_resamples_retained_no_redraw
a1_5,S0_full13,webarena,8,79,22,ap,10000,9869,131,0.9869,0.0698806142062362,0.0732612677888808,0.017543859649122806,0.17586434699359146,0.15832048734446866,invalid_single_class_resamples_retained_no_redraw
