target,baseline_id,held_out_group,held_out_size,task_group_count,positive_count,negative_count,prevalence,predicted_positive_count,predicted_positive_rate,selected_config_id,selected_threshold,inner_n_splits,metric_status,pr_auc_average_precision,positive_f1,roc_auc,precision,recall,f2,balanced_accuracy,mcc,ap_lift,false_positive_count,false_positive_rate,specificity,probability_mean,probability_median,probability_max
success,B4_dense_embedding_lr,assistantbench,24,6,2,22,0.08333333333333333,12,0.5,B4_C1p0_cw_balanced,0.5,5,ok,0.2976190476190476,0.14285714285714285,0.5454545454545454,0.08333333333333333,0.5,0.25,0.5,0.0,0.2142857142857143,11,0.5,0.5,0.5094723231059878,0.5039440739038192,0.681486992516887
success,B4_dense_embedding_lr,visualwebarena,24,8,12,12,0.5,21,0.875,B4_C10p0_cw_balanced,0.35,5,ok,0.6475071225071225,0.7272727272727273,0.7013888888888888,0.5714285714285714,1.0,0.8695652173913043,0.625,0.3779644730092272,0.1475071225071225,9,0.75,0.25,0.5866023048445315,0.6551159313205063,0.871688484917766
success,B4_dense_embedding_lr,webarena,84,22,25,59,0.2976190476190476,49,0.5833333333333334,B4_C10p0_cw_balanced,0.35,5,ok,0.5070263847023352,0.5675675675675675,0.7349152542372881,0.42857142857142855,0.84,0.7046979865771812,0.6827118644067797,0.3388915130644594,0.20940733708328757,28,0.4745762711864407,0.5254237288135594,0.41198954985542907,0.4313333899236532,0.741313363676367
success,B4_dense_embedding_lr,workarena,60,15,19,41,0.31666666666666665,2,0.03333333333333333,B4_C1p0_cw_balanced,0.55,5,ok,0.7259477882173215,0.19047619047619047,0.7958921694480102,1.0,0.10526315789473684,0.1282051282051282,0.5526315789473684,0.27278226360851054,0.4092811215506549,0,0.0,1.0,0.4112918014552657,0.3959415664005899,0.609746042981024
side_effect,B4_dense_embedding_lr,assistantbench,24,6,0,24,0.0,1,0.041666666666666664,B4_C10p0_cw_none,0.1,5,single_class_negative,,,,,,,,,,1,0.041666666666666664,0.9583333333333334,0.0643933668952227,0.061920204645396076,0.11037152326388269
side_effect,B4_dense_embedding_lr,visualwebarena,24,8,2,22,0.08333333333333333,17,0.7083333333333334,B4_C1p0_cw_balanced,0.45,5,ok,0.10317460317460317,0.10526315789473684,0.38636363636363635,0.058823529411764705,0.5,0.2,0.38636363636363635,-0.13819749820569552,0.01984126984126984,16,0.7272727272727273,0.2727272727272727,0.47692514552626436,0.47176876625153197,0.5692025665840068
side_effect,B4_dense_embedding_lr,webarena,87,22,8,79,0.09195402298850575,23,0.26436781609195403,B4_C1p0_cw_balanced,0.5,4,ok,0.11142280356320684,0.06451612903225806,0.5537974683544303,0.043478260869565216,0.125,0.09090909090909091,0.42325949367088606,-0.10056787883123616,0.019468780574701097,22,0.27848101265822783,0.7215189873417721,0.41048414168206243,0.4162242570189818,0.62245644971291
side_effect,B4_dense_embedding_lr,workarena,60,15,2,58,0.03333333333333333,16,0.26666666666666666,B4_C10p0_cw_balanced,0.2,5,ok,0.225,0.2222222222222222,0.9051724137931034,0.125,1.0,0.4166666666666667,0.8793103448275862,0.30794088102571987,0.19166666666666668,14,0.2413793103448276,0.7586206896551724,0.17574970043544333,0.14712918697873645,0.45706537504032807
looping,B4_dense_embedding_lr,assistantbench,24,6,11,13,0.4583333333333333,9,0.375,B4_C10p0_cw_balanced,0.5,5,ok,0.7880637039727949,0.8,0.9020979020979021,0.8888888888888888,0.7272727272727273,0.7547169811320755,0.8251748251748252,0.6693419514856722,0.3297303706394616,1,0.07692307692307693,0.9230769230769231,0.3383879772645131,0.2864734063291465,0.8592305942993888
looping,B4_dense_embedding_lr,visualwebarena,24,8,7,17,0.2916666666666667,13,0.5416666666666666,B4_C10p0_cw_balanced,0.25,5,ok,0.7916666666666666,0.7,0.8907563025210083,0.5384615384615384,1.0,0.8536585365853658,0.8235294117647058,0.5902679811685199,0.49999999999999994,6,0.35294117647058826,0.6470588235294118,0.3398897888308885,0.4024762471428147,0.8659616821645258
looping,B4_dense_embedding_lr,webarena,88,22,37,51,0.42045454545454547,52,0.5909090909090909,B4_C10p0_cw_none,0.3,5,ok,0.8553197386044904,0.8314606741573034,0.908320084790673,0.7115384615384616,1.0,0.925,0.8529411764705883,0.7087047646509187,0.43486519314994493,15,0.29411764705882354,0.7058823529411765,0.44440520828152635,0.5213379372498936,0.8879854087854535
looping,B4_dense_embedding_lr,workarena,60,15,37,23,0.6166666666666667,56,0.9333333333333333,B4_C0p1_cw_balanced,0.5,5,ok,0.7433541350953294,0.7956989247311828,0.6980023501762632,0.6607142857142857,1.0,0.9068627450980392,0.5869565217391304,0.3389791030404922,0.12668746842866274,19,0.8260869565217391,0.17391304347826086,0.5290763654693408,0.5349675973545662,0.5581358067397719
