row_index,trajectory_key,payload_token_count,chunk_count,embedding_norm
0,assistantbench::assistantbench.validation.11::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,14376,2,1.0
1,assistantbench::assistantbench.validation.11::GenericAgent-anthropic_claude-3.7-sonnet,3236,1,1.0
2,assistantbench::assistantbench.validation.11::GenericAgent-gpt-4o-2024-11-20,13618,2,0.9999999403953552
3,assistantbench::assistantbench.validation.11::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,46544,6,0.9999999403953552
4,assistantbench::assistantbench.validation.25::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,14547,2,1.0
5,assistantbench::assistantbench.validation.25::GenericAgent-anthropic_claude-3.7-sonnet,2914,1,1.0
6,assistantbench::assistantbench.validation.25::GenericAgent-gpt-4o-2024-11-20,3843,1,1.0
7,assistantbench::assistantbench.validation.25::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,3368,1,1.0
8,assistantbench::assistantbench.validation.31::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,13522,2,1.0
9,assistantbench::assistantbench.validation.31::GenericAgent-anthropic_claude-3.7-sonnet,3395,1,1.0
10,assistantbench::assistantbench.validation.31::GenericAgent-gpt-4o-2024-11-20,19786,3,1.0
11,assistantbench::assistantbench.validation.31::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,5946,1,1.0
12,assistantbench::assistantbench.validation.3::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,10467,2,1.0
13,assistantbench::assistantbench.validation.3::GenericAgent-anthropic_claude-3.7-sonnet,1933,1,1.0
14,assistantbench::assistantbench.validation.3::GenericAgent-gpt-4o-2024-11-20,11131,2,0.9999999403953552
15,assistantbench::assistantbench.validation.3::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,8818,2,1.0
16,assistantbench::assistantbench.validation.4::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,9320,2,1.0
17,assistantbench::assistantbench.validation.4::GenericAgent-anthropic_claude-3.7-sonnet,3759,1,1.0
18,assistantbench::assistantbench.validation.4::GenericAgent-gpt-4o-2024-11-20,6574,1,1.0
19,assistantbench::assistantbench.validation.4::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,12521,2,0.9999999403953552
20,assistantbench::assistantbench.validation.5::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,12752,2,0.9999999403953552
21,assistantbench::assistantbench.validation.5::GenericAgent-anthropic_claude-3.7-sonnet,3155,1,1.0
22,assistantbench::assistantbench.validation.5::GenericAgent-gpt-4o-2024-11-20,4136,1,1.0
23,assistantbench::assistantbench.validation.5::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,51776,7,1.0
24,visualwebarena::visualwebarena.118::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,3131,1,1.0
25,visualwebarena::visualwebarena.118::GenericAgent-anthropic_claude-3.7-sonnet,2807,1,1.0000001192092896
26,visualwebarena::visualwebarena.118::GenericAgent-gpt-4o-2024-11-20,2164,1,1.0
27,visualwebarena::visualwebarena.133::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,33998,5,1.0
28,visualwebarena::visualwebarena.133::GenericAgent-anthropic_claude-3.7-sonnet,32657,4,1.0
29,visualwebarena::visualwebarena.133::GenericAgent-gpt-4o-2024-11-20,16449,3,1.0
30,visualwebarena::visualwebarena.248::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,58735,8,0.9999999403953552
