target,held_out_group,baseline_id,config_id,inner_n_splits,inner_oof_size,inner_oof_pr_auc,selected,tie_break_rank
success,assistantbench,B4_dense_embedding_lr,B4_C0p1_cw_none,5,168,0.5331128534274868,False,1
success,assistantbench,B4_dense_embedding_lr,B4_C1p0_cw_none,5,168,0.5599758608951095,False,2
success,assistantbench,B4_dense_embedding_lr,B4_C10p0_cw_none,5,168,0.5445532742189488,False,3
success,assistantbench,B4_dense_embedding_lr,B4_C0p1_cw_balanced,5,168,0.5354408310481865,False,4
success,assistantbench,B4_dense_embedding_lr,B4_C1p0_cw_balanced,5,168,0.562808453433514,True,5
success,assistantbench,B4_dense_embedding_lr,B4_C10p0_cw_balanced,5,168,0.5494052949166371,False,6
success,visualwebarena,B4_dense_embedding_lr,B4_C0p1_cw_none,5,168,0.3778960360561304,False,1
success,visualwebarena,B4_dense_embedding_lr,B4_C1p0_cw_none,5,168,0.4780408410551652,False,2
success,visualwebarena,B4_dense_embedding_lr,B4_C10p0_cw_none,5,168,0.5714386347097774,False,3
success,visualwebarena,B4_dense_embedding_lr,B4_C0p1_cw_balanced,5,168,0.42466572707528866,False,4
success,visualwebarena,B4_dense_embedding_lr,B4_C1p0_cw_balanced,5,168,0.510149868344881,False,5
success,visualwebarena,B4_dense_embedding_lr,B4_C10p0_cw_balanced,5,168,0.5805179983312526,True,6
success,webarena,B4_dense_embedding_lr,B4_C0p1_cw_none,5,108,0.42860468435948845,False,1
success,webarena,B4_dense_embedding_lr,B4_C1p0_cw_none,5,108,0.5280600008696451,False,2
success,webarena,B4_dense_embedding_lr,B4_C10p0_cw_none,5,108,0.5986665283443316,False,3
success,webarena,B4_dense_embedding_lr,B4_C0p1_cw_balanced,5,108,0.4948659848862278,False,4
success,webarena,B4_dense_embedding_lr,B4_C1p0_cw_balanced,5,108,0.5451684409136069,False,5
success,webarena,B4_dense_embedding_lr,B4_C10p0_cw_balanced,5,108,0.6120548423410849,True,6
success,workarena,B4_dense_embedding_lr,B4_C0p1_cw_none,5,132,0.45097326825899653,False,1
success,workarena,B4_dense_embedding_lr,B4_C1p0_cw_none,5,132,0.48454083178147533,False,2
success,workarena,B4_dense_embedding_lr,B4_C10p0_cw_none,5,132,0.5077488501625125,False,3
success,workarena,B4_dense_embedding_lr,B4_C0p1_cw_balanced,5,132,0.4749601908741554,False,4
success,workarena,B4_dense_embedding_lr,B4_C1p0_cw_balanced,5,132,0.5114909197079645,True,5
success,workarena,B4_dense_embedding_lr,B4_C10p0_cw_balanced,5,132,0.5031862910744517,False,6
side_effect,assistantbench,B4_dense_embedding_lr,B4_C0p1_cw_none,5,171,0.1478809590463972,False,1
side_effect,assistantbench,B4_dense_embedding_lr,B4_C1p0_cw_none,5,171,0.204712900434066,False,2
side_effect,assistantbench,B4_dense_embedding_lr,B4_C10p0_cw_none,5,171,0.21292825950354566,True,3
side_effect,assistantbench,B4_dense_embedding_lr,B4_C0p1_cw_balanced,5,171,0.2098127517211512,False,4
side_effect,assistantbench,B4_dense_embedding_lr,B4_C1p0_cw_balanced,5,171,0.2066657986421579,False,5
side_effect,assistantbench,B4_dense_embedding_lr,B4_C10p0_cw_balanced,5,171,0.19928001639294646,False,6
side_effect,visualwebarena,B4_dense_embedding_lr,B4_C0p1_cw_none,5,171,0.13163128088395087,False,1
side_effect,visualwebarena,B4_dense_embedding_lr,B4_C1p0_cw_none,5,171,0.15130357098606567,False,2
side_effect,visualwebarena,B4_dense_embedding_lr,B4_C10p0_cw_none,5,171,0.19426676572902987,False,3
side_effect,visualwebarena,B4_dense_embedding_lr,B4_C0p1_cw_balanced,5,171,0.21050955835336138,False,4
side_effect,visualwebarena,B4_dense_embedding_lr,B4_C1p0_cw_balanced,5,171,0.22632054221268533,True,5
side_effect,visualwebarena,B4_dense_embedding_lr,B4_C10p0_cw_balanced,5,171,0.2118971869975927,False,6
side_effect,webarena,B4_dense_embedding_lr,B4_C0p1_cw_none,4,108,0.04140753861148598,False,1
side_effect,webarena,B4_dense_embedding_lr,B4_C1p0_cw_none,4,108,0.14200027995520717,False,2
side_effect,webarena,B4_dense_embedding_lr,B4_C10p0_cw_none,4,108,0.5833333333333333,False,3
side_effect,webarena,B4_dense_embedding_lr,B4_C0p1_cw_balanced,4,108,0.6708333333333333,False,4
side_effect,webarena,B4_dense_embedding_lr,B4_C1p0_cw_balanced,4,108,0.6950757575757576,True,5
side_effect,webarena,B4_dense_embedding_lr,B4_C10p0_cw_balanced,4,108,0.575,False,6
side_effect,workarena,B4_dense_embedding_lr,B4_C0p1_cw_none,5,135,0.07602111016654284,False,1
side_effect,workarena,B4_dense_embedding_lr,B4_C1p0_cw_none,5,135,0.07437906661748814,False,2
side_effect,workarena,B4_dense_embedding_lr,B4_C10p0_cw_none,5,135,0.09905083791231652,False,3
side_effect,workarena,B4_dense_embedding_lr,B4_C0p1_cw_balanced,5,135,0.09477180796409435,False,4
side_effect,workarena,B4_dense_embedding_lr,B4_C1p0_cw_balanced,5,135,0.09974695246026258,False,5
side_effect,workarena,B4_dense_embedding_lr,B4_C10p0_cw_balanced,5,135,0.11734115976830395,True,6
looping,assistantbench,B4_dense_embedding_lr,B4_C0p1_cw_none,5,172,0.7384998635832569,False,1
looping,assistantbench,B4_dense_embedding_lr,B4_C1p0_cw_none,5,172,0.7905563234774846,False,2
looping,assistantbench,B4_dense_embedding_lr,B4_C10p0_cw_none,5,172,0.8265780471199446,False,3
looping,assistantbench,B4_dense_embedding_lr,B4_C0p1_cw_balanced,5,172,0.7805873942093569,False,4
looping,assistantbench,B4_dense_embedding_lr,B4_C1p0_cw_balanced,5,172,0.7992361585377643,False,5
looping,assistantbench,B4_dense_embedding_lr,B4_C10p0_cw_balanced,5,172,0.8277406540684388,True,6
looping,visualwebarena,B4_dense_embedding_lr,B4_C0p1_cw_none,5,172,0.7300495038653956,False,1
looping,visualwebarena,B4_dense_embedding_lr,B4_C1p0_cw_none,5,172,0.7608200063202162,False,2
looping,visualwebarena,B4_dense_embedding_lr,B4_C10p0_cw_none,5,172,0.7841805445824656,False,3
looping,visualwebarena,B4_dense_embedding_lr,B4_C0p1_cw_balanced,5,172,0.7655662952701257,False,4
looping,visualwebarena,B4_dense_embedding_lr,B4_C1p0_cw_balanced,5,172,0.7650185847773825,False,5
looping,visualwebarena,B4_dense_embedding_lr,B4_C10p0_cw_balanced,5,172,0.7869134649353656,True,6
looping,webarena,B4_dense_embedding_lr,B4_C0p1_cw_none,5,108,0.7334707520265731,False,1
looping,webarena,B4_dense_embedding_lr,B4_C1p0_cw_none,5,108,0.7555436500474856,False,2
looping,webarena,B4_dense_embedding_lr,B4_C10p0_cw_none,5,108,0.8071225544835424,True,3
looping,webarena,B4_dense_embedding_lr,B4_C0p1_cw_balanced,5,108,0.7439696129967541,False,4
looping,webarena,B4_dense_embedding_lr,B4_C1p0_cw_balanced,5,108,0.7568694557331953,False,5
looping,webarena,B4_dense_embedding_lr,B4_C10p0_cw_balanced,5,108,0.8070097690451792,False,6
looping,workarena,B4_dense_embedding_lr,B4_C0p1_cw_none,5,136,0.7505590683658396,False,1
looping,workarena,B4_dense_embedding_lr,B4_C1p0_cw_none,5,136,0.7679966077990329,False,2
looping,workarena,B4_dense_embedding_lr,B4_C10p0_cw_none,5,136,0.76052583193818,False,3
looping,workarena,B4_dense_embedding_lr,B4_C0p1_cw_balanced,5,136,0.7681404931392776,True,4
looping,workarena,B4_dense_embedding_lr,B4_C1p0_cw_balanced,5,136,0.7670510324824148,False,5
looping,workarena,B4_dense_embedding_lr,B4_C10p0_cw_balanced,5,136,0.7631359921165103,False,6
