target,held_out_group,baseline_id,selected_config_id,threshold,inner_f1,inner_precision,inner_recall,selected
success,assistantbench,B4_dense_embedding_lr,B4_C1p0_cw_balanced,0.05,0.5,0.3333333333333333,1.0,False
success,assistantbench,B4_dense_embedding_lr,B4_C1p0_cw_balanced,0.1,0.5,0.3333333333333333,1.0,False
success,assistantbench,B4_dense_embedding_lr,B4_C1p0_cw_balanced,0.15,0.5,0.3333333333333333,1.0,False
success,assistantbench,B4_dense_embedding_lr,B4_C1p0_cw_balanced,0.2,0.5,0.3333333333333333,1.0,False
success,assistantbench,B4_dense_embedding_lr,B4_C1p0_cw_balanced,0.25,0.5,0.3333333333333333,1.0,False
success,assistantbench,B4_dense_embedding_lr,B4_C1p0_cw_balanced,0.3,0.5,0.3333333333333333,1.0,False
success,assistantbench,B4_dense_embedding_lr,B4_C1p0_cw_balanced,0.35,0.4931506849315068,0.3312883435582822,0.9642857142857143,False
success,assistantbench,B4_dense_embedding_lr,B4_C1p0_cw_balanced,0.4,0.5240641711229946,0.37404580152671757,0.875,False
success,assistantbench,B4_dense_embedding_lr,B4_C1p0_cw_balanced,0.45,0.5652173913043478,0.47560975609756095,0.6964285714285714,False
success,assistantbench,B4_dense_embedding_lr,B4_C1p0_cw_balanced,0.5,0.584070796460177,0.5789473684210527,0.5892857142857143,True
success,assistantbench,B4_dense_embedding_lr,B4_C1p0_cw_balanced,0.55,0.5102040816326531,0.5952380952380952,0.44642857142857145,False
success,assistantbench,B4_dense_embedding_lr,B4_C1p0_cw_balanced,0.6,0.4155844155844156,0.7619047619047619,0.2857142857142857,False
success,assistantbench,B4_dense_embedding_lr,B4_C1p0_cw_balanced,0.65,0.0,0.0,0.0,False
success,assistantbench,B4_dense_embedding_lr,B4_C1p0_cw_balanced,0.7,0.0,0.0,0.0,False
success,assistantbench,B4_dense_embedding_lr,B4_C1p0_cw_balanced,0.75,0.0,0.0,0.0,False
success,assistantbench,B4_dense_embedding_lr,B4_C1p0_cw_balanced,0.8,0.0,0.0,0.0,False
success,assistantbench,B4_dense_embedding_lr,B4_C1p0_cw_balanced,0.85,0.0,0.0,0.0,False
success,assistantbench,B4_dense_embedding_lr,B4_C1p0_cw_balanced,0.9,0.0,0.0,0.0,False
success,assistantbench,B4_dense_embedding_lr,B4_C1p0_cw_balanced,0.95,0.0,0.0,0.0,False
success,visualwebarena,B4_dense_embedding_lr,B4_C10p0_cw_balanced,0.05,0.42990654205607476,0.27380952380952384,1.0,False
success,visualwebarena,B4_dense_embedding_lr,B4_C10p0_cw_balanced,0.1,0.431924882629108,0.2754491017964072,1.0,False
success,visualwebarena,B4_dense_embedding_lr,B4_C10p0_cw_balanced,0.15,0.45544554455445546,0.2948717948717949,1.0,False
success,visualwebarena,B4_dense_embedding_lr,B4_C10p0_cw_balanced,0.2,0.46875,0.3082191780821918,0.9782608695652174,False
success,visualwebarena,B4_dense_embedding_lr,B4_C10p0_cw_balanced,0.25,0.4725274725274725,0.3161764705882353,0.9347826086956522,False
