evidence_id,stage_id,target,protocol,method_or_variant,metric_or_estimand,point_estimate,ci_lower,ci_upper,valid_fraction,sample_size,positive_count,support_role,source_artifact,source_row_key,formal_commit,notes
E_A12_SUCCESS_B2_POOLED_AP,A1.2,success,task-grouped five-fold dev OOF,B2,pooled AP,0.5460325657667283,,,,192,58,secondary,artifacts/a1_2_pooled_metrics.csv,target=success;baseline_id=B2,179ce02640a8e6e15411348b57fd8d7725047364,pooled F1=0.6; AP lift=0.243949232433395; provisional dev signal only
E_A12_SUCCESS_B3_POOLED_AP,A1.2,success,task-grouped five-fold dev OOF,B3,pooled AP,0.3542397136544174,,,,192,58,secondary,artifacts/a1_2_pooled_metrics.csv,target=success;baseline_id=B3,179ce02640a8e6e15411348b57fd8d7725047364,pooled F1=0.4093567251461988; AP lift=0.052156380321084106; provisional dev signal only
E_A12_SIDE_EFFECT_B2_POOLED_AP,A1.2,side_effect,task-grouped five-fold dev OOF,B2,pooled AP,0.0713462143994289,,,,195,12,diagnostic,artifacts/a1_2_pooled_metrics.csv,target=side_effect;baseline_id=B2,179ce02640a8e6e15411348b57fd8d7725047364,pooled F1=0.10869565217391304; AP lift=0.009807752860967356; provisional dev signal only
E_A12_SIDE_EFFECT_B3_POOLED_AP,A1.2,side_effect,task-grouped five-fold dev OOF,B3,pooled AP,0.2256074459108069,,,,195,12,diagnostic,artifacts/a1_2_pooled_metrics.csv,target=side_effect;baseline_id=B3,179ce02640a8e6e15411348b57fd8d7725047364,pooled F1=0.375; AP lift=0.16406898437234535; provisional dev signal only
E_A12_LOOPING_B2_POOLED_AP,A1.2,looping,task-grouped five-fold dev OOF,B2,pooled AP,0.9045369820471402,,,,196,92,secondary,artifacts/a1_2_pooled_metrics.csv,target=looping;baseline_id=B2,179ce02640a8e6e15411348b57fd8d7725047364,pooled F1=0.8944723618090452; AP lift=0.43514922694509933; provisional dev signal only
E_A12_LOOPING_B3_POOLED_AP,A1.2,looping,task-grouped five-fold dev OOF,B3,pooled AP,0.6323064085195023,,,,196,92,secondary,artifacts/a1_2_pooled_metrics.csv,target=looping;baseline_id=B3,179ce02640a8e6e15411348b57fd8d7725047364,pooled F1=0.6606334841628959; AP lift=0.16291865341746142; provisional dev signal only
E_A13_SUCCESS_B2_MACRO_AP,A1.3,success,primary four-group LOBO,B2,macro AP,0.4798096424543246,,,,192,58,primary,artifacts/a1_3_lobo_macro_metrics.csv,target=success;baseline_id=B2,346bb4b3d4a90fc51c1e099618c3b7592fa76b99,macro F1=0.5173043038079567; macro AP lift=0.18040488054956272; valid domains=4; excluded single-class=0
E_A13_SUCCESS_B3_MACRO_AP,A1.3,success,primary four-group LOBO,B3,macro AP,0.42285687836068825,,,,192,58,secondary,artifacts/a1_3_lobo_macro_metrics.csv,target=success;baseline_id=B3,346bb4b3d4a90fc51c1e099618c3b7592fa76b99,macro F1=0.39194451668309677; macro AP lift=0.12345211645592635; valid domains=4; excluded single-class=0
E_A13_SIDE_EFFECT_B2_MACRO_AP,A1.3,side_effect,primary four-group LOBO,B2,macro AP,0.06044294222122107,,,,195,12,diagnostic,artifacts/a1_3_lobo_macro_metrics.csv,target=side_effect;baseline_id=B2,346bb4b3d4a90fc51c1e099618c3b7592fa76b99,macro F1=0.0698005698005698; macro AP lift=-0.009097287663836396; valid domains=3; excluded single-class=1
E_A13_SIDE_EFFECT_B3_MACRO_AP,A1.3,side_effect,primary four-group LOBO,B3,macro AP,0.11194123811143843,,,,195,12,diagnostic,artifacts/a1_3_lobo_macro_metrics.csv,target=side_effect;baseline_id=B3,346bb4b3d4a90fc51c1e099618c3b7592fa76b99,macro F1=0.11674641148325358; macro AP lift=0.04240100822638096; valid domains=3; excluded single-class=1
