target,method_id,config_id,C,class_weight,pooled_oof_rows,pooled_oof_average_precision,tie_break_rank,selected
success,FINAL_SUCCESS_B2,B2_C0p1_cw_none,0.1,none,192,0.4772694137522515,1,False
success,FINAL_SUCCESS_B2,B2_C1p0_cw_none,1.0,none,192,0.5210992733924215,2,False
success,FINAL_SUCCESS_B2,B2_C10p0_cw_none,10.0,none,192,0.5421584109271923,3,False
success,FINAL_SUCCESS_B2,B2_C0p1_cw_balanced,0.1,balanced,192,0.4764079816517084,4,False
success,FINAL_SUCCESS_B2,B2_C1p0_cw_balanced,1.0,balanced,192,0.5245130492630795,5,False
success,FINAL_SUCCESS_B2,B2_C10p0_cw_balanced,10.0,balanced,192,0.5465428107647715,6,True
looping,FINAL_LOOPING_B2,B2_C0p1_cw_none,0.1,none,196,0.9035309872556254,1,False
looping,FINAL_LOOPING_B2,B2_C1p0_cw_none,1.0,none,196,0.9140325962159682,2,False
looping,FINAL_LOOPING_B2,B2_C10p0_cw_none,10.0,none,196,0.9100334760074144,3,False
looping,FINAL_LOOPING_B2,B2_C0p1_cw_balanced,0.1,balanced,196,0.9023324053422253,4,False
looping,FINAL_LOOPING_B2,B2_C1p0_cw_balanced,1.0,balanced,196,0.9140810084290651,5,True
looping,FINAL_LOOPING_B2,B2_C10p0_cw_balanced,10.0,balanced,196,0.911525517329112,6,False
side_effect,FINAL_SIDE_EFFECT_B4,B4_C0p1_cw_none,0.1,none,195,0.12097597368421836,1,False
side_effect,FINAL_SIDE_EFFECT_B4,B4_C1p0_cw_none,1.0,none,195,0.1463486258975636,2,False
side_effect,FINAL_SIDE_EFFECT_B4,B4_C10p0_cw_none,10.0,none,195,0.16965406418684584,3,False
side_effect,FINAL_SIDE_EFFECT_B4,B4_C0p1_cw_balanced,0.1,balanced,195,0.1539303818730227,4,False
side_effect,FINAL_SIDE_EFFECT_B4,B4_C1p0_cw_balanced,1.0,balanced,195,0.1668329011738714,5,False
side_effect,FINAL_SIDE_EFFECT_B4,B4_C10p0_cw_balanced,10.0,balanced,195,0.18987790304420496,6,True
