target,method_id,selected_config_id,threshold,positive_f1,precision,recall,selected
success,FINAL_SUCCESS_B2,B2_C10p0_cw_balanced,0.05,0.45901639344262296,0.3010752688172043,0.9655172413793104,False
success,FINAL_SUCCESS_B2,B2_C10p0_cw_balanced,0.1,0.47368421052631576,0.3176470588235294,0.9310344827586207,False
success,FINAL_SUCCESS_B2,B2_C10p0_cw_balanced,0.15,0.5435897435897435,0.38686131386861317,0.9137931034482759,False
success,FINAL_SUCCESS_B2,B2_C10p0_cw_balanced,0.2,0.5543478260869565,0.40476190476190477,0.8793103448275862,False
success,FINAL_SUCCESS_B2,B2_C10p0_cw_balanced,0.25,0.5964912280701754,0.45132743362831856,0.8793103448275862,False
success,FINAL_SUCCESS_B2,B2_C10p0_cw_balanced,0.3,0.5975609756097561,0.46226415094339623,0.8448275862068966,False
success,FINAL_SUCCESS_B2,B2_C10p0_cw_balanced,0.35,0.6114649681528662,0.48484848484848486,0.8275862068965517,False
success,FINAL_SUCCESS_B2,B2_C10p0_cw_balanced,0.4,0.5906040268456376,0.4835164835164835,0.7586206896551724,False
success,FINAL_SUCCESS_B2,B2_C10p0_cw_balanced,0.45,0.6153846153846154,0.5176470588235295,0.7586206896551724,False
success,FINAL_SUCCESS_B2,B2_C10p0_cw_balanced,0.5,0.6370370370370371,0.5584415584415584,0.7413793103448276,False
success,FINAL_SUCCESS_B2,B2_C10p0_cw_balanced,0.55,0.6612903225806451,0.6212121212121212,0.7068965517241379,True
success,FINAL_SUCCESS_B2,B2_C10p0_cw_balanced,0.6,0.6434782608695652,0.6491228070175439,0.6379310344827587,False
success,FINAL_SUCCESS_B2,B2_C10p0_cw_balanced,0.65,0.6126126126126126,0.6415094339622641,0.5862068965517241,False
success,FINAL_SUCCESS_B2,B2_C10p0_cw_balanced,0.7,0.5981308411214953,0.6530612244897959,0.5517241379310345,False
success,FINAL_SUCCESS_B2,B2_C10p0_cw_balanced,0.75,0.5050505050505051,0.6097560975609756,0.43103448275862066,False
success,FINAL_SUCCESS_B2,B2_C10p0_cw_balanced,0.8,0.38202247191011235,0.5483870967741935,0.29310344827586204,False
success,FINAL_SUCCESS_B2,B2_C10p0_cw_balanced,0.85,0.2891566265060241,0.48,0.20689655172413793,False
success,FINAL_SUCCESS_B2,B2_C10p0_cw_balanced,0.9,0.20588235294117646,0.7,0.1206896551724138,False
success,FINAL_SUCCESS_B2,B2_C10p0_cw_balanced,0.95,0.06451612903225806,0.5,0.034482758620689655,False
looping,FINAL_LOOPING_B2,B2_C1p0_cw_balanced,0.05,0.832579185520362,0.7131782945736435,1.0,False
looping,FINAL_LOOPING_B2,B2_C1p0_cw_balanced,0.1,0.8792270531400966,0.7913043478260869,0.9891304347826086,False
looping,FINAL_LOOPING_B2,B2_C1p0_cw_balanced,0.15,0.900990099009901,0.8272727272727273,0.9891304347826086,False
looping,FINAL_LOOPING_B2,B2_C1p0_cw_balanced,0.2,0.8955223880597015,0.8256880733944955,0.9782608695652174,False
looping,FINAL_LOOPING_B2,B2_C1p0_cw_balanced,0.25,0.898989898989899,0.839622641509434,0.967391304347826,False
