target,feature_group,frozen_variant_or_comparison,effect_direction,uncertainty_status,source_stage,source_artifact,point_estimate,allowed_interpretation,forbidden_interpretation,evidence_status
success,G3_termination,S1_no_termination vs S0_full13,removal_lowered_pooled_ap,difference_uncertain,A1.5+A1.6,artifacts/a1_5_structural_ablation_deltas.csv;artifacts/a1_6_primary_paired_delta_summary.csv,-0.034938617631940505,Frozen S1_no_termination minus S0 pooled AP=-0.0349386176319; A1.5 classification=moderate_dependency; A1.6 macro-AP uncertainty=difference_uncertain. The point estimate is the frozen A1.5 pooled-AP delta; this is descriptive dev evidence.,"No causal effect, confirmatory upgrade, or unseen-benchmark generalization claim.",DEV_ONLY
success,G4_repetition,S2_no_repetition vs S0_full13,removal_lowered_pooled_ap,NOT_BOOTSTRAPPED_IN_A1_6,A1.5,artifacts/a1_5_structural_ablation_deltas.csv,-0.013515703837076176,Frozen S2_no_repetition minus S0 pooled AP=-0.0135157038371; A1.5 classification=limited_dependency; A1.6 macro-AP uncertainty=NOT_BOOTSTRAPPED_IN_A1_6. The point estimate is the frozen A1.5 pooled-AP delta; this is descriptive dev evidence.,"No causal effect, confirmatory upgrade, or unseen-benchmark generalization claim.",DEV_ONLY
success,G1_activity_volume,S3_no_activity_volume vs S0_full13,removal_lowered_pooled_ap,NOT_BOOTSTRAPPED_IN_A1_6,A1.5,artifacts/a1_5_structural_ablation_deltas.csv,-0.028112869549745012,Frozen S3_no_activity_volume minus S0 pooled AP=-0.0281128695497; A1.5 classification=limited_dependency; A1.6 macro-AP uncertainty=NOT_BOOTSTRAPPED_IN_A1_6. The point estimate is the frozen A1.5 pooled-AP delta; this is descriptive dev evidence.,"No causal effect, confirmatory upgrade, or unseen-benchmark generalization claim.",DEV_ONLY
success,G2_error,S4_no_error vs S0_full13,removal_raised_pooled_ap,NOT_BOOTSTRAPPED_IN_A1_6,A1.5,artifacts/a1_5_structural_ablation_deltas.csv,0.061457814211395345,Frozen S4_no_error minus S0 pooled AP=0.0614578142114; A1.5 classification=limited_dependency; A1.6 macro-AP uncertainty=NOT_BOOTSTRAPPED_IN_A1_6. The point estimate is the frozen A1.5 pooled-AP delta; this is descriptive dev evidence.,"No causal effect, confirmatory upgrade, or unseen-benchmark generalization claim.",DEV_ONLY
success,G3_termination+G4_repetition,S6_termination_repetition_only vs S0_full13,restricted_variant_lower_pooled_ap,difference_uncertain,A1.5+A1.6,artifacts/a1_5_structural_ablation_deltas.csv;artifacts/a1_6_primary_paired_delta_summary.csv,-0.015252000187100656,Frozen S6_termination_repetition_only minus S0 pooled AP=-0.0152520001871; A1.5 classification=sufficiency_only_not_dependency_grade; A1.6 macro-AP uncertainty=difference_uncertain. The point estimate is the frozen A1.5 pooled-AP delta; this is descriptive dev evidence.,"No causal effect, confirmatory upgrade, or unseen-benchmark generalization claim.",DEV_ONLY
looping,G3_termination,S1_no_termination vs S0_full13,removal_lowered_pooled_ap,NOT_BOOTSTRAPPED_IN_A1_6,A1.5,artifacts/a1_5_structural_ablation_deltas.csv,-0.007939473799514873,Frozen S1_no_termination minus S0 pooled AP=-0.00793947379951; A1.5 classification=limited_dependency; A1.6 macro-AP uncertainty=NOT_BOOTSTRAPPED_IN_A1_6. The point estimate is the frozen A1.5 pooled-AP delta; this is descriptive dev evidence.,"No causal effect, confirmatory upgrade, or unseen-benchmark generalization claim.",DEV_ONLY
looping,G4_repetition,S2_no_repetition vs S0_full13,removal_lowered_pooled_ap,stable_drop_for_A_vs_B,A1.5+A1.6,artifacts/a1_5_structural_ablation_deltas.csv;artifacts/a1_6_primary_paired_delta_summary.csv,-0.04233232096223949,Frozen S2_no_repetition minus S0 pooled AP=-0.0423323209622; A1.5 classification=limited_dependency; A1.6 macro-AP uncertainty=stable_drop_for_A_vs_B. The point estimate is the frozen A1.5 pooled-AP delta; this is descriptive dev evidence.,"No causal effect, confirmatory upgrade, or unseen-benchmark generalization claim.",DEV_ONLY
looping,G1_activity_volume,S3_no_activity_volume vs S0_full13,removal_raised_pooled_ap,NOT_BOOTSTRAPPED_IN_A1_6,A1.5,artifacts/a1_5_structural_ablation_deltas.csv,0.0505966328555143,Frozen S3_no_activity_volume minus S0 pooled AP=0.0505966328555; A1.5 classification=limited_dependency; A1.6 macro-AP uncertainty=NOT_BOOTSTRAPPED_IN_A1_6. The point estimate is the frozen A1.5 pooled-AP delta; this is descriptive dev evidence.,"No causal effect, confirmatory upgrade, or unseen-benchmark generalization claim.",DEV_ONLY
looping,G2_error,S4_no_error vs S0_full13,removal_lowered_pooled_ap,NOT_BOOTSTRAPPED_IN_A1_6,A1.5,artifacts/a1_5_structural_ablation_deltas.csv,-0.014400966910883328,Frozen S4_no_error minus S0 pooled AP=-0.0144009669109; A1.5 classification=limited_dependency; A1.6 macro-AP uncertainty=NOT_BOOTSTRAPPED_IN_A1_6. The point estimate is the frozen A1.5 pooled-AP delta; this is descriptive dev evidence.,"No causal effect, confirmatory upgrade, or unseen-benchmark generalization claim.",DEV_ONLY
looping,G3_termination+G4_repetition,S6_termination_repetition_only vs S0_full13,restricted_variant_higher_pooled_ap,difference_uncertain,A1.5+A1.6,artifacts/a1_5_structural_ablation_deltas.csv;artifacts/a1_6_primary_paired_delta_summary.csv,0.07749168241532411,Frozen S6_termination_repetition_only minus S0 pooled AP=0.0774916824153; A1.5 classification=sufficiency_only_not_dependency_grade; A1.6 macro-AP uncertainty=difference_uncertain. The point estimate is the frozen A1.5 pooled-AP delta; this is descriptive dev evidence.,"No causal effect, confirmatory upgrade, or unseen-benchmark generalization claim.",DEV_ONLY
