artifact,source_stage,role,evidence_status,paper_location,sha256,verified
artifacts/a1_11_final_claim_matrix.csv,A1.11,frozen claim contract,MIXED_FROZEN_STATUS,claims / limitations,2fc929e242e614244940d6d96d8ff1e3935e059925cff0b36b009a86b04f3175,true
artifacts/a1_11_table_main_test_results.csv,A1.11,official held-out source,CONFIRMATORY_AND_EXPLORATORY,Table 1 / Figure 2,c60ff992487e7a05d70c39de7db9364c31529a6b4334739e59045783ec3e9947,true
artifacts/a1_11_table_benchmark_results.csv,A1.11,benchmark heterogeneity source,DESCRIPTIVE_ONLY,Table 4 / appendix,3df5b511d0cf29472ccfba5c63ea28caf4b58407285109231f176871668d77a2,true
artifacts/a1_11_dev_evidence_summary.csv,A1.11,dev evidence source,DEV_ONLY,Table 3 / Figure 4,0b6860d68c51cf343044739743c5d92f5f28d34c2213ed9635e2acf2fe184d0e,true
artifacts/a2_1_efficiency_summary.csv,A2.1,efficiency source,EFFICIENCY_BENCHMARK,Table 2 / Figure 3,7d37fddef61b526f4b054483ba900ba72a69b0c4c98cd2b31b7ce725043df0c3,true
artifacts/a2_1_efficiency_relative_cost.csv,A2.1,relative-cost source,EFFICIENCY_BENCHMARK,Table 2 / Figure 3,fb8619c1914b4a23308800bd3aaf2dd256701820443f3b0a171f7508c4fa3d1f,true
artifacts/a2_2_structural_coefficients.csv,A2.2,coefficient source,POST_FREEZE_DIAGNOSTIC,Table 5 / Figure 4,cd762d7975566f2d107cddff82e8e2d2a58738ee8dbf74f13ee8cffad1ec29d2,true
artifacts/a2_2_feature_group_evidence.csv,A2.2,feature-group source,DEV_ONLY,Table 5 / Figure 4,8160dc969d6043b8da8ee294b8cabb8811c5d4171af24cad6ec0f35efd881af8,true
artifacts/a2_2_metadata_baseline_summary.csv,A2.2,metadata source,POST_FREEZE_DIAGNOSTIC,Table 5,f5bf2aa3c71e81f2025de01c38d93be0af1a0038e772a5d282649bccd33df967,true
artifacts/a2_2_error_case_notes.csv,A2.2,error-analysis source,POST_FREEZE_DESCRIPTIVE,Table 5 / Figure 5,ec060f556d6402dfa7a333c4c7498a20d1b2e5d067002a9bfdcb2225e3b1b6ee,true
artifacts/a2_3_implementation_failures.json,A2.3,implementation-failure provenance,INTEGRITY_ONLY,provenance,0f9e1fc23e471a37de00e54882ac9e577c7559b2b081374b152d4a0f51af0533,true
artifacts/a2_3_baseline_completeness_matrix.csv,A2.3,baseline hierarchy,MIXED_FROZEN_STATUS,appendix / methods context,76578f063c0b2fa1676c4ba4082e42242a76f4e5e23317a055ccf2b05a14b575,true
artifacts/a2_3_evidence_to_paper_map.csv,A2.3,evidence placement contract,MIXED_FROZEN_STATUS,writing control,8f471d50d4b1e8d53e4946aadcbd3541d81ebb4c27b6d93b9fbf56e4859cf60a,true
artifacts/a2_3_table_1_main_heldout_results.csv,A2.3,paper-ready held-out table,CONFIRMATORY_AND_EXPLORATORY,main text,297a1f59c34fc7f29864d722e8e2a233945dba061527848e31b4d7411b2964a5,true
artifacts/a2_3_table_2_efficiency_tradeoff.csv,A2.3,paper-ready efficiency table,EFFICIENCY_BENCHMARK,main text,bbf36c09827819fbf49aaa7487db66b34077052d8a29cb093c72001bee66f02a,true
artifacts/a2_3_table_3_dev_representation_summary.csv,A2.3,paper-ready dev evidence table,DEV_ONLY,main text / appendix,f0e15e670e3f9592c167c57adaf41a63d56bce0fc9bc37a1945a8ed3f3431c1e,true
artifacts/a2_3_table_4_benchmark_heterogeneity.csv,A2.3,paper-ready heterogeneity table,DESCRIPTIVE_ONLY,appendix,de0cbc94d114eab5677d1ff620a5f0d976883ae8515d3cb24e873f9f213ac511,true
artifacts/a2_3_table_5_interpretability_error_summary.csv,A2.3,paper-ready diagnostic table,POST_FREEZE_DIAGNOSTIC_AND_DESCRIPTIVE,main text / appendix,037a8b3200377093bf1abb5ea0cf9b82db74fb162e27971690d10f7d9cdf4a0f,true
docs/a2_3_publication_results_story.md,A2.3,publication story freeze,CLAIM_BOUNDED,writing plan,5b68968cdf43061cef044ce1e969883178bd7fa50a691cbcedde5c3215f86827,true
docs/a2_3_publication_figure_spec.md,A2.3,figure specification,CLAIM_BOUNDED,figure plan,96cbd15126bec73ac6a644b2be14a6a940728257ee678bde4f8e93b4bb295a58,true
docs/a2_3_final_limitations_ledger.md,A2.3,final limitations ledger,LIMITATION,limitations,80490f81318903267bfe117a0cadae9192ba35db50a352329aac4a01094d8255,true
docs/a2_3_external_validation_decision.md,A2.3,external-validation decision,DECISION_ONLY,remaining work,fcd2c1ef85309e94a321dc0bb0517b4ac93aff030b3b63a138fe6df8733d5102,true
