artifact_id,artifact_path,artifact_type,paper_role,source_artifacts,sha256,evidence_status,display_contract_version,verified
a3_1_display_contract,artifacts/a3_1_display_contract.json,contract,display precision,docs/tasks/STAGE_A3_1_FINAL_FIGURES_TABLES.md,45e218f2421d9d21027d44a7631ea5909e79e3d49ec7200e56ba090ef0de7c5e,INTEGRITY_ONLY,a3_1_display_contract_v1,true
a3_1_display_value_map,artifacts/a3_1_display_value_map.csv,manifest,exact-to-display mapping,artifacts/a2_3_table_1_main_heldout_results.csv;artifacts/a2_3_table_2_efficiency_tradeoff.csv;artifacts/a2_3_table_3_dev_representation_summary.csv;artifacts/a2_3_table_4_benchmark_heterogeneity.csv;artifacts/a2_3_table_5_interpretability_error_summary.csv,f9d04b038a06e41627cf4f4eb745afdeed06a44c8fafe7a68a6bbedbce7145ee,INTEGRITY_ONLY,a3_1_display_contract_v1,true
a3_1_figure_data_manifest,artifacts/a3_1_figure_data_manifest.csv,manifest,figure source mapping,artifacts/a2_3_table_1_main_heldout_results.csv;artifacts/a2_3_table_2_efficiency_tradeoff.csv;artifacts/a2_3_table_3_dev_representation_summary.csv;artifacts/a2_3_table_4_benchmark_heterogeneity.csv;artifacts/a2_3_table_5_interpretability_error_summary.csv,1a96619006457b756bf7b69253df9ab95244c164e3146e1042d47948c4f883d4,INTEGRITY_ONLY,a3_1_display_contract_v1,true
a3_1_implementation_failures,artifacts/a3_1_implementation_failures.json,provenance,implementation failure provenance,scripts/build_a3_1_final_figures_tables.py,6937f61f9432e34c0abf4a59fc572f84e7cd6bacb9d9402307a56ef0b10b744e,INTEGRITY_ONLY,a3_1_display_contract_v1,true
a3_1_input_manifest,artifacts/a3_1_input_manifest.json,manifest,source traceability,docs/tasks/STAGE_A3_1_FINAL_FIGURES_TABLES.md;artifacts/a1_11_final_claim_matrix.csv;artifacts/a1_11_table_main_test_results.csv;artifacts/a1_11_table_benchmark_results.csv;artifacts/a1_11_evidence_registry.csv;artifacts/a1_9_run_summary.json;artifacts/a1_10a_run_summary.json;artifacts/a1_10_run_summary.json;artifacts/a2_1_efficiency_summary.csv;artifacts/a2_1_efficiency_relative_cost.csv;artifacts/a2_1_environment.json;artifacts/a2_2_structural_coefficients.csv;artifacts/a2_2_feature_group_evidence.csv;artifacts/a2_2_metadata_baseline_summary.csv;artifacts/a2_2_error_case_manifest.csv;artifacts/a2_2_error_case_notes.csv;artifacts/a2_3_table_1_main_heldout_results.csv;artifacts/a2_3_table_2_efficiency_tradeoff.csv;artifacts/a2_3_table_3_dev_representation_summary.csv;artifacts/a2_3_table_4_benchmark_heterogeneity.csv;artifacts/a2_3_table_5_interpretability_error_summary.csv;artifacts/a2_3_evidence_to_paper_map.csv;docs/a2_3_publication_results_story.md;docs/a2_3_publication_figure_spec.md;docs/a2_3_final_limitations_ledger.md;artifacts/a2_3_publication_package_index.csv,fb6a2f0f4744edce577148293433f3641e0aeeb3390997417c0bd9b52eaf44d1,INTEGRITY_ONLY,a3_1_display_contract_v1,true
a3_1_visual_style,artifacts/a3_1_visual_style.json,contract,visual style,docs/tasks/STAGE_A3_1_FINAL_FIGURES_TABLES.md,edad12e1c737105cc1a4fc28554f44f69be95661457e58b45a1c6c0008539ca3,INTEGRITY_ONLY,a3_1_display_contract_v1,true
a3_1_figure_table_caption_contract,docs/a3_1_figure_table_caption_contract.md,contract,caption boundary,docs/a2_3_publication_figure_spec.md;docs/a2_3_final_limitations_ledger.md,88f3e383a77879c4115d492c1f007626a79db5860b72337787a10cc18c0c2aec,CLAIM_FREEZE,a3_1_display_contract_v1,true
A3_1_Figure_Contact_Sheet,paper/figures/A3_1_Figure_Contact_Sheet.pdf,review,human review only,paper/figures/Fig1_Study_Pipeline.png;paper/figures/Fig2_Heldout_AP_Lift_CI.png;paper/figures/Fig3_Efficiency_Complexity.png;paper/figures/Fig4_Structural_Interpretation.png;paper/figures/Fig5_Success_Failure_Boundaries.png;paper/figures/FigS1_SideEffect_Exploratory_AP_Lift.png;paper/figures/FigS2_Benchmark_Heterogeneity.png,e8a0ed15da9a28f0c671c649afa0a9b58eeab78702d691f569ef9f745384588c,REVIEW_ONLY,a3_1_display_contract_v1,true
Fig1_Study_Pipeline,paper/figures/Fig1_Study_Pipeline.pdf,final_figure,paper figure,artifacts/a1_9_run_summary.json;artifacts/a1_10a_run_summary.json;artifacts/a1_10_run_summary.json,53323520f4943b6bac4f9e52e8d040554482ad2157d868f72804a7230e27fb7a,INTEGRITY_ONLY,a3_1_display_contract_v1,true
Fig1_Study_Pipeline,paper/figures/Fig1_Study_Pipeline.png,final_figure,paper figure,artifacts/a1_9_run_summary.json;artifacts/a1_10a_run_summary.json;artifacts/a1_10_run_summary.json,06dfa02cbdd5e7858d8e45b4798a8a223cba711168ab93327e0d3145b46399da,INTEGRITY_ONLY,a3_1_display_contract_v1,true
