figure_id,panel,series,label,value_type,source_field,exact_value,display_value,source_artifact,source_row_key,evidence_status,trajectory_key,error_type,case_role,primary_code
Fig1_Study_Pipeline,pipeline,protocol_stage,Raw trajectories,protocol_text,stage_sequence,raw_trajectories,Raw trajectories,artifacts/a1_11_evidence_registry.csv,raw_trajectories,INTEGRITY_ONLY,,,,
Fig1_Study_Pipeline,pipeline,protocol_stage,Leakage-safe cleaning,protocol_text,stage_sequence,leakage_safe_cleaning,Leakage-safe cleaning,artifacts/a1_11_evidence_registry.csv,leakage_safe_cleaning,INTEGRITY_ONLY,,,,
Fig1_Study_Pipeline,pipeline,protocol_stage,Grouped dev,protocol_text,stage_sequence,grouped_dev,Grouped dev,artifacts/a1_11_evidence_registry.csv,grouped_dev,DEV_ONLY,,,,
Fig1_Study_Pipeline,pipeline,protocol_stage,Method freeze,protocol_text,stage_sequence,method_freeze,Method freeze,artifacts/a1_9_run_summary.json,method_freeze,INTEGRITY_ONLY,,,,
Fig1_Study_Pipeline,pipeline,protocol_stage,Blind prediction,protocol_text,stage_sequence,blind_prediction,Blind prediction,artifacts/a1_10a_run_summary.json,blind_prediction,INTEGRITY_ONLY,,,,
Fig1_Study_Pipeline,pipeline,protocol_stage,Label unlock,protocol_text,stage_sequence,label_unlock,Label unlock,artifacts/a1_10_run_summary.json,label_unlock,INTEGRITY_ONLY,,,,
Fig1_Study_Pipeline,pipeline,protocol_stage,Held-out confirmation,protocol_text,stage_sequence,heldout_confirmation,Held-out confirmation,artifacts/a1_10_run_summary.json,heldout_confirmation,CONFIRMATORY,,,,
Fig1_Study_Pipeline,pipeline,protocol_stage,Post-freeze A2 diagnostics,protocol_text,stage_sequence,post_freeze_a2_diagnostics,Post-freeze A2 diagnostics,docs/a2_3_publication_figure_spec.md,post_freeze_a2_diagnostics,POST_FREEZE_DIAGNOSTIC,,,,
Fig2_Heldout_AP_Lift_CI,main,Success,Success,numeric,AP_lift,0.38956726077582238,0.390,artifacts/a2_3_table_1_main_heldout_results.csv,target=Success,CONFIRMATORY_SUPPORTED,,,,
Fig2_Heldout_AP_Lift_CI,main,Success,Success lower,numeric,AP_lift_CI_low,0.32680649134080703,0.327,artifacts/a2_3_table_1_main_heldout_results.csv,target=Success,CONFIRMATORY_SUPPORTED,,,,
Fig2_Heldout_AP_Lift_CI,main,Success,Success upper,numeric,AP_lift_CI_high,0.45541133477850798,0.455,artifacts/a2_3_table_1_main_heldout_results.csv,target=Success,CONFIRMATORY_SUPPORTED,,,,
Fig2_Heldout_AP_Lift_CI,main,Looping,Looping,numeric,AP_lift,0.39482874526785017,0.395,artifacts/a2_3_table_1_main_heldout_results.csv,target=Looping,CONFIRMATORY_SUPPORTED,,,,
Fig2_Heldout_AP_Lift_CI,main,Looping,Looping lower,numeric,AP_lift_CI_low,0.36096476759760193,0.361,artifacts/a2_3_table_1_main_heldout_results.csv,target=Looping,CONFIRMATORY_SUPPORTED,,,,
Fig2_Heldout_AP_Lift_CI,main,Looping,Looping upper,numeric,AP_lift_CI_high,0.42859756050695702,0.429,artifacts/a2_3_table_1_main_heldout_results.csv,target=Looping,CONFIRMATORY_SUPPORTED,,,,
Fig3_Efficiency_Complexity,A,B2,B2,numeric,dimension,13,13,artifacts/a2_3_table_2_efficiency_tradeoff.csv,method=B2,EFFICIENCY_BENCHMARK,,,,
