metric_name,target,exact_value,display_value,source_artifact,table_id,figure_id,allowed_sections,rounding_rule,verified
eligible_n,Success,1097,1097,artifacts/a2_3_table_1_main_heldout_results.csv,Table1_Main_Heldout_Results,,Abstract;Results R3;Discussion,integer,true
positive_n,Success,291,291,artifacts/a2_3_table_1_main_heldout_results.csv,Table1_Main_Heldout_Results,,Abstract;Results R3;Discussion,integer,true
negative_n,Success,806,806,artifacts/a2_3_table_1_main_heldout_results.csv,Table1_Main_Heldout_Results,,Abstract;Results R3;Discussion,integer,true
prevalence,Success,0.2652689152233364,0.265,artifacts/a2_3_table_1_main_heldout_results.csv,Table1_Main_Heldout_Results,,Abstract;Results R3;Discussion,predictive_metric_3_decimal_places,true
AP,Success,0.65483617599915878,0.655,artifacts/a2_3_table_1_main_heldout_results.csv,Table1_Main_Heldout_Results,,Abstract;Results R3;Discussion,predictive_metric_3_decimal_places,true
AP_lift,Success,0.38956726077582238,0.390,artifacts/a2_3_table_1_main_heldout_results.csv,Table1_Main_Heldout_Results,,Abstract;Results R3;Discussion,predictive_metric_3_decimal_places,true
F1,Success,0.6820987654320988,0.682,artifacts/a2_3_table_1_main_heldout_results.csv,Table1_Main_Heldout_Results,,Abstract;Results R3;Discussion,predictive_metric_3_decimal_places,true
AP_lift_CI_low,Success,0.32680649134080703,0.327,artifacts/a2_3_table_1_main_heldout_results.csv,Table1_Main_Heldout_Results,,Abstract;Results R3;Discussion,predictive_metric_3_decimal_places,true
AP_lift_CI_high,Success,0.45541133477850798,0.455,artifacts/a2_3_table_1_main_heldout_results.csv,Table1_Main_Heldout_Results,,Abstract;Results R3;Discussion,predictive_metric_3_decimal_places,true
eligible_n,Looping,1095,1095,artifacts/a2_3_table_1_main_heldout_results.csv,Table1_Main_Heldout_Results,,Abstract;Results R3;Discussion,integer,true
positive_n,Looping,577,577,artifacts/a2_3_table_1_main_heldout_results.csv,Table1_Main_Heldout_Results,,Abstract;Results R3;Discussion,integer,true
negative_n,Looping,518,518,artifacts/a2_3_table_1_main_heldout_results.csv,Table1_Main_Heldout_Results,,Abstract;Results R3;Discussion,integer,true
prevalence,Looping,0.52694063926940637,0.527,artifacts/a2_3_table_1_main_heldout_results.csv,Table1_Main_Heldout_Results,,Abstract;Results R3;Discussion,predictive_metric_3_decimal_places,true
AP,Looping,0.92176938453725654,0.922,artifacts/a2_3_table_1_main_heldout_results.csv,Table1_Main_Heldout_Results,,Abstract;Results R3;Discussion,predictive_metric_3_decimal_places,true
AP_lift,Looping,0.39482874526785017,0.395,artifacts/a2_3_table_1_main_heldout_results.csv,Table1_Main_Heldout_Results,,Abstract;Results R3;Discussion,predictive_metric_3_decimal_places,true
F1,Looping,0.87698744769874482,0.877,artifacts/a2_3_table_1_main_heldout_results.csv,Table1_Main_Heldout_Results,,Abstract;Results R3;Discussion,predictive_metric_3_decimal_places,true
AP_lift_CI_low,Looping,0.36096476759760193,0.361,artifacts/a2_3_table_1_main_heldout_results.csv,Table1_Main_Heldout_Results,,Abstract;Results R3;Discussion,predictive_metric_3_decimal_places,true
