record_type,criterion_id,dimension,primary_score_0_4,adversarial_score_0_4,final_subscore_0_4,internal_weight,dimension_weight,weighted_points,raw_dimension_score,cap_triggered,cap_value,final_dimension_score,reconciliation_status
SUBCRITERION,SV1.1,SV1,4,4,4,0.2,15,3.0000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV1.2,SV1,3,3,3,0.2,15,2.2500000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV1.3,SV1,3,2,2,0.25,15,1.8750000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV1.4,SV1,2,2,2,0.2,15,1.5000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV1.5,SV1,4,4,4,0.15,15,2.2500000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV2.1,SV2,4,4,4,0.2,15,3.0000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV2.2,SV2,3,3,3,0.2,15,2.2500000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV2.3,SV2,3,3,3,0.2,15,2.2500000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV2.4,SV2,2,2,2,0.25,15,1.8750000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV2.5,SV2,2,2,2,0.15,15,1.1250000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV3.1,SV3,3,3,3,0.15,20,2.2500000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV3.2,SV3,4,4,4,0.15,20,3.0000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV3.3,SV3,4,4,4,0.15,20,3.0000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV3.4,SV3,4,4,4,0.15,20,3.0000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV3.5,SV3,4,4,4,0.2,20,4.0000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV3.6,SV3,4,4,4,0.1,20,2.0000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV3.7,SV3,4,4,4,0.1,20,2.0000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV4.1,SV4,4,4,4,0.15,20,3.0000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV4.2,SV4,3,3,3,0.15,20,2.2500000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV4.3,SV4,4,4,4,0.15,20,3.0000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV4.4,SV4,4,4,4,0.2,20,4.0000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV4.5,SV4,3,3,3,0.15,20,2.2500000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV4.6,SV4,4,4,4,0.1,20,2.0000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV4.7,SV4,4,4,4,0.1,20,2.0000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV5.1,SV5,4,4,4,0.2,15,3.0000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV5.2,SV5,3,2,2,0.25,15,1.8750000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV5.3,SV5,2,2,2,0.15,15,1.1250000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV5.4,SV5,3,3,3,0.15,15,1.6875000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV5.5,SV5,3,2,2,0.1,15,0.7500000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV5.6,SV5,4,4,4,0.15,15,2.2500000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV6.1,SV6,4,4,4,0.25,15,3.7500000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV6.2,SV6,4,4,4,0.2,15,3.0000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV6.3,SV6,4,4,4,0.2,15,3.0000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV6.4,SV6,4,4,4,0.15,15,2.2500000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV6.5,SV6,4,4,4,0.1,15,1.5000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,SV6.6,SV6,4,4,4,0.1,15,1.5000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,PC1.1,PC1,3,2,2,0.2,25,2.5000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,PC1.2,PC1,2,2,2,0.2,25,2.5000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,PC1.3,PC1,3,3,3,0.2,25,3.7500000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,PC1.4,PC1,3,2,2,0.25,25,3.1250000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,PC1.5,PC1,3,3,3,0.15,25,2.8125000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,PC2.1,PC2,3,3,3,0.2,20,3.0000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,PC2.2,PC2,2,2,2,0.25,20,2.5000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,PC2.3,PC2,3,3,3,0.2,20,3.0000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,PC2.4,PC2,2,1,1,0.2,20,1.0000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,PC2.5,PC2,4,4,4,0.15,20,3.0000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,PC3.1,PC3,4,4,4,0.25,15,3.7500000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,PC3.2,PC3,3,2,2,0.15,15,1.1250000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,PC3.3,PC3,3,2,2,0.2,15,1.5000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,PC3.4,PC3,2,2,2,0.15,15,1.1250000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,PC3.5,PC3,4,4,4,0.1,15,1.5000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,PC3.6,PC3,4,4,4,0.15,15,2.2500000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,PC4.1,PC4,3,2,2,0.25,15,1.8750000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,PC4.2,PC4,3,3,3,0.2,15,2.2500000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,PC4.3,PC4,4,4,4,0.2,15,3.0000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,PC4.4,PC4,3,3,3,0.15,15,1.6875000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,PC4.5,PC4,3,2,2,0.2,15,1.5000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,PC5.1,PC5,4,3,3,0.25,15,2.8125000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,PC5.2,PC5,2,2,2,0.2,15,1.5000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,PC5.3,PC5,3,3,3,0.15,15,1.6875000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,PC5.4,PC5,3,2,2,0.15,15,1.1250000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,PC5.5,PC5,3,3,3,0.15,15,1.6875000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,PC5.6,PC5,4,4,4,0.1,15,1.5000000000,,,,,MIN_CONSERVATIVE
SUBCRITERION,PC6.1,PC6,,,,0.3,10,,,,,,NOT_SCORED
SUBCRITERION,PC6.2,PC6,,,,0.2,10,,,,,,NOT_SCORED
SUBCRITERION,PC6.3,PC6,,,,0.15,10,,,,,,NOT_SCORED
SUBCRITERION,PC6.4,PC6,,,,0.15,10,,,,,,NOT_SCORED
SUBCRITERION,PC6.5,PC6,,,,0.1,10,,,,,,NOT_SCORED
SUBCRITERION,PC6.6,PC6,,,,0.1,10,,,,,,NOT_SCORED
DIMENSION,SV1_SUMMARY,SV1,,,,,,,10.8750000000,false,,10.8750000000,RAW_NO_CAP
DIMENSION,SV2_SUMMARY,SV2,,,,,,,10.5000000000,false,,10.5000000000,RAW_NO_CAP
DIMENSION,SV3_SUMMARY,SV3,,,,,,,19.2500000000,false,,19.2500000000,RAW_NO_CAP
DIMENSION,SV4_SUMMARY,SV4,,,,,,,18.5000000000,false,,18.5000000000,RAW_NO_CAP
DIMENSION,SV5_SUMMARY,SV5,,,,,,,10.6875000000,false,,10.6875000000,RAW_NO_CAP
DIMENSION,SV6_SUMMARY,SV6,,,,,,,15.0000000000,false,,15.0000000000,RAW_NO_CAP
DIMENSION,PC1_SUMMARY,PC1,,,,,,,14.6875000000,false,,14.6875000000,RAW_NO_CAP
DIMENSION,PC2_SUMMARY,PC2,,,,,,,12.5000000000,false,,12.5000000000,RAW_NO_CAP
DIMENSION,PC3_SUMMARY,PC3,,,,,,,11.2500000000,false,,11.2500000000,RAW_NO_CAP
DIMENSION,PC4_SUMMARY,PC4,,,,,,,10.3125000000,false,,10.3125000000,RAW_NO_CAP
DIMENSION,PC5_SUMMARY,PC5,,,,,,,10.3125000000,"true",9,9.0000000000,RAW_THEN_CAP
DIMENSION,PC6_SUMMARY,PC6,,,,,,,,false,,,NOT_SCORED
